Sample,Fraction,Treatment,Group,Strain,Bio Rep,Signal Unspliced,Signal Spliced,Fraction Spliced
"Sup, 30C, yHG010",Supernatant,30,Temperature,yHG010,1,9937.924,637.991,0.060324898602154
"Sup, 30C, yHG007",Supernatant,30,Temperature,yHG007,1,10509.459,510.335,0.0463107568072507
"Sup, 30C, yHG008",Supernatant,30,Temperature,yHG008,1,8945.095,864.648,0.0881417586576937
"Sup, 30C, yHG003",Supernatant,30,Temperature,yHG003,1,8769.681,1003.062,0.102638737148823
"Sup, 42C, yHG010",Supernatant,42,Temperature,yHG010,1,740.163,8146.246,0.916708425191773
"Sup, 42C, yHG007",Supernatant,42,Temperature,yHG007,1,1077.770,7263.903,0.870796901293062
"Sup, 42C, yHG008",Supernatant,42,Temperature,yHG008,1,1161.062,6529.246,0.849022691938996
"Sup, 42C, yHG003",Supernatant,42,Temperature,yHG003,1,1305.598,6334.539,0.829113273754122
"Pel, 30C, yHG010",Pellet,30,Temperature,yHG010,1,11873.095,432.335,0.0351336767589593
"Pel, 30C, yHG007",Pellet,30,Temperature,yHG007,1,12084.217,553.335,0.0437849830410193
"Pel, 30C, yHG008",Pellet,30,Temperature,yHG008,1,9634.953,1008.891,0.0947863384694477
"Pel, 30C, yHG003",Pellet,30,Temperature,yHG003,1,9140.953,1092.062,0.106719476127026
"Pel, 42C, yHG010",Pellet,42,Temperature,yHG010,1,3309.447,4929.175,0.598300905175647
"Pel, 42C, yHG007",Pellet,42,Temperature,yHG007,1,3869.397,4311.104,0.526997551861432
"Pel, 42C, yHG008",Pellet,42,Temperature,yHG008,1,3485.569,3785.882,0.520650142591898
"Pel, 42C, yHG003",Pellet,42,Temperature,yHG003,1,3278.326,3448.468,0.512646589147817
"Sup, C, 4741",Supernatant,C,UPR,BY4741,1,10915.974,169.192,0.0152629198335866
"Sup, DTT, 4741",Supernatant,DTT,UPR,BY4741,1,697.213,8393.196,0.923302350862321
"Sup, C, 4741",Supernatant,C,UPR,BY4741,2,8988.125,540.092,0.0566834277598841
"Sup, DTT, 4741",Supernatant,DTT,UPR,BY4741,2,743.042,7245.418,0.906985576694382
"Sup, C, 4741",Supernatant,C,UPR,BY4741,3,10045.782,245.607,0.0238652916530509
"Sup, DTT, 4741",Supernatant,DTT,UPR,BY4741,3,554.506,7545.418,0.931541826812202
"Pel, C, 4741",Pellet,C,UPR,BY4741,1,9161.196,343.849,0.0361754205266782
"Pel, DTT, 4741",Pellet,DTT,UPR,BY4741,1,446.263,7917.075,0.946640563851419
"Pel, C, 4741",Pellet,C,UPR,BY4741,2,9241.832,401.678,0.0416526762558446
"Pel, DTT, 4741",Pellet,DTT,UPR,BY4741,2,519.092,8726.660,0.943856162267818
"Pel, C, 4741",Pellet,C,UPR,BY4741,3,9274.660,287.435,0.0300598352139359
"Pel, DTT, 4741",Pellet,DTT,UPR,BY4741,3,379.435,6823.711,0.947323711056252
