Probe	Experiment	Sample	Biorep	Strain	Reporter_age	Temperature	Time	Pellet	Sup	pSup	pSup_odds	mixSum	mixSum_norm_PGK1	Reporter	Promoter	UTR5	CDS	Hairpin	Desc	mixSum_norm_PGK1_norm30C
BEM2	Occ_TSP	A1	BR1	yJB236	Old	30C	20min	0.21953431898659237	1.1303797271883345	0.8373716314689384	5.148988697559265	1.3499140461749268	0.019459201916720976	pJB801	TETO	PMU1	PMU1	NA	PMU1	0.8799701275906058
HSP26	Occ_TSP	A1	BR1	yJB236	Old	30C	20min	0.010021256825102862	0.153836415468925	0.9388416991111614	15.351010173052416	0.16385767229402784	0.0023620315232724095	pJB801	TETO	PMU1	PMU1	NA	PMU1	0.8963275510988273
PGK1	Occ_TSP	A1	BR1	yJB236	Old	30C	20min	2.144819303259842	67.22668174555592	0.9690821263655437	31.343750796806166	69.37150104881576	1	pJB801	TETO	PMU1	PMU1	NA	PMU1	1
PMU1	Occ_TSP	A1	BR1	yJB236	Old	30C	20min	0.15188365112987712	2.246997732213674	0.9366856351529219	14.79420408647041	2.398881383343551	0.034580214455147675	pJB801	TETO	PMU1	PMU1	NA	PMU1	0.785929803420342
YONL	Occ_TSP	A1	BR1	yJB236	Old	30C	20min	0.04594548420689916	0.735832401159956	0.9412294910525144	16.01533673791305	0.7817778853668551	0.01126943879759397	pJB801	TETO	PMU1	PMU1	NA	PMU1	0.09276253890335824
BEM2	Occ_TSP	A2	BR2	yJB236	Old	30C	20min	0.25715316388265225	1.2837517622445698	0.8331154897862784	4.992167869380714	1.540904926127222	0.021104759872095574	pJB801	TETO	PMU1	PMU1	NA	PMU1	0.9543843738760324
HSP26	Occ_TSP	A2	BR2	yJB236	Old	30C	20min	0.008291807280330528	0.1845133925259132	0.9569938607015618	22.252494093007687	0.19280519980624372	0.0026407258325983336	pJB801	TETO	PMU1	PMU1	NA	PMU1	1.0020845595561931
PGK1	Occ_TSP	A2	BR2	yJB236	Old	30C	20min	2.0581555106822202	70.95404341817579	0.9718107995529944	34.474578354216064	73.01219892885801	1	pJB801	TETO	PMU1	PMU1	NA	PMU1	1
PMU1	Occ_TSP	A2	BR2	yJB236	Old	30C	20min	0.12140090543207618	2.0556876155092563	0.9442370375552829	16.933050113529948	2.1770885209413326	0.029818147554529276	pJB801	TETO	PMU1	PMU1	NA	PMU1	0.6776988290887067
YONL	Occ_TSP	A2	BR2	yJB236	Old	30C	20min	0.05809475752229513	1.1382882291504326	0.9514413376239468	19.593647993342422	1.1963829866727278	0.01638606978319425	pJB801	TETO	PMU1	PMU1	NA	PMU1	0.13487924847342203
BEM2	Occ_TSP	B1	BR1	yJB236	New	30C	20min	0.16970445660603425	0.9716301079291337	0.8513105079971446	5.725424820072669	1.141334564535168	0.020936437792278897	pJB801	TETO	PMU1	PMU1	NA	PMU1	0.9467726330304163
HSP26	Occ_TSP	B1	BR1	yJB236	New	30C	20min	0.005281331224341922	0.126658130413953	0.9599715569643567	23.98223573446393	0.13193946163829492	0.0024202739641569957	pJB801	TETO	PMU1	PMU1	NA	PMU1	0.9184289938161431
PGK1	Occ_TSP	B1	BR1	yJB236	New	30C	20min	1.5120115569097612	53.00225566748303	0.9722639295381889	35.05413396165349	54.51426722439279	1	pJB801	TETO	PMU1	PMU1	NA	PMU1	1
PMU1	Occ_TSP	B1	BR1	yJB236	New	30C	20min	1.330134158353065	26.826840766751303	0.9527600474876605	20.168522549610746	28.156974925104368	0.5165065286341285	pJB801	TETO	PMU1	PMU1	NA	PMU1	11.739021313510541
YONL	Occ_TSP	B1	BR1	yJB236	New	30C	20min	0.5714874739740564	16.431206492211658	0.9663884161468408	28.75164765721108	17.002693966185713	0.31189438713720324	pJB801	TETO	PMU1	PMU1	NA	PMU1	2.567307542122764
BEM2	Occ_TSP	B2	BR2	yJB236	New	30C	20min	0.23620162756772486	1.4432510691750726	0.859357975353623	6.110250314686154	1.6794526967427974	0.03113931599631841	pJB801	TETO	PMU1	PMU1	NA	PMU1	1.4081599023246012
HSP26	Occ_TSP	B2	BR2	yJB236	New	30C	20min	0.005871146084383746	0.17261082503950845	0.9671051028436461	29.399851844706095	0.1784819711238922	0.003309296242312573	pJB801	TETO	PMU1	PMU1	NA	PMU1	1.2557890813510921
PGK1	Occ_TSP	B2	BR2	yJB236	New	30C	20min	1.6373892910671175	52.29612347271223	0.9696405962237499	31.938723282250038	53.93351276377935	1	pJB801	TETO	PMU1	PMU1	NA	PMU1	1
PMU1	Occ_TSP	B2	BR2	yJB236	New	30C	20min	1.4063648834414089	31.639052421089495	0.9574414548776609	22.49704382810524	33.0454173045309	0.612706564270435	pJB801	TETO	PMU1	PMU1	NA	PMU1	13.92542982161097
