"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
12.03,0.116524,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.03,0.113524,0.000254678806646595
12.06,0.11563,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.06,0.11263,0.000252673214409341
12.09,0.114526,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.09,0.111526,0.000250196509901591
12.12,0.113574,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.12,0.110574,0.000248060800942009
12.15,0.112692,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.15,0.109692,0.000246082129405926
12.18,0.111852,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.18,0.108852,0.000244197680323942
12.21,0.11098,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.21,0.10798,0.000242241442705502
12.24,0.109955,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.24,0.106955,0.000239941966147129
12.27,0.10914,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.27,0.10614,0.000238113601859251
12.3,0.10841,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.3,0.10541,0.000236475925871337
12.33,0.107532,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.33,0.104532,0.000234506227902311
12.36,0.106704,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.36,0.103704,0.000232648699521498
12.39,0.10593,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.39,0.10293,0.000230912314295956
12.42,0.105213,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.42,0.102213,0.000229303802400977
12.45,0.104449,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.45,0.101449,0.000227589851093077
12.48,0.103681,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.48,0.100681,0.00022586692621812
12.51,0.10299,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.51,0.09999,0.000224316742509012
12.54,0.10227,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.54,0.09927,0.00022270150043874
12.58,0.101607,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.58,0.098607,0.000221214131699031
12.6,0.101042,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.6,0.098042,0.000219946615352221
12.63,0.100363,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.63,0.097363,0.000218423352344284
12.66,0.099929,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.66,0.096929,0.000217449720318592
12.69,0.099278,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.69,0.096278,0.000215989272280055
12.72,0.098625,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.72,0.095625,0.000214524337457989
12.75,0.098079,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.75,0.095079,0.000213299445554699
12.78,0.097594,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.78,0.094594,0.00021221140054903
12.79,0.097502,2,1.169,"yHG38","mock","rep1",1,"eIF4E",0,12.79,0.094502,0.000212005008506717
12.81,0.097118,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.81,0.094118,0.000211143546069239
12.84,0.096554,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.84,0.093554,0.000209878273114193
12.87,0.096097,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.87,0.093097,0.000208853043077923
12.9,0.095659,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.9,0.092659,0.000207870437485174
12.93,0.095136,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.93,0.092136,0.000206697143592463
12.96,0.094765,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.96,0.091765,0.00020586484524792
12.99,0.094435,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,12.99,0.091435,0.000205124525965712
13.02,0.094197,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.02,0.091197,0.000204590598725816
13.05,0.093823,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.05,0.090823,0.000203751570205981
13.08,0.093363,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.08,0.090363,0.000202719609994418
13.11,0.093138,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.11,0.090138,0.000202214846847458
13.14,0.09296,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.14,0.08996,0.000201815523113419
13.17,0.092725,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.17,0.089725,0.000201288326048816
13.2,0.092589,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.2,0.089589,0.000200983224768876
13.23,0.092297,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.23,0.089297,0.00020032815437371
13.26,0.092018,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.26,0.089018,0.000199702248071479
13.29,0.091704,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.29,0.088704,0.0001989978230575
13.32,0.091428,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.32,0.088428,0.000198378646930562
13.35,0.091231,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.35,0.088231,0.000197936698753002
13.38,0.090927,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.38,0.087927,0.000197254707656665
13.41,0.090594,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.41,0.087594,0.000196507658199164
13.44,0.090305,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.44,0.087305,0.000195859317979291
13.47,0.090105,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.47,0.087105,0.000195410639626438
13.5,0.089883,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.5,0.086883,0.00019491260665477
13.53,0.089544,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.53,0.086544,0.000194152096846684
13.56,0.089284,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.56,0.086284,0.000193568814987975
13.59,0.08902,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.59,0.08602,0.000192976559562208
13.62,0.088817,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.62,0.085817,0.000192521151034062
13.65,0.088522,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.65,0.085522,0.000191859350463604
13.68,0.088224,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.68,0.085224,0.000191190819717852
13.71,0.087974,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.71,0.084974,0.000190629971776786
13.74,0.087723,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.74,0.084723,0.000190066880443955
13.77,0.087466,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.77,0.084466,0.000189490328760538
13.8,0.08719,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.8,0.08419,0.000188871152633601
13.83,0.087028,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.83,0.084028,0.000188507723167789
13.86,0.08693,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.86,0.08393,0.000188287870774891
13.89,0.086686,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.89,0.083686,0.00018774048318441
13.92,0.086546,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.92,0.083546,0.000187426408337413
13.95,0.086435,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.95,0.083435,0.000187177391851579
13.98,0.086283,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,13.98,0.083283,0.000186836396303411
14.01,0.086115,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.01,0.083115,0.000186459506487014
14.04,0.085963,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.04,0.082963,0.000186118510938846
14.07,0.085722,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.07,0.082722,0.000185577853523657
14.1,0.085531,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.1,0.082531,0.000185149365696682
14.13,0.085344,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.13,0.082344,0.000184729851436765
14.16,0.085198,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.16,0.082198,0.000184402316239182
14.19,0.085071,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.19,0.082071,0.00018411740548512
14.22,0.084944,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.22,0.081944,0.000183832494731058
14.25,0.084729,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.25,0.081729,0.000183350165501741
14.28,0.084554,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.28,0.081554,0.000182957571942994
14.31,0.084516,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.31,0.081516,0.000182872323055952
14.34,0.084402,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.34,0.081402,0.000182616576394825
14.37,0.084278,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.37,0.081278,0.000182338395816056
14.4,0.084145,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.4,0.081145,0.000182040024711409
14.43,0.084047,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.43,0.081047,0.000181820172318511
14.46,0.084015,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.46,0.081015,0.000181748383782054
14.49,0.083923,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.49,0.080923,0.000181541991739742
14.52,0.083917,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.52,0.080917,0.000181528531389156
14.55,0.083825,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.55,0.080825,0.000181322139346844
14.58,0.083657,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.58,0.080657,0.000180945249530447
14.61,0.083571,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.61,0.080571,0.00018075231783872
14.65,0.083479,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.65,0.080479,0.000180545925796407
14.67,0.083501,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.67,0.080501,0.000180595280415221
14.7,0.083447,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.7,0.080447,0.000180474137259951
14.73,0.0834,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.73,0.0804,0.00018036869784703
14.76,0.083352,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.76,0.080352,0.000180261015042346
14.79,0.083384,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.79,0.080384,0.000180332803578802
14.82,0.083374,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.82,0.080374,0.000180310369661159
14.86,0.083352,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.86,0.080352,0.000180261015042346
14.88,0.083397,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.88,0.080397,0.000180361967671738
14.91,0.0834,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.91,0.0804,0.00018036869784703
14.94,0.083374,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.94,0.080374,0.000180310369661159
14.97,0.083368,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,14.97,0.080368,0.000180296909310574
15,0.083403,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15,0.080403,0.000180375428022323
15.03,0.0834,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.03,0.0804,0.00018036869784703
15.07,0.0834,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.07,0.0804,0.00018036869784703
15.09,0.083349,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.09,0.080349,0.000180254284867053
15.12,0.083349,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.12,0.080349,0.000180254284867053
15.15,0.083381,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.15,0.080381,0.000180326073403509
15.18,0.083476,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.18,0.080476,0.000180539195621115
15.21,0.083587,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.21,0.080587,0.000180788212106948
15.24,0.08373,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.24,0.08073,0.000181109017129238
15.27,0.083777,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.27,0.080777,0.000181214456542159
15.3,0.083818,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.3,0.080818,0.000181306435604494
15.33,0.083799,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.33,0.080799,0.000181263811160973
15.36,0.083875,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.36,0.080875,0.000181434308935057
15.39,0.083888,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.39,0.080888,0.000181463473027992
15.42,0.083869,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.42,0.080869,0.000181420848584471
15.45,0.08386,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.45,0.08086,0.000181400658058593
15.48,0.083828,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.48,0.080828,0.000181328869522136
15.51,0.083653,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.51,0.080653,0.00018093627596339
15.54,0.083492,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.54,0.080492,0.000180575089889343
15.57,0.08346,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.57,0.08046,0.000180503301352886
15.6,0.083397,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.6,0.080397,0.000180361967671738
15.63,0.083355,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.63,0.080355,0.000180267745217638
15.66,0.083384,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.66,0.080384,0.000180332803578802
15.69,0.083435,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.69,0.080435,0.00018044721655878
15.72,0.083422,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.72,0.080422,0.000180418052465844
15.75,0.083431,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.75,0.080431,0.000180438242991723
15.78,0.083327,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.78,0.080327,0.000180204930248239
15.81,0.083216,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.81,0.080216,0.000179955913762405
15.84,0.083111,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.84,0.080111,0.000179720357627157
15.87,0.083003,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.87,0.080003,0.000179478071316617
15.9,0.08293,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.9,0.07993,0.000179314303717825
15.93,0.082886,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.93,0.079886,0.000179215594480197
15.96,0.082718,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.96,0.079718,0.000178838704663801
15.99,0.082527,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,15.99,0.079527,0.000178410216836826
16.02,0.082442,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.02,0.079442,0.000178219528536863
16.05,0.082407,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.05,0.079407,0.000178141009825114
16.08,0.082283,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.08,0.079283,0.000177862829246345
16.11,0.082121,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.11,0.079121,0.000177499399780533
16.14,0.081883,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.14,0.078883,0.000176965472540638
16.17,0.081649,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.17,0.078649,0.0001764405188678
16.2,0.081449,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.2,0.078449,0.000175991840514946
16.23,0.081167,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.23,0.078167,0.000175359204037423
16.26,0.080945,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.26,0.077945,0.000174861171065756
16.29,0.0807,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.29,0.0777,0.000174311540083511
16.32,0.080596,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.32,0.077596,0.000174078227340027
16.35,0.080342,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.35,0.077342,0.000173508405831903
16.38,0.079945,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.38,0.076945,0.000172617779301489
16.41,0.079717,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.41,0.076717,0.000172106285979237
16.44,0.079352,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.44,0.076352,0.000171287447985279
16.47,0.079054,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.47,0.076054,0.000170618917239528
16.5,0.078759,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.5,0.075759,0.000169957116669069
16.53,0.078458,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.53,0.075458,0.000169281855748025
16.56,0.07816,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.56,0.07516,0.000168613325002274
16.59,0.077814,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.59,0.074814,0.000167837111451837
16.62,0.077522,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.62,0.074522,0.000167182041056672
16.65,0.077205,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.65,0.074205,0.000166470885867399
16.68,0.076872,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.68,0.073872,0.000165723836409898
16.72,0.076574,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.72,0.073574,0.000165055305664147
16.74,0.07626,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.74,0.07326,0.000164350880650167
16.77,0.075936,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.77,0.072936,0.000163624021718545
16.8,0.075575,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.8,0.072575,0.000162814157291645
16.83,0.075241,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.83,0.072241,0.00016206486444238
16.86,0.074959,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.86,0.071959,0.000161432227964856
16.89,0.074572,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.89,0.071572,0.000160564035352085
16.93,0.074318,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.93,0.071318,0.000159994213843962
16.95,0.074036,NA,NA,"yHG38","mock","rep1",1,"eIF4E",0,16.95,0.071036,0.000159361577366438
