"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
12.03,0.112943,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.03,0.109943,0.000225236113590164
12.06,0.112207,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.06,0.109207,0.00022372829790747
12.1,0.111566,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.1,0.108566,0.000222415105172951
12.12,0.110904,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.12,0.107904,0.000221058890523571
12.15,0.110282,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.15,0.107282,0.000219784622378687
12.18,0.109695,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.18,0.106695,0.000218582057425234
12.21,0.109057,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.21,0.106057,0.000217275010678551
12.24,0.108525,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.24,0.105525,0.000216185122168778
12.27,0.108109,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.27,0.105109,0.000215332878522039
12.3,0.107611,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.3,0.104611,0.000214312644541086
12.33,0.10717,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.33,0.10417,0.000213409184329037
12.36,0.106824,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.36,0.103824,0.000212700347065162
12.39,0.106536,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.39,0.103536,0.000212110332232804
12.42,0.106209,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.42,0.103209,0.000211440419558564
12.45,0.105768,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.45,0.102768,0.000210536959346515
12.48,0.105445,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.48,0.102445,0.000209875241322725
12.51,0.105115,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.51,0.102115,0.000209199182660647
12.54,0.104867,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.54,0.101867,0.000208691114332783
12.57,0.104633,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.57,0.101633,0.000208211727281492
12.6,0.104369,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.6,0.101369,0.00020767088035183
12.63,0.104154,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.63,0.101154,0.000207230417890174
12.66,0.103821,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.66,0.100821,0.00020654821324026
12.69,0.103535,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.69,0.100535,0.000205962295733126
12.72,0.103329,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.72,0.100329,0.000205540271234981
12.75,0.103148,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.75,0.100148,0.000205169463302145
12.78,0.102936,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.78,0.099936,0.000204735146828325
12.79,0.102847,4,0.586,"yHG55","mock","rep1",1,"eIF4B",0,12.79,0.099847,0.000204552815855826
12.81,0.102656,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.81,0.099656,0.000204161521296866
12.84,0.10239,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.84,0.09939,0.00020361657704198
12.87,0.102143,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.87,0.099143,0.000203110557376728
12.9,0.101838,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.9,0.098838,0.000202485715279959
12.93,0.101661,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.93,0.098661,0.000202123101997573
12.96,0.101562,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.96,0.098562,0.000201920284398949
12.99,0.101518,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,12.99,0.098518,0.000201830143244006
13.02,0.101454,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.02,0.098454,0.000201699028836815
13.05,0.101296,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.05,0.098296,0.000201375340144063
13.08,0.101185,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.08,0.098185,0.000201147938594092
13.11,0.101083,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.11,0.098083,0.000200938975007631
13.14,0.101026,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.14,0.098026,0.000200822201238727
13.17,0.100994,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.17,0.097994,0.000200756644035132
13.2,0.10096,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.2,0.09796,0.000200686989506312
13.23,0.100893,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.23,0.097893,0.000200549729111284
13.26,0.100722,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.26,0.097722,0.000200199407804571
13.29,0.100604,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.29,0.097604,0.000199957665616313
13.32,0.10055,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.32,0.09755,0.000199847037835246
13.35,0.100465,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.35,0.097465,0.000199672901513196
13.38,0.100341,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.38,0.097341,0.000199418867349264
13.41,0.100128,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.41,0.097128,0.000198982502212832
13.44,0.099935,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.44,0.096935,0.000198587110328648
13.47,0.099672,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.47,0.096672,0.000198048312061598
13.5,0.099339,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.5,0.096339,0.000197366107411684
13.53,0.099047,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.53,0.096047,0.000196767897928876
13.56,0.098742,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.56,0.095742,0.000196143055832108
13.59,0.098463,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.59,0.095463,0.000195571478963261
13.62,0.098162,NA,NA,"yHG55","mock","rep1",1,"eIF4B",0,13.62,0.095162,0.000194954831516942
