"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
13.02,0.300741,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.02,0.297741,0.000924022483221921
13.05,0.29965,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.05,0.29665,0.0009206366259527
13.08,0.298327,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.08,0.295327,0.00091653076970414
13.11,0.297175,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.11,0.294175,0.000912955602358455
13.14,0.296046,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.14,0.293046,0.000909451814221928
13.17,0.294673,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.17,0.291673,0.000905190785779545
13.2,0.293572,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.2,0.290572,0.000901773894071559
13.23,0.29249,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.23,0.28949,0.000898415967797227
13.27,0.292199,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.27,0.289199,0.000897512865629176
13.29,0.290305,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.29,0.287305,0.000891634942927155
13.32,0.288706,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.32,0.285706,0.000886672536168691
13.35,0.287517,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.35,0.284517,0.000882982541399577
13.38,0.286204,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.38,0.283204,0.000878907719589781
13.41,0.285493,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.41,0.282493,0.000876701170993616
13.44,0.284053,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.44,0.281053,0.000872232211811509
13.47,0.283292,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.47,0.280292,0.000869870491021521
13.5,0.281103,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.5,0.278103,0.000863077052375944
13.53,0.279704,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.53,0.276704,0.000858735334392773
13.56,0.27841,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.56,0.27541,0.00085471947801663
13.59,0.277116,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.59,0.274116,0.000850703621640487
13.62,0.275797,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.62,0.272797,0.000846610179167432
13.65,0.274452,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.65,0.271452,0.00084243604715359
13.68,0.272939,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.68,0.269939,0.000837740536568501
13.71,0.271641,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.71,0.268641,0.000833712266416853
13.74,0.270325,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.74,0.267325,0.000829628134275428
13.77,0.268691,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.77,0.265691,0.000824557106981287
13.8,0.267527,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.8,0.264527,0.000820944698309085
13.83,0.265853,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.83,0.262853,0.000815749533259886
13.86,0.264454,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.86,0.261454,0.000811407815276714
13.89,0.262861,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.89,0.259861,0.000806464029181509
13.92,0.261561,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.92,0.258561,0.000802429552142107
13.95,0.259988,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.95,0.256988,0.000797547834924431
13.98,0.258706,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,12.98,0.255706,0.000793569219874806
14.01,0.257387,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.01,0.254387,0.000789475777401751
14.04,0.256064,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.04,0.253064,0.000785369921153191
14.07,0.254763,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.07,0.251763,0.000781332340669913
14.1,0.254392,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.1,0.251392,0.000780180962991745
14.13,0.252277,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.13,0.249277,0.000773617179193026
14.16,0.250529,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.16,0.247529,0.000768192359296969
14.19,0.249152,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.19,0.246152,0.00076391891707908
14.22,0.247481,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.22,0.244481,0.000758733062361511
14.25,0.246282,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.25,0.243282,0.000755012033153632
14.28,0.244708,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.28,0.241708,0.000750127212492079
14.31,0.24337,NA,NA,"yHG72","mock","rep1",1,"eIF4A",1,13.31,0.24037,0.000745974804585372
