"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
12.03,0.437108,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.03,0.434108,0.00105534218933468
12.06,0.435415,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.06,0.432415,0.00105122640633473
12.09,0.433943,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.09,0.430943,0.00104764788738852
12.12,0.432335,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.12,0.429335,0.00104373874440924
12.15,0.43065,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.15,0.42765,0.00103964240988182
12.18,0.428995,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.18,0.425995,0.0010356190071264
12.21,0.427044,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.21,0.424044,0.00103087601088724
12.24,0.425401,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.24,0.422401,0.00102688178084062
12.27,0.423491,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.27,0.420491,0.00102223845802319
12.3,0.421706,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.3,0.418706,0.0010178990175891
12.33,0.420202,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.33,0.417202,0.00101424270475275
12.36,0.418235,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.36,0.415235,0.00100946081156852
12.39,0.416592,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.39,0.413592,0.0010054665815219
12.42,0.414635,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.42,0.411635,0.00100070899892834
12.45,0.412926,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.45,0.409926,0.000996554318983315
12.48,0.411175,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.48,0.408175,0.000992297534557493
12.51,0.409417,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.51,0.406417,0.000988023732718203
12.54,0.407708,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.54,0.404708,0.000983869052773182
12.57,0.40577,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.57,0.40277,0.000979157660301884
12.6,0.404158,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.6,0.401158,0.000975238793086335
12.63,0.402731,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.63,0.399731,0.000971769671798128
12.66,0.401044,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.66,0.398044,0.000967668475152576
12.69,0.399575,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.69,0.396575,0.000964097249383567
12.72,0.398116,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.72,0.395116,0.000960550334205226
12.75,0.396644,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.75,0.393644,0.000956971815259018
12.78,0.395175,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.78,0.392175,0.00095340058949001
12.79,0.394709,4,0.586,"yJB143","mock","rep1",1,"eIF2alpha",0,12.79,0.391709,0.000952267715964919
12.81,0.393558,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.81,0.390558,0.000949469566979127
12.84,0.392188,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.84,0.389188,0.000946139016057724
12.87,0.390602,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.87,0.387602,0.00094228335637791
12.9,0.38919,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.9,0.38619,0.000938850700975704
12.93,0.388058,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.93,0.385058,0.00093609874211218
12.96,0.386522,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.96,0.383522,0.000932364635385701
12.99,0.38519,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,12.99,0.38219,0.000929126464708833
13.02,0.383852,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.02,0.380852,0.000925873707677565
13.05,0.382126,NA,NA,"yJB143","mock","rep1",1,"eIF2alpha",0,13.05,0.379126,0.00092167769972841
