"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
7.02,0.234952,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.02,0.231952,0.000766340166721474
7.05,0.230463,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.05,0.227463,0.000751509076632091
7.08,0.226187,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.08,0.223187,0.000737381711690633
7.11,0.221994,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.11,0.218994,0.000723528568285691
7.14,0.217969,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.14,0.214969,0.000710230475701648
7.17,0.213303,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.17,0.210303,0.000694814599925959
7.2,0.209345,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.2,0.206345,0.000681737866895489
7.23,0.20538,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.23,0.20238,0.000668638006747482
7.26,0.200904,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.26,0.197904,0.000653849867019239
7.29,0.197263,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.29,0.194263,0.000641820462025823
7.32,0.193729,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.32,0.190729,0.000630144571543337
7.35,0.190373,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.35,0.187373,0.000619056770621089
7.38,0.187131,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.38,0.184131,0.000608345611327308
7.41,0.183452,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.41,0.180452,0.000596190659124403
7.44,0.180464,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.44,0.177464,0.000586318683809839
7.47,0.177184,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.47,0.174184,0.000575481977306569
7.5,0.174561,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.5,0.171561,0.000566815915977887
7.53,0.172502,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.53,0.169502,0.000560013239547938
7.56,0.169616,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.56,0.166616,0.000550478259374634
7.59,0.16712,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.59,0.16412,0.000542231790035561
7.62,0.164366,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.62,0.161366,0.000533132921221535
7.65,0.162089,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.65,0.159089,0.00052561000027399
7.68,0.159808,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.68,0.156808,0.00051807386383071
7.71,0.157192,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.71,0.154192,0.000509430929619566
7.74,0.155384,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.74,0.152384,0.000503457525547032
7.77,0.1533,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.77,0.1503,0.000496572252268735
7.8,0.150883,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.8,0.147883,0.000488586788970441
7.83,0.148865,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.83,0.145865,0.000481919571371783
7.86,0.146658,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.86,0.143658,0.000474627921599613
7.89,0.144745,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.89,0.141745,0.000468307610764017
7.92,0.142467,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.92,0.139467,0.000460781385942539
7.95,0.140809,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.95,0.137809,0.000455303562960094
7.98,0.138874,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,12.98,0.135874,0.000448910566897951
8.01,0.13699,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.01,0.13399,0.000442686068406439
8.04,0.134925,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.04,0.131925,0.000435863568732886
8.07,0.133272,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.07,0.130272,0.000430402265120111
8.1,0.131467,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.1,0.128467,0.000424438772669378
8.13,0.129986,NA,NA,"yJB147","mock","rep1",1,"eIF5",-5,13.13,0.126986,0.000419545735373237
