"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
12.03,0.078781,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.03,0.075781,0.000215247123330316
12.06,0.078404,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.06,0.075404,0.000214176298644768
12.09,0.077992,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.09,0.074992,0.000213006060526874
12.12,0.077582,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.12,0.074582,0.000211841503176543
12.15,0.077113,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.15,0.074113,0.000210509363183116
12.18,0.076675,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.18,0.073675,0.000209265275086909
12.21,0.076241,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.21,0.073241,0.000208032548525827
12.24,0.075822,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.24,0.072822,0.000206842427721464
12.27,0.075368,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.27,0.072368,0.000205552893484756
12.3,0.07488,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.3,0.07188,0.000204166786199484
12.33,0.074544,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.33,0.071544,0.000203212417248969
12.36,0.074192,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.36,0.071192,0.000202212602157953
12.39,0.073843,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.39,0.070843,0.000201221308218281
12.42,0.073452,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.42,0.070452,0.000200110718159795
12.45,0.072967,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.45,0.069967,0.000198733132025867
12.48,0.072568,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.48,0.069568,0.00019759981889713
12.51,0.072123,NA,NA,"yJB148","mock","rep1",1,"eIF5B",0,12.51,0.069123,0.000196335848114454
