"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
12.03,0.156865,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.03,0.153865,0.00030499221118695
12.06,0.156246,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.06,0.153246,0.000303765225331007
12.09,0.155542,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.09,0.152542,0.000302369751918108
12.12,0.155035,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.12,0.152035,0.000301364773196035
12.15,0.154708,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.15,0.151708,0.000300716591653396
12.18,0.154242,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.18,0.151242,0.000299792883399972
12.21,0.153893,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.21,0.150893,0.00029910109331318
12.24,0.153449,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.24,0.150449,0.000298220993603909
12.27,0.15303,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.27,0.15003,0.000297390449058448
12.3,0.152659,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.3,0.149659,0.000296655050427503
12.33,0.152364,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.33,0.149364,0.000296070299494541
12.36,0.152094,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.36,0.149094,0.00029553510372539
12.39,0.151603,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.39,0.148603,0.000294561840308156
12.42,0.151187,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.42,0.148187,0.000293737242382352
12.45,0.150822,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.45,0.147822,0.000293013736990721
12.48,0.150372,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.48,0.147372,0.000292121744042136
12.51,0.150052,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.51,0.147052,0.000291487437945364
12.54,0.149665,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.54,0.146665,0.00029072032400958
12.57,0.149379,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.57,0.146379,0.00029015341293559
12.6,0.149017,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.6,0.146017,0.000289435854163617
12.63,0.148434,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.63,0.145434,0.00028828022774356
12.66,0.147885,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.66,0.144885,0.000287191996346286
12.69,0.147289,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.69,0.144289,0.000286010601241048
12.72,0.146737,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.72,0.143737,0.000284916423224116
12.75,0.146125,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.75,0.143125,0.00028370331281404
12.78,0.145535,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.78,0.142535,0.000282533810948117
12.79,0.145452,4,0.585,"yJB262","mock","rep1",1,"eIF4G",0,12.79,0.142452,0.000282369287804266
12.81,0.14498,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.81,0.14198,0.000281433686311528
12.84,0.144459,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.84,0.141459,0.000280400956697721
12.87,0.143977,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.87,0.140977,0.000279445533139458
12.9,0.143521,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.9,0.140521,0.000278541646951558
12.93,0.143023,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.93,0.140023,0.000277554508088456
12.96,0.142566,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.96,0.139566,0.000276648639694004
12.99,0.142023,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,12.99,0.139023,0.000275572301536044
13.02,0.141468,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.02,0.138468,0.000274472176899455
13.05,0.140881,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.05,0.137881,0.000273308621653189
13.08,0.140238,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.08,0.137238,0.000272034062839987
13.11,0.139711,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.11,0.136711,0.000270989439986866
13.14,0.139226,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.14,0.136226,0.000270028069808946
13.18,0.138817,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.18,0.135817,0.000269217347329009
13.2,0.138503,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.2,0.135503,0.000268594934471552
13.23,0.13809,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.23,0.13509,0.000267776283165405
13.26,0.137811,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.26,0.134811,0.000267223247537282
13.29,0.137491,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.29,0.134491,0.00026658894144051
13.32,0.137269,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.32,0.134269,0.000266148891585875
13.35,0.137009,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.35,0.134009,0.000265633517882247
13.38,0.136748,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.38,0.133748,0.000265116161972068
13.41,0.136495,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.41,0.133495,0.000264614663714307
13.44,0.13619,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.44,0.13319,0.000264010090715822
13.47,0.135987,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.47,0.132987,0.000263607702785682
13.5,0.135819,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.5,0.132819,0.000263274692084877
13.53,0.135746,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.53,0.132746,0.00026312999100655
13.56,0.135718,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.56,0.132718,0.000263074489223083
13.59,0.135705,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.59,0.132705,0.000263048720537902
13.62,0.13568,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.62,0.13268,0.000262999165374091
13.65,0.13566,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.65,0.13266,0.000262959521243043
13.68,0.135676,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.68,0.132676,0.000262991236547882
13.71,0.135635,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.71,0.132635,0.000262909966079233
13.74,0.135651,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.74,0.132651,0.000262941681384071
13.77,0.135584,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.77,0.132584,0.00026280887354506
13.8,0.13547,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.8,0.13247,0.000262582901998085
13.83,0.135331,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.83,0.132331,0.000262307375287299
13.86,0.135229,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.86,0.132229,0.000262105190218953
13.89,0.135032,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.89,0.132032,0.000261714695528128
13.92,0.134852,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.92,0.131852,0.000261357898348694
13.95,0.134611,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.95,0.131611,0.000260880186569562
13.98,0.133963,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,13.98,0.130963,0.000259595716723599
14.01,0.13324,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.01,0.13024,0.000258162581386205
14.04,0.131727,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.04,0.128727,0.000255163502872405
14.07,0.12977,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.07,0.12677,0.000251284324649333
14.1,0.127166,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.1,0.124166,0.000246122658786851
14.13,0.12355,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.13,0.12055,0.000238954999893328
14.16,0.120219,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.16,0.117219,0.000232352269867241
14.19,0.116036,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.19,0.113036,0.0002240606998585
14.22,0.112953,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.22,0.109953,0.000217949557057412
14.25,0.109153,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.25,0.106153,0.000210417172158245
14.28,0.104655,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.28,0.101655,0.000201501207085493
14.31,0.100918,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.31,0.097918,0.000194093701199128
14.34,0.096608,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.34,0.093608,0.00018555039095823
14.37,0.09296,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.37,0.08996,0.000178319301455029
14.41,0.089312,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.41,0.086312,0.000171088211951828
14.43,0.08562,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.43,0.08262,0.000163769905360321
14.46,0.082172,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.46,0.079172,0.000156935257167603
14.49,0.078382,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.49,0.075382,0.000149422694333959
14.52,0.075416,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.52,0.072416,0.000143543469699504
14.55,0.072954,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.55,0.069954,0.000138663277167464
14.58,0.070842,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.58,0.067842,0.000134476856928769
14.61,0.069856,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.61,0.066856,0.00013252240126809
14.64,0.069053,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.64,0.066053,0.000130930689406503
14.67,0.068796,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.67,0.065796,0.000130421262322533
14.7,0.068818,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.7,0.065818,0.000130464870866686
14.73,0.069078,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.73,0.066078,0.000130980244570314
14.76,0.069354,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.76,0.066354,0.000131527333578779
14.79,0.069735,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.79,0.066735,0.000132282554275249
14.82,0.070074,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.82,0.067074,0.000132954522296516
14.85,0.070354,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.85,0.067354,0.000133509540131192
14.88,0.070706,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.88,0.067706,0.000134207276837641
14.91,0.071042,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.91,0.068042,0.000134873298239252
14.94,0.071432,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.94,0.068432,0.000135646358794693
14.97,0.07173,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,14.97,0.06873,0.000136237056347312
15,0.072012,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15,0.069012,0.000136796038595092
15.03,0.072244,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.03,0.069244,0.000137255910515252
15.06,0.072374,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.06,0.069374,0.000137513597367065
15.09,0.07246,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.09,0.06946,0.000137684067130573
15.12,0.072514,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.12,0.069514,0.000137791106284403
15.15,0.072529,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.15,0.069529,0.000137820839382689
15.18,0.072536,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.18,0.069536,0.000137834714828556
15.21,0.072526,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.21,0.069526,0.000137814892763032
15.24,0.072444,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.24,0.069444,0.000137652351825734
15.27,0.072323,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.27,0.069323,0.000137412504832892
15.3,0.072181,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.3,0.069181,0.00013713103150245
15.33,0.071955,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.33,0.068955,0.000136683052821604
15.36,0.071736,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.36,0.068736,0.000136248949586626
15.39,0.071527,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.39,0.068527,0.000135834668417172
15.42,0.071286,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.42,0.068286,0.00013535695663804
15.45,0.071105,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.45,0.068105,0.000134998177252054
15.48,0.070772,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.48,0.067772,0.0001343381024701
15.51,0.070426,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.51,0.067426,0.000133652259002966
15.54,0.070043,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.54,0.067043,0.000132893073893392
15.57,0.069672,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.57,0.066672,0.000132157675262447
15.6,0.069338,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.6,0.066338,0.000131495618273941
15.64,0.068952,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.64,0.065952,0.00013073048654471
15.66,0.06866,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.66,0.06566,0.000130151682231405
15.69,0.068308,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.69,0.065308,0.000129453945524956
15.72,0.067838,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.72,0.064838,0.000128522308445322
15.75,0.06741,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.75,0.06441,0.000127673924040889
15.78,0.06689,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.78,0.06389,0.000126643176633635
15.81,0.06643,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.81,0.06343,0.000125731361619525
15.84,0.066071,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.84,0.063071,0.000125019749467209
15.87,0.065637,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.87,0.062637,0.000124159471823462
15.9,0.06524,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.9,0.06224,0.000123372535822154
15.93,0.064857,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.93,0.061857,0.00012261335071258
15.96,0.064523,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.96,0.061523,0.000121951293724075
15.99,0.064194,5,0.586,"yJB262","mock","rep1",1,"eIF4G",0,15.99,0.061194,0.000121299147768331
15.99,0.064137,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,15.99,0.061137,0.000121186161994843
16.02,0.063743,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.02,0.060743,0.000120405172613193
16.05,0.063401,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.05,0.060401,0.000119727257972268
16.08,0.062865,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.08,0.059865,0.000118664795260175
16.11,0.062417,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.11,0.059417,0.000117776766724694
16.14,0.062014,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.14,0.059014,0.000116977937484072
16.17,0.061517,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.17,0.058517,0.000115992780827523
16.2,0.061082,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.2,0.058082,0.000115130520977223
16.23,0.060574,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.23,0.057574,0.000114123560048598
16.26,0.060206,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.26,0.057206,0.00011339410803731
16.29,0.059785,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.29,0.056785,0.000112559599078744
16.32,0.05923,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.32,0.05623,0.000111459474442155
16.35,0.058773,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.35,0.055773,0.000110553606047703
16.38,0.058272,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.38,0.055272,0.000109560520564944
16.41,0.057891,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.41,0.054891,0.000108805299868475
16.44,0.057418,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.44,0.054418,0.000107867716169184
16.47,0.056974,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.47,0.053974,0.000106987616459913
16.5,0.056571,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.5,0.053571,0.00010618878721929
16.53,0.056058,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.53,0.053058,0.000105171915257903
16.56,0.055594,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.56,0.052594,0.000104252171417583
16.59,0.05516,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.59,0.05216,0.000103391893773836
16.62,0.054646,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.62,0.051646,0.000102373039605896
16.65,0.05424,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.65,0.05124,0.000101568263745617
16.68,0.053774,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.68,0.050774,0.000100644555492193
16.71,0.053358,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.71,0.050358,9.9819957566389e-05
16.74,0.052965,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.74,0.049965,9.90409503912908e-05
16.77,0.052562,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.77,0.049562,9.82421211506686e-05
16.8,0.052264,NA,NA,"yJB262","mock","rep1",1,"eIF4G",0,16.8,0.049264,9.76514235980497e-05
