"Distance","Absorbance","Fraction.Number","Fraction.Volume.ml.","Strain","Treatment","Rep","Sample.index","Protein","Offset","Distance.adj","Absorbance.adj","Absorbance.norm"
12.03,0.14995,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.03,0.14695,0.000353435795304389
12.06,0.148107,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.06,0.145107,0.000349003116360898
12.09,0.146566,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.09,0.143566,0.00034529679066805
12.12,0.145005,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.12,0.142005,0.000341542362110921
12.15,0.143279,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.15,0.140279,0.000337391084923473
12.18,0.142052,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.18,0.139052,0.000334439974199836
12.21,0.140412,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.21,0.137412,0.000330495539328797
12.24,0.138962,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.24,0.135962,0.000327008081668427
12.27,0.137535,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.27,0.134535,0.00032357594230198
12.3,0.135978,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.3,0.132978,0.000319831134317707
12.33,0.134699,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.33,0.131699,0.00031675495614694
12.36,0.133148,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.36,0.130148,0.000313024579021951
12.39,0.132048,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.39,0.129048,0.000310378921486498
12.42,0.130722,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.42,0.127722,0.00030718970158467
12.45,0.129215,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.45,0.126215,0.000303565150761099
12.48,0.127969,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.48,0.124969,0.000300568342316395
12.51,0.126731,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.51,0.123731,0.000297590775017403
12.54,0.125355,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.54,0.122355,0.000294281297954873
12.57,0.124178,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.57,0.121178,0.000291450444391938
12.6,0.122957,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.6,0.119957,0.000288513764527585
12.63,0.121771,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.63,0.118771,0.000285661264675724
12.66,0.120591,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.66,0.117591,0.000282823195683147
12.69,0.119284,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.69,0.116284,0.000279679673502386
12.72,0.118126,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.72,0.115126,0.000276894517660518
12.75,0.116898,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.75,0.113898,0.000273941001793667
12.78,0.11583,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.78,0.11283,0.000271372308841063
12.79,0.115633,4,0.585,"yJB42","mock","rep2",1,"eIF3b",0,12.79,0.112633,0.000270898495627896
12.81,0.114837,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.81,0.111837,0.000268984001629513
12.84,0.113387,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.84,0.110387,0.000265496543969143
12.87,0.112286,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.87,0.109286,0.000262848481290476
12.9,0.11103,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.9,0.10803,0.000259827621413632
12.93,0.109882,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.93,0.106882,0.000257066517003904
12.96,0.108743,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.96,0.105743,0.000254327058883103
12.99,0.107427,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,12.99,0.104427,0.000251161890413416
13.02,0.106548,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.02,0.103548,0.000249047769528268
13.05,0.105362,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.05,0.102362,0.000246195269676406
13.08,0.1043,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.08,0.1013,0.000243641007583087
13.11,0.103288,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.11,0.100288,0.00024120700265047
13.14,0.10233,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.14,0.09933,0.000238902875451412
13.17,0.10141,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.17,0.09841,0.000236690143694488
13.2,0.100414,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.2,0.097414,0.000234294621053296
13.23,0.099589,NA,NA,"yJB42","mock","rep2",1,"eIF3b",0,13.23,0.096589,0.000232310377901706
