Sample number,Date,Strain,Protein,Treatment,Rep,Initial OD,preAuxin OD,Harvest OD,Time at Harvest,Slope,...12,OD adjusted,...14,CPMA,CPMB,DPM1,DPM2,SIS,tSIE,FLAG,Count_per_OD,Mock_mean,normalized_counts,protein
13,20230816,yHG055,eIF4b,Mock,1,0.1046,0.1685,0.4124,120,0.0020325,NA,NA,NA,7108,2681,NA,NA,140.37,906,0,17235.693501454898,15493.582252256057,1.112440830069829,eIF4B
14,20230816,yHG055,eIF4b,Treat,1,0.1046,0.1665,0.3393,120,0.00144,NA,NA,NA,2503,1070,NA,NA,164.98,925,0,7376.952549366342,15493.582252256057,0.47612956314813293,eIF4B
15,20230816,yHG055,eIF4b,Mock,2,0.1046,0.1684,0.4082,120,0.001998333,NA,NA,NA,5543,2491,NA,NA,161.6,931,0,13579.127878490935,15493.582252256057,0.8764356529952037,eIF4B
16,20230816,yHG055,eIF4b,Treat,2,0.1046,0.168,0.3408,120,0.00144,NA,NA,NA,2356,1045,NA,NA,159.43,929,0,6913.145539906103,15493.582252256057,0.44619413556858123,eIF4B
17,20230816,yHG055,eIF4b,Mock,3,0.1046,0.1696,0.4047,120,0.001959167,NA,NA,NA,6340,2617,NA,NA,151.39,914,0,15665.925376822337,15493.582252256057,1.0111235169349673,eIF4B
18,20230816,yHG055,eIF4b,Treat,3,0.1046,0.1655,0.3285,120,0.001358333,NA,NA,NA,3788,1726,NA,NA,163.92,931,0,11531.202435312023,15493.582252256057,0.7442567023925624,eIF4B
19,20230816,yHG072,eIF4A,Mock,1,0.125,0.2028,0.4083,120,0.0017125,NA,NA,NA,4657,2020,NA,NA,156.64,921,0,11405.829047269164,12776.703257515914,0.8927051695091743,eIF4A
20,20230816,yHG072,eIF4A,Treat,1,0.125,0.1964,0.3203,120,0.0010325,NA,NA,NA,1363,597,NA,NA,163.63,916,0,4255.38557602248,12776.703257515914,0.3330581833399976,eIF4A
21,20230816,yHG072,eIF4A,Mock,2,0.125,0.2026,0.4054,120,0.00169,NA,NA,NA,5225,2392,NA,NA,169.18,925,0,12888.505180069069,12776.703257515914,1.0087504515288315,eIF4A
22,20230816,yHG072,eIF4A,Treat,2,0.125,0.1947,0.3287,120,0.001116667,NA,NA,NA,1062,451,NA,NA,164.37,913,0,3230.9096440523276,12776.703257515914,0.2528750632250726,eIF4A
23,20230816,yHG072,eIF4A,Mock,3,0.125,0.1955,0.4081,120,0.001771667,NA,NA,NA,5728,2549,NA,NA,161.9,916,0,14035.775545209506,12776.703257515914,1.098544378961994,eIF4A
24,20230816,yHG072,eIF4A,Treat,3,0.125,0.1927,0.3356,120,0.001190833,NA,NA,NA,918,411,NA,NA,171.69,913,0,2735.399284862932,12776.703257515914,0.21409273031787987,eIF4A
