Strain,Treatment,protein,mean_norm,sd_norm
yHG038,Mock,eIF4E,1,0.2594769679150684
yHG038,Treat,eIF4E,0.19487613672876064,0.011925603905672483
yHG055,Mock,eIF4B,1,0.11839514505780291
yHG055,Treat,eIF4B,0.5555268003697589,0.16412880427958224
yHG072,Mock,eIF4A,0.9999999999999999,0.10319822110147665
yHG072,Treat,eIF4A,0.26667532562765,0.060671494006447696
yJB042,Mock,eIF3b,0.9999999999999999,0.08672685970253007
yJB042,Treat,eIF3b,0.09879755738019881,0.04190305266300328
yJB143,Mock,eIF2α,1,0.04367506212913098
yJB143,Treat,eIF2α,0.1850488281566489,0.019502296258695543
yJB147,Mock,eIF5,1,0.07231216655127376
yJB147,Treat,eIF5,0.11270132689067226,0.01647978589761533
yJB148,Mock,eIF5B,1,0.09901537427459903
yJB148,Treat,eIF5B,0.2794268290273102,0.036415728493143215
yJB262,Mock,eIF4G,0.9999999999999999,0.0711369567053831
yJB262,Treat,eIF4G,0.12315890241204501,0.049035895288822504
