Lysate_sample	Strain	Treatment_group	Treatment	Treated	Temperature	Time	Biorep
L1	BY4743	PolySeq_20min	none	FALSE	30C	20min	BR1
L2	BY4743	PolySeq_20min	none	FALSE	37C	20min	BR1
L3	BY4743	PolySeq_20min	none	FALSE	40C	20min	BR1
L4	BY4743	PolySeq_20min	none	FALSE	42C	20min	BR1
L5	BY4743	PolySeq_20min	none	FALSE	30C	20min	BR2
L6	BY4743	PolySeq_20min	none	FALSE	42C	20min	BR2
L7	BY4741	EW_TSPP	none	FALSE	30C	10min	BR1
L8	BY4741	EW_TSPP	none	FALSE	42C	10min	BR1
L9	BY4741	EW_TSPP	none	FALSE	46C	10min	BR1
L10	BY4741	EW_TSPP	none	FALSE	42CR	30min	BR1
L11	BY4741	EW_TSPP	none	FALSE	30C	10min	BR2
L12	BY4741	EW_TSPP	none	FALSE	42C	10min	BR2
L13	BY4741	EW_TSPP	none	FALSE	46C	10min	BR2
L14	BY4741	EW_TSPP	none	FALSE	42CR	30min	BR2
L15	BY4741	Dextrose	mock	FALSE	30C	15min	BR1
L16	BY4741	Dextrose	withdrawal	TRUE	30C	15min	BR1
L17	BY4741	Dextrose	mock	FALSE	30C	15min	BR2
L18	BY4741	Dextrose	withdrawal	TRUE	30C	15min	BR2
L19	BY4741	N3.0.5%_pH4	mock	FALSE	30C	30min	BR1
L20	BY4741	N3.0.5%_pH4	N3.0.5%_pH4	TRUE	30C	30min	BR1
L21	BY4741	N3.0.5%_pH4	mock	FALSE	30C	30min	BR2
L22	BY4741	N3.0.5%_pH4	N3.0.5%_pH4	TRUE	30C	30min	BR2
L23	yHG008	ProteinaseK	mock	FALSE	30C	10min	BR1
L24	yHG008	ProteinaseK	ProteinaseK	TRUE	30C	10min	BR1
L25	yHG008	ProteinaseK	mock	FALSE	46C	10min	BR1
L26	yHG008	ProteinaseK	ProteinaseK	TRUE	46C	10min	BR1
L27	yHG008	ProteinaseK	mock	FALSE	30C	10min	BR2
L28	yHG008	ProteinaseK	ProteinaseK	TRUE	30C	10min	BR2
L29	yHG008	ProteinaseK	mock	FALSE	46C	10min	BR2
L30	yHG008	ProteinaseK	ProteinaseK	TRUE	46C	10min	BR2
L31	BY4741	CHX	mock	FALSE	30C	10min	BR1
L32	BY4741	CHX	mock	FALSE	46C	10min	BR1
L33	BY4741	CHX	CHX	TRUE	30C	10min	BR1
L34	BY4741	CHX	CHX	TRUE	46C	10min	BR1
L35	BY4741	CHX	mock	FALSE	30C	10min	BR2
L36	BY4741	CHX	mock	FALSE	42C	10min	BR2
L37	BY4741	CHX	mock	FALSE	46C	10min	BR2
L38	BY4741	CHX	CHX	TRUE	30C	10min	BR2
L39	BY4741	CHX	CHX	TRUE	42C	10min	BR2
L40	BY4741	CHX	CHX	TRUE	46C	10min	BR2
L41	BY4741	HyperOsmotic_EtOH	mock	FALSE	30C	15min	BR1
L42	BY4741	HyperOsmotic_EtOH	KCl_1M	TRUE	30C	15min	BR1
L43	BY4741	HyperOsmotic_EtOH	EtOH_15%	TRUE	30C	15min	BR1
L44	BY4741	HyperOsmotic_EtOH	mock	FALSE	30C	15min	BR2
L45	BY4741	HyperOsmotic_EtOH	KCl_1M	TRUE	30C	15min	BR2
L46	BY4741	HyperOsmotic_EtOH	EtOH_15%	TRUE	30C	15min	BR2
L47	BY4741	uprInduction	mock	FALSE	30C	15min	BR1
L48	BY4741	uprInduction	mock	FALSE	30C	15min	BR2
L49	BY4741	uprInduction	DTT_10mM	TRUE	30C	15min	BR1
L50	BY4741	uprInduction	DTT_10mM	TRUE	30C	15min	BR2
L51	BY4741	PolySeq_10min	none	FALSE	30C	10min	BR1
L52	BY4741	PolySeq_10min	none	FALSE	42C	10min	BR1
L53	BY4741	PolySeq_10min	none	FALSE	46C	10min	BR1
L54	BY4741	PolySeq_10min	none	FALSE	30C	10min	BR2
L55	BY4741	PolySeq_10min	none	FALSE	42C	10min	BR2
L56	BY4741	PolySeq_10min	none	FALSE	46C	10min	BR2
L57	yHG038	eIF4E_deplete	mock	FALSE	30C	10min	BR1
L58	yHG038	eIF4E_deplete	mock	FALSE	42C	10min	BR1
L59	yHG038	eIF4E_deplete	mock	FALSE	46C	10min	BR1
L60	yHG038	eIF4E_deplete	eIF4E_deplete	TRUE	30C	10min	BR1
L61	yHG038	eIF4E_deplete	eIF4E_deplete	TRUE	42C	10min	BR1
L62	yHG038	eIF4E_deplete	eIF4E_deplete	TRUE	46C	10min	BR1
L63	yHG038	eIF4E_deplete	mock	FALSE	30C	10min	BR2
L64	yHG038	eIF4E_deplete	mock	FALSE	42C	10min	BR2
L65	yHG038	eIF4E_deplete	mock	FALSE	46C	10min	BR2
L66	yHG038	eIF4E_deplete	eIF4E_deplete	TRUE	30C	10min	BR2
L67	yHG038	eIF4E_deplete	eIF4E_deplete	TRUE	42C	10min	BR2
L68	yHG038	eIF4E_deplete	eIF4E_deplete	TRUE	46C	10min	BR2
L69	yJB042	eIF3b_deplete	mock	FALSE	30C	10min	BR1
L70	yJB042	eIF3b_deplete	mock	FALSE	42C	10min	BR1
L71	yJB042	eIF3b_deplete	mock	FALSE	46C	10min	BR1
L72	yJB042	eIF3b_deplete	eIF3b_deplete	TRUE	30C	10min	BR1
L73	yJB042	eIF3b_deplete	eIF3b_deplete	TRUE	42C	10min	BR1
L74	yJB042	eIF3b_deplete	eIF3b_deplete	TRUE	46C	10min	BR1
L75	yJB042	eIF3b_deplete	mock	FALSE	30C	10min	BR2
L76	yJB042	eIF3b_deplete	mock	FALSE	42C	10min	BR2
L77	yJB042	eIF3b_deplete	mock	FALSE	46C	10min	BR2
L78	yJB042	eIF3b_deplete	eIF3b_deplete	TRUE	30C	10min	BR2
L79	yJB042	eIF3b_deplete	eIF3b_deplete	TRUE	42C	10min	BR2
L80	yJB042	eIF3b_deplete	eIF3b_deplete	TRUE	46C	10min	BR2
L81	BY4741	Azide_0.5%_pH6.8	mock	FALSE	30C	30min	BR1
L82	BY4741	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8	TRUE	30C	30min	BR1
L83	BY4741	Azide_0.5%_pH6.8	mock	FALSE	30C	30min	BR2
L84	BY4741	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8	TRUE	30C	30min	BR2
L85	BY4741	4TU	4TU	FALSE	30C	10min	BR1
L86	BY4741	4TU	4TU	FALSE	42C	10min	BR1
L87	BY4741	4TU	4TU	FALSE	30C	10min	BR2
L88	BY4741	4TU	4TU	FALSE	42C	10min	BR2
L89	yHG010	hairpinReporters	none	FALSE	30C	NA	BR1
L90	yHG005	hairpinReporters	none	FALSE	30C	NA	BR1
L91	yHG006	hairpinReporters	none	FALSE	30C	NA	BR1
L92	yHG007	hairpinReporters	none	FALSE	30C	NA	BR1
L93	yHG008	hairpinReporters	none	FALSE	30C	NA	BR1
L94	yHG026	hairpinReporters	none	FALSE	30C	NA	BR1
L95	yHG027	hairpinReporters	none	FALSE	30C	NA	BR1
L96	BY4741	milderEtOH1	mock	FALSE	30C	15min	BR1
L97	BY4741	milderEtOH1	EtOH_5%	TRUE	30C	15min	BR1
L98	BY4741	milderEtOH1	EtOH_10%	TRUE	30C	15min	BR1
L99	BY4741	milderEtOH1	mock	FALSE	30C	15min	BR2
L100	BY4741	milderEtOH1	EtOH_5%	TRUE	30C	15min	BR2
L101	BY4741	milderEtOH1	EtOH_10%	TRUE	30C	15min	BR2
L102	BY4741	milderEtOH2	mock	FALSE	30C	15min	BR1
L103	BY4741	milderEtOH2	EtOH_7.5%	TRUE	30C	15min	BR1
L104	BY4741	milderEtOH2	mock	FALSE	30C	15min	BR2
L105	BY4741	milderEtOH2	EtOH_7.5%	TRUE	30C	15min	BR2
L106	BY4741	azide3	mock	FALSE	30C	30min	BR1
L107	BY4741	azide3	Azide_0.8%_pH6.8	TRUE	30C	30min	BR1
L108	BY4741	azide3	mock	FALSE	30C	30min	BR2
L109	BY4741	azide3	Azide_0.8%_pH6.8	TRUE	30C	30min	BR2
L110	BY4741	spombe_spikeIn	none	FALSE	30C	10min	BR1
L111	BY4741	spombe_spikeIn	none	FALSE	46C	10min	BR1
L112	BY4741	spombe_spikeIn	none	FALSE	30C	10min	BR2
L113	BY4741	spombe_spikeIn	none	FALSE	46C	10min	BR2
L114	BY4741	PolySeq_0.8%Azide	mock	FALSE	30C	30min	BR1
L115	BY4741	PolySeq_0.8%Azide	Azide_0.8%_pH6.8	TRUE	30C	30min	BR1
L116	BY4741	PolySeq_0.8%Azide	mock	FALSE	30C	30min	BR2
L117	BY4741	PolySeq_0.8%Azide	Azide_0.8%_pH6.8	TRUE	30C	30min	BR2
L118	yJB281	deltaDHH1	deltaDHH1	TRUE	30C	10min	BR1
L119	yJB281	deltaDHH1	deltaDHH1	TRUE	30C	10min	BR2
L120	yJB281	deltaDHH1	deltaDHH1	TRUE	42C	10min	BR1
L121	yJB281	deltaDHH1	deltaDHH1	TRUE	42C	10min	BR2
L122	BY4741	PolySeq_7.5%EtOH	mock	FALSE	30C	15min	BR1
L123	BY4741	PolySeq_7.5%EtOH	EtOH_7.5%	TRUE	30C	15min	BR1
L124	BY4741	PolySeq_7.5%EtOH	mock	FALSE	30C	15min	BR2
L125	BY4741	PolySeq_7.5%EtOH	EtOH_7.5%	TRUE	30C	15min	BR2
L126	yHG008	4TU_pre	4TU_pre	TRUE	30C	10min	BR1
L127	yHG008	4TU_pre	4TU_pre	TRUE	30C	10min	BR2
L128	yHG008	4TU_pre	4TU_pre	TRUE	42C	10min	BR1
L129	yHG008	4TU_pre	4TU_pre	TRUE	42C	10min	BR2
