ORF	FC.vs.30C	padj	Temperature	Treatment_group
YAL068C	7.63646169629773	0.563188601532915	42CR	EW_TSPP
YAL067C	1.1535365579527188	0.8151855832456169	42CR	EW_TSPP
YAL064W	38.745872076396864	0.0052087964356741755	42CR	EW_TSPP
YAL063C	3.158967245985706	4.5839554131608735e-5	42CR	EW_TSPP
YAL062W	1.1885522135094493	0.4849627731389315	42CR	EW_TSPP
YAL060W	1.5697165755780977	1.1733676441115195e-8	42CR	EW_TSPP
YAL059W	0.3183933760007701	8.612827085241358e-34	42CR	EW_TSPP
YAL058W	0.5120933420867415	1.4283009338376854e-10	42CR	EW_TSPP
YAL056W	1.401714472462152	8.836679855411667e-7	42CR	EW_TSPP
YAL055W	1.4514203089658027	0.38336369007098714	42CR	EW_TSPP
YAL054C	1.1174440683638094	0.6783103878254958	42CR	EW_TSPP
YAL053W	1.6780934670120171	3.9932597394937246e-17	42CR	EW_TSPP
YAL051W	1.3686996970685568	4.0371261968460274e-5	42CR	EW_TSPP
YAL049C	0.6610730065509014	5.873043574173154e-5	42CR	EW_TSPP
YAL048C	0.7571458096660503	0.011781444904029048	42CR	EW_TSPP
YAL047C	0.9022879678291756	0.41110984056798144	42CR	EW_TSPP
YAL046C	0.6066717674386422	0.0028880969625329884	42CR	EW_TSPP
YAL044W-A	0.6090745125689851	0.003915070564457612	42CR	EW_TSPP
YAL044C	0.944140669406158	0.609217121688063	42CR	EW_TSPP
YAL043C	1.2625503310497856	2.6623152023507195e-4	42CR	EW_TSPP
YAL042W	0.7238437557319614	5.625696902731182e-9	42CR	EW_TSPP
YAL041W	1.2102204238783545	0.0043491523381591615	42CR	EW_TSPP
YAL040C	1.148415546771224	0.3112991897582471	42CR	EW_TSPP
YAL039C	1.8518031903261327	7.627686322255006e-4	42CR	EW_TSPP
YAL038W	0.6743944488326437	5.692642432350983e-19	42CR	EW_TSPP
YAL036C	0.488578801114152	6.225926177280869e-14	42CR	EW_TSPP
YAL035W	0.6130649933851595	6.00282800634471e-27	42CR	EW_TSPP
YAL034W-A	0.608690597808691	0.01097499479707881	42CR	EW_TSPP
YAL034C	2.6655162754156785	1.0370924334323282e-16	42CR	EW_TSPP
YAL033W	0.5462615511694795	8.196820023180761e-6	42CR	EW_TSPP
YAL032C	1.2059437853852921	0.08867756316294197	42CR	EW_TSPP
YAL031C	1.8445530602455849	6.886011887162229e-13	42CR	EW_TSPP
YAL030W	1.0274315656738149	0.8679950289370443	42CR	EW_TSPP
YAL029C	1.0183150970298858	0.8454296626853366	42CR	EW_TSPP
YAL028W	2.7152656504869963	4.7133378500478975e-11	42CR	EW_TSPP
YAL027W	0.9634131775479182	0.8695405916737894	42CR	EW_TSPP
YAL026C	0.8592358916237653	0.008981239714764142	42CR	EW_TSPP
YAL025C	0.28026397584108637	1.9461043730193917e-30	42CR	EW_TSPP
YAL024C	1.1932195497038147	0.011180149515934322	42CR	EW_TSPP
YAL023C	0.793275434709942	3.4742284399461887e-7	42CR	EW_TSPP
YAL022C	0.7834999650627954	0.003998353093197391	42CR	EW_TSPP
YAL021C	0.6776755551609168	2.740541128895152e-9	42CR	EW_TSPP
YAL020C	1.4638546934251322	0.29551836800415937	42CR	EW_TSPP
YAL019W	0.6894858000700012	1.179786738244558e-10	42CR	EW_TSPP
YAL018C	8.683540976004492	0.2733410349842556	42CR	EW_TSPP
YAL017W	2.139902892670419	2.116658212521034e-47	42CR	EW_TSPP
YAL016W	1.1672033882395352	0.01108074587386177	42CR	EW_TSPP
YAL015C	1.3921237176506203	0.007683116176908503	42CR	EW_TSPP
YAL014C	1.6128777973062922	4.4273132639673333e-7	42CR	EW_TSPP
YAL013W	1.0299477755057749	0.8695405916737894	42CR	EW_TSPP
YAL012W	1.8711568720701741	6.806592886522184e-39	42CR	EW_TSPP
YAL011W	1.0300752424828594	0.8309327739980078	42CR	EW_TSPP
YAL010C	1.1369515888868762	0.3014657874255159	42CR	EW_TSPP
YAL009W	1.1770994411682996	0.2978030189034277	42CR	EW_TSPP
YAL008W	1.058160797427807	0.7615195659439794	42CR	EW_TSPP
YAL007C	0.755496352416576	1.5891575530775404e-4	42CR	EW_TSPP
YAL005C	7.973432531924366	0	42CR	EW_TSPP
YAL003W	0.9814924821750043	0.7352570859303695	42CR	EW_TSPP
YAL002W	2.251511234036417	6.214414293059595e-16	42CR	EW_TSPP
YAL001C	1.0338299875494759	0.6828099081085823	42CR	EW_TSPP
YAR002W	0.6891527116242954	1.9942028415537453e-7	42CR	EW_TSPP
YAR002C-A	0.5898434730929137	1.649449905928336e-17	42CR	EW_TSPP
YAR003W	1.5766879467340729	0.010405123605786104	42CR	EW_TSPP
YAR007C	1.3831138178644566	3.2370519504716975e-7	42CR	EW_TSPP
YAR008W	0.8679851296683692	0.3763023924596332	42CR	EW_TSPP
YAR014C	0.8134148865890383	0.0020328320896216058	42CR	EW_TSPP
YAR015W	0.5087328822867537	6.099775337143465e-14	42CR	EW_TSPP
YAR018C	0.8556241887733028	0.12358913936876706	42CR	EW_TSPP
YAR019C	1.3813344065334852	0.002383181506323836	42CR	EW_TSPP
YAR020C	NA	NA	42CR	EW_TSPP
YAR027W	1.1587534893707672	0.18414331853404348	42CR	EW_TSPP
YAR031W	0.6826693822438847	0.04645738894389742	42CR	EW_TSPP
YAR033W	0.7401379878475086	0.1643545348194935	42CR	EW_TSPP
YAR035W	1.4627381490803717	0.05425705133510154	42CR	EW_TSPP
YAR042W	1.1586019820137308	0.021403413482317394	42CR	EW_TSPP
YAR050W	3.4300254326181085	1.0282430621585958e-11	42CR	EW_TSPP
YAR071W	0.5947766511293292	0.14529853490071346	42CR	EW_TSPP
YBL111C	1.805359184351366	0.6475819850846612	42CR	EW_TSPP
YBL108C-A	NA	NA	42CR	EW_TSPP
YBL107C	1.0196309370491787	0.9212270228904953	42CR	EW_TSPP
YBL106C	0.9159289909976631	0.3752545174034595	42CR	EW_TSPP
YBL105C	1.4498098499116572	2.52427279687188e-8	42CR	EW_TSPP
YBL104C	1.0529793147998305	0.5377975172307916	42CR	EW_TSPP
