ORF	FC.vs.mock	padj	Treatment	Treatment_group
YAL068C	6.318262676741514	0.24316469025287973	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL067C	1.0239616482226064	0.9737499009953733	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL064W	2.789249507250648	0.004334142788782216	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL063C	1.6102993177954343	0.0970505025788244	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL062W	1.309557206645141	0.48739036256479507	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL060W	1.0616328940097508	0.4562813396854661	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL059W	1.03685990461047	0.8409744957745829	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL058W	1.053016215293326	0.6639899924842025	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL056W	0.9894239406411185	0.9286503565063411	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL055W	1.2104559211896873	0.617482766142094	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL054C	0.9118398533485095	0.7114410663120659	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL053W	0.8016535644705602	1.4998931549819106e-5	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL051W	1.051216260393297	0.5902065432660795	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL049C	0.7957913609132065	0.02914805687166905	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL048C	0.8009084903297465	0.05713356720055529	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL047C	0.9998076742076459	0.999013332497107	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL046C	0.8064118852283089	0.30257889852434044	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL044W-A	0.9776925978913176	0.8782528811707744	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL044C	0.9084791512006892	0.3205306013933646	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL043C	1.0595102401251877	0.43936963409257596	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL042W	0.917290800947675	0.12299641845488528	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL041W	0.8283309870330614	0.00369714237983266	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL040C	0.9420011029897195	0.37006680483293514	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL039C	1.0705533691261615	0.6752835272357626	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL038W	1.1391052871015772	8.156249707283233e-6	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL036C	0.9755385624139434	0.7818413990780374	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL035W	0.9612885846808706	0.40615582402624256	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL034W-A	1.3552133227773164	0.3450961409383786	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL034C	1.200573177047145	0.08605991643366155	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL033W	1.2918070387252725	0.23487633094228771	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
YAL032C	1.58454957027942	3.2672985232062e-6	Azide_0.8%_pH6.8	PolySeq_0.8%Azide
