ORF	FC.vs.30C	padj	Temperature	Treatment_group
YAL068C	12.908364186630562	0.05878051114105469	42C	PolySeq_10min
YAL067C	3.6502940549792555	0.0037606773212689668	42C	PolySeq_10min
YAL064W	5.3352570372616714	1.9456760790474237e-6	42C	PolySeq_10min
YAL063C	1.2049975897550516	0.27876713032484884	42C	PolySeq_10min
YAL062W	1.569429150761243	0.05113429753272818	42C	PolySeq_10min
YAL060W	7.911749905258708	4.093031211244954e-52	42C	PolySeq_10min
YAL059W	0.13372721688224454	2.738812151021177e-13	42C	PolySeq_10min
YAL058W	0.5003430734910036	7.991875195587998e-10	42C	PolySeq_10min
YAL056W	0.9536745041519293	0.6968238666493795	42C	PolySeq_10min
YAL055W	2.083994311686097	0.017425265298543144	42C	PolySeq_10min
YAL054C	1.452695837516695	0.01751477619736664	42C	PolySeq_10min
YAL053W	1.0545153118402004	0.5689582612302809	42C	PolySeq_10min
YAL051W	1.5708170310111096	8.805117248282504e-6	42C	PolySeq_10min
YAL049C	1.1161781695935329	0.2930685844425903	42C	PolySeq_10min
YAL048C	0.778539609886275	0.02441182308073689	42C	PolySeq_10min
YAL047C	0.7752525763206474	0.04503606836367402	42C	PolySeq_10min
YAL046C	0.504628767323063	0.0012634063211960202	42C	PolySeq_10min
YAL044W-A	0.9165185701512625	0.4625056514836336	42C	PolySeq_10min
YAL044C	0.617168238294746	1.32039447404945e-6	42C	PolySeq_10min
YAL043C	0.7464969564466092	0.001482057054606153	42C	PolySeq_10min
YAL042W	0.5587824176594213	5.992060969932914e-11	42C	PolySeq_10min
YAL041W	1.0913957096863502	0.3701530012609844	42C	PolySeq_10min
YAL040C	0.6550539213034173	7.206648868881445e-6	42C	PolySeq_10min
YAL039C	0.7455224969201584	0.1030359147334769	42C	PolySeq_10min
YAL038W	1.1790644734355842	0.06220418728291524	42C	PolySeq_10min
YAL036C	0.375134910642703	4.2661859538424613e-17	42C	PolySeq_10min
YAL035W	0.4347885719374608	2.2634258100395382e-15	42C	PolySeq_10min
YAL034W-A	0.8361871668357662	0.5143653367405217	42C	PolySeq_10min
YAL034C	6.953520767005644	1.835781848608727e-67	42C	PolySeq_10min
YAL033W	0.880696317353837	0.549237144739544	42C	PolySeq_10min
YAL032C	1.9432230820031866	2.9083742849006045e-10	42C	PolySeq_10min
YAL031C	1.9588468144688171	3.776518974187736e-12	42C	PolySeq_10min
YAL030W	1.5035870429185925	0.001566253070691161	42C	PolySeq_10min
YAL029C	0.47675109641717983	4.159230252902972e-17	42C	PolySeq_10min
YAL028W	5.732514088068707	1.894870081910559e-42	42C	PolySeq_10min
YAL027W	1.2055774447328358	0.3052396821545312	42C	PolySeq_10min
YAL026C	0.6636886036270176	1.2210077492092511e-6	42C	PolySeq_10min
YAL025C	0.07057729375296473	3.0680765715988564e-57	42C	PolySeq_10min
YAL024C	0.5037287226954205	6.018023673107496e-14	42C	PolySeq_10min
YAL023C	1.0983820762154728	0.30717192044764746	42C	PolySeq_10min
YAL022C	0.8499670778050888	0.1252001395080653	42C	PolySeq_10min
YAL021C	0.7367925536539653	1.9748931630116475e-4	42C	PolySeq_10min
YAL020C	0.6729881239962235	0.016596407637181437	42C	PolySeq_10min
YAL019W	0.35926188725448593	2.9034282874291524e-26	42C	PolySeq_10min
YAL018C	52.59624255816958	1.4039623911689741e-14	42C	PolySeq_10min
YAL017W	3.99159648787839	1.7386045345162172e-46	42C	PolySeq_10min
YAL016W	1.1080243604134146	0.2799158740563021	42C	PolySeq_10min
YAL015C	1.2011214884089032	0.33519488857530805	42C	PolySeq_10min
YAL014C	1.5118839612387551	1.0194897661611406e-4	42C	PolySeq_10min
YAL013W	1.1407030328311212	0.26566976425583133	42C	PolySeq_10min
YAL012W	1.167857100724367	0.050517160092210675	42C	PolySeq_10min
YAL011W	1.0593806773647751	0.7022656951195774	42C	PolySeq_10min
YAL010C	1.0341880887571417	0.7739722683181094	42C	PolySeq_10min
YAL009W	0.97000091929217	0.8747566599962039	42C	PolySeq_10min
YAL008W	1.9922760920445746	2.9627490283622802e-5	42C	PolySeq_10min
YAL007C	0.5648830867238884	1.2307354876379533e-9	42C	PolySeq_10min
YAL005C	13.158251071949225	1.8607668016973333e-121	42C	PolySeq_10min
YAL003W	1.759631191019576	3.375478530465345e-12	42C	PolySeq_10min
YAL002W	0.6235891328096677	1.3031733033782437e-6	42C	PolySeq_10min
YAL001C	1.3244192012014582	0.009894212264687086	42C	PolySeq_10min
YAR002W	0.4526415387988518	2.0597969520480548e-17	42C	PolySeq_10min
YAR002C-A	1.0986524075205018	0.4310411425884108	42C	PolySeq_10min
YAR003W	0.7201827312279503	0.015129271432637688	42C	PolySeq_10min
YAR007C	0.9201608564135457	0.39801010697126893	42C	PolySeq_10min
YAR008W	0.5584761749455543	0.012975561184319119	42C	PolySeq_10min
YAR014C	0.5103831235856418	6.728531960220411e-10	42C	PolySeq_10min
YAR015W	0.2550003971285681	6.5104852495087055e-19	42C	PolySeq_10min
YAR018C	0.30439258444563894	2.219317170432804e-12	42C	PolySeq_10min
YAR019C	1.9348158050805369	1.5267346590419916e-12	42C	PolySeq_10min
YAR020C	1.8591415089650272	0.20610932300398402	42C	PolySeq_10min
YAR027W	1.9748890142449096	3.067757648909054e-11	42C	PolySeq_10min
YAR031W	1.7308195103947364	0.17678602310941702	42C	PolySeq_10min
YAR033W	0.894444162004999	0.6188286119700117	42C	PolySeq_10min
YAR035W	2.123039342561084	4.802107544065471e-10	42C	PolySeq_10min
YAR042W	1.0945997227430642	0.31228668471462523	42C	PolySeq_10min
YAR050W	1.780945778698155	2.0692251572016575e-7	42C	PolySeq_10min
YAR071W	0.4365699700092499	9.588788563534066e-4	42C	PolySeq_10min
YBL111C	743.9782675214195	0.03714184651436407	42C	PolySeq_10min
YBL108C-A	1	1	42C	PolySeq_10min
YBL107C	0.9142110179619396	0.6531528453361014	42C	PolySeq_10min
YBL106C	0.4069717663138174	3.141891599315721e-21	42C	PolySeq_10min
YBL105C	0.8377804713192611	0.04767422535910998	42C	PolySeq_10min
YBL104C	0.6790542698957533	7.096470344847986e-4	42C	PolySeq_10min
YBL103C	0.8956635655818274	0.3549284488609482	42C	PolySeq_10min
YBL102W	1.1303954485738765	0.3860900524713923	42C	PolySeq_10min
YBL101C	2.833840704280724	3.708211141993631e-26	42C	PolySeq_10min
YBL099W	0.900629754110785	0.24396319892715723	42C	PolySeq_10min
YBL098W	1.0224149515499688	0.874048854601177	42C	PolySeq_10min
YBL097W	0.7757542788485046	0.0412431103713311	42C	PolySeq_10min
YBL093C	1.2524732840030504	0.03088219068718774	42C	PolySeq_10min
YBL092W	0.7809387514952738	0.026633435464192168	42C	PolySeq_10min
YBL091C-A	2.460751294933992	8.331406649495515e-6	42C	PolySeq_10min
YBL091C	1.0747908015114251	0.5276455717399319	42C	PolySeq_10min
YBL090W	1.0003387433917847	0.9987639381040389	42C	PolySeq_10min
YBL089W	0.8980532386582817	0.40470982758606516	42C	PolySeq_10min
YBL088C	0.8252109561670884	0.030435104355300717	42C	PolySeq_10min
YBL087C	0.4802247117215933	1.7829467180266477e-9	42C	PolySeq_10min
YBL085W	1.9561438848477883	2.03770430567364e-16	42C	PolySeq_10min
