ORF	FC.vs.mock	padj	Treatment	Treatment_group
YAL068C	NA	NA	EtOH_7.5%	PolySeq_7.5%EtOH
YAL067C	0.7701993068325267	0.6910881964734129	EtOH_7.5%	PolySeq_7.5%EtOH
YAL064W	1.374791144142598	0.45723716881614657	EtOH_7.5%	PolySeq_7.5%EtOH
YAL063C	2.1152929555355944	2.2731407484842324e-7	EtOH_7.5%	PolySeq_7.5%EtOH
YAL062W	2.287891824771073	5.430369904616174e-5	EtOH_7.5%	PolySeq_7.5%EtOH
YAL060W	1.18990509873481	0.07451665096096373	EtOH_7.5%	PolySeq_7.5%EtOH
YAL059W	0.7047768292384952	0.012331898336670862	EtOH_7.5%	PolySeq_7.5%EtOH
YAL058W	0.567399752811128	5.724527601727363e-11	EtOH_7.5%	PolySeq_7.5%EtOH
YAL056W	1.2654627679602093	0.004115926620886489	EtOH_7.5%	PolySeq_7.5%EtOH
YAL055W	1.28199882100257	0.15432150612659504	EtOH_7.5%	PolySeq_7.5%EtOH
YAL054C	1.124927437997395	0.4287582453485366	EtOH_7.5%	PolySeq_7.5%EtOH
YAL053W	1.0679409496554553	0.3904320514833876	EtOH_7.5%	PolySeq_7.5%EtOH
YAL051W	1.190214003245604	0.017170482180828634	EtOH_7.5%	PolySeq_7.5%EtOH
YAL049C	1.0249206046966495	0.8047775775857527	EtOH_7.5%	PolySeq_7.5%EtOH
YAL048C	0.912701485385333	0.35060114717657653	EtOH_7.5%	PolySeq_7.5%EtOH
YAL047C	1.023859393321064	0.8414035563419431	EtOH_7.5%	PolySeq_7.5%EtOH
YAL046C	0.8574649954493029	0.3639204202075155	EtOH_7.5%	PolySeq_7.5%EtOH
YAL044W-A	0.8002524762576898	0.016337414365507327	EtOH_7.5%	PolySeq_7.5%EtOH
YAL044C	0.8068418147388465	0.01762178661703182	EtOH_7.5%	PolySeq_7.5%EtOH
YAL043C	0.8075012050132979	0.005443504398149147	EtOH_7.5%	PolySeq_7.5%EtOH
YAL042W	0.9406087942622933	0.4018831408928152	EtOH_7.5%	PolySeq_7.5%EtOH
YAL041W	0.9092958108055418	0.18581001223988616	EtOH_7.5%	PolySeq_7.5%EtOH
YAL040C	1.0365770154989693	0.6530508124375548	EtOH_7.5%	PolySeq_7.5%EtOH
YAL039C	1.2306790479258853	0.08254692566543131	EtOH_7.5%	PolySeq_7.5%EtOH
YAL038W	1.3048931798156338	9.904155970417041e-6	EtOH_7.5%	PolySeq_7.5%EtOH
YAL036C	0.6861977590029359	2.3121396739598653e-7	EtOH_7.5%	PolySeq_7.5%EtOH
YAL035W	0.9641369045904831	0.5990583259657206	EtOH_7.5%	PolySeq_7.5%EtOH
YAL034W-A	1.2567462446806308	0.2519746022456192	EtOH_7.5%	PolySeq_7.5%EtOH
YAL034C	1.514747294051917	1.1635646095865424e-7	EtOH_7.5%	PolySeq_7.5%EtOH
YAL033W	1.2925362445210113	0.071738671148425	EtOH_7.5%	PolySeq_7.5%EtOH
YAL032C	0.8931612571166568	0.2705101899519544	EtOH_7.5%	PolySeq_7.5%EtOH
YAL031C	1.244351970374227	0.005452043258039496	EtOH_7.5%	PolySeq_7.5%EtOH
YAL030W	1.188697758693393	0.17321682913593187	EtOH_7.5%	PolySeq_7.5%EtOH
YAL029C	0.7171883904971863	3.1838493626302916e-8	EtOH_7.5%	PolySeq_7.5%EtOH
YAL028W	3.8610337348741255	8.7971599502097605e-44	EtOH_7.5%	PolySeq_7.5%EtOH
YAL027W	1.272334565352007	0.07426849093909818	EtOH_7.5%	PolySeq_7.5%EtOH
