ORF	FC.vs.mock	padj	Treatment	Treatment_group
strong_Clover	NA	NA	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
mCherry	NA	NA	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL068C	7.71436213973326	0.42898057981698934	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL067C	1.3811643945032512	0.6621967008444499	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL064W	7.60114139604796	9.680326679892578e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL063C	3.3648379607244543	6.47383428364784e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL062W	2.7417515128374803	2.9968843181188517e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL060W	1.5250838781903937	3.0448780138774536e-8	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL059W	0.8368455662657114	0.4435632089321133	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL058W	0.675607998830427	0.002072134046422669	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL056W	1.4642749847984704	7.288886552910219e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL055W	1.8651865096521678	0.046486895864840026	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL054C	0.8850207245473894	0.6938822466276164	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL053W	0.6211301927930339	2.49647918724663e-12	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL051W	1.4947350289936436	1.683564219522138e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL049C	0.6593330987135115	3.6698760277724895e-4	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL048C	1.2806034196251677	0.04636196411714881	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL047C	1.2317136841612646	0.18037701647993967	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL046C	0.35186228706848166	4.547193723124312e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL044W-A	0.5325047595679462	1.9148602658309382e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL044C	0.692228388429232	3.485753320695342e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL043C	1.0416679495894767	0.6776158311890922	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL042W	0.6466108878791025	4.6471372112949736e-10	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL041W	0.6194180597266694	2.9564400012583774e-8	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL040C	0.840046564519728	0.05123011310871564	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL039C	1.507913887789243	0.014140197847524886	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL038W	0.6808697125078267	2.8829894800228384e-13	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL036C	0.6489969127594735	1.9889457169883523e-6	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL035W	0.5822600815569127	2.0910864956922764e-23	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL034W-A	0.8973144151872466	0.759200637754832	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL034C	3.2887316810388407	1.320933782088653e-33	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL033W	1.197130011045117	0.46232227433519263	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL032C	0.9283429908047058	0.6501628774744409	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL031C	1.0831832221561302	0.5033076392285926	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL030W	0.7254536245717983	0.05383115770405542	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL029C	0.5859126521173328	1.2945882945649583e-15	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL028W	3.696067265610969	5.0498513130258097e-26	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL027W	1.576985856113256	0.019998370827683673	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL026C	0.5160375679540816	7.41444940429539e-19	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL025C	0.3345914915397038	4.9984412830524714e-20	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL024C	0.6784654933054117	3.4296258195833534e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL023C	0.4980874134370701	3.97016515642903e-31	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL022C	0.7841732300449719	0.030599513536279967	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL021C	0.7390193298721529	2.0290659279711997e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL020C	1.0985417611326527	0.6516016634882492	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL019W	0.49293328822357896	7.944249808812583e-19	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL018C	0.11903642745995527	0.4435632089321133	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL017W	1.3839866248418222	1.9233867339316383e-5	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL016W	0.9748956701319843	0.7600653500812782	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL015C	0.7846754215069734	0.231591138987704	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL014C	1.1011999701578385	0.46788201538045554	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL013W	2.3842425620681307	1.2629736886626369e-18	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL012W	0.9677106160821273	0.6106039441094603	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL011W	0.6486943041649765	0.015518175628279493	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL010C	1.0542569550736733	0.7217290640491321	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL009W	0.7629278553748098	0.17408801519245265	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
YAL008W	1.0471107295600441	0.8321185794022942	Azide_0.5%_pH6.8	Azide_0.5%_pH6.8
