ORF	FC.vs.mock	padj	Treatment	Treatment_group
strong_Clover	9.153976892795407	0.569651363094625	Azide_0.8%_pH6.8	azide3
mCherry	NA	NA	Azide_0.8%_pH6.8	azide3
YAL068C	66.57484443140142	0.005242876407075447	Azide_0.8%_pH6.8	azide3
YAL067C	0.7035652581687889	0.45650695458671453	Azide_0.8%_pH6.8	azide3
YAL064W	5.454462084090942	1.1023047900816202e-9	Azide_0.8%_pH6.8	azide3
YAL063C	2.238736193125535	2.615327780812143e-6	Azide_0.8%_pH6.8	azide3
YAL062W	1.2108307594544865	0.4330032462762866	Azide_0.8%_pH6.8	azide3
YAL060W	1.2145778489513674	0.024513816103918465	Azide_0.8%_pH6.8	azide3
YAL059W	0.9832499725060277	0.9287519161408108	Azide_0.8%_pH6.8	azide3
YAL058W	0.9757063886810816	0.8391213102877432	Azide_0.8%_pH6.8	azide3
YAL056W	0.9184496712530569	0.41083386305168174	Azide_0.8%_pH6.8	azide3
YAL055W	1.2385332227492232	0.4489664690267848	Azide_0.8%_pH6.8	azide3
YAL054C	0.9534592240640091	0.8239719030485236	Azide_0.8%_pH6.8	azide3
YAL053W	0.8116096967583964	0.0014441737135292008	Azide_0.8%_pH6.8	azide3
YAL051W	1.0575724837415896	0.5443861433131972	Azide_0.8%_pH6.8	azide3
YAL049C	0.8063160581731488	0.03378769826075735	Azide_0.8%_pH6.8	azide3
YAL048C	0.8240550065443857	0.06364823459106636	Azide_0.8%_pH6.8	azide3
YAL047C	0.9661211530010959	0.8010596428026573	Azide_0.8%_pH6.8	azide3
YAL046C	0.7926171562056451	0.22957628094628207	Azide_0.8%_pH6.8	azide3
YAL044W-A	0.9879516965099568	0.9340101013778114	Azide_0.8%_pH6.8	azide3
YAL044C	0.8658166050977139	0.10724273196830349	Azide_0.8%_pH6.8	azide3
YAL043C	1.0630589365988614	0.47967163847494465	Azide_0.8%_pH6.8	azide3
YAL042W	0.9441560143844149	0.452321102743599	Azide_0.8%_pH6.8	azide3
YAL041W	0.8107582248790552	0.00382942008738444	Azide_0.8%_pH6.8	azide3
YAL040C	0.9056110412383509	0.2041454919811072	Azide_0.8%_pH6.8	azide3
YAL039C	1.2465503092069237	0.1193123383187828	Azide_0.8%_pH6.8	azide3
YAL038W	1.1578016472109531	0.04729231288629435	Azide_0.8%_pH6.8	azide3
YAL036C	1.019059909877568	0.8624943972697104	Azide_0.8%_pH6.8	azide3
YAL035W	0.9196020101741682	0.2501192344512057	Azide_0.8%_pH6.8	azide3
YAL034W-A	1.2385269331638011	0.4232118026843704	Azide_0.8%_pH6.8	azide3
YAL034C	1.368434225086348	4.7771946824675364e-4	Azide_0.8%_pH6.8	azide3
YAL033W	1.085612010213743	0.6913299626463715	Azide_0.8%_pH6.8	azide3
YAL032C	1.3169011612553305	0.006132850349787282	Azide_0.8%_pH6.8	azide3
YAL031C	1.283566646111069	0.002752375338282196	Azide_0.8%_pH6.8	azide3
YAL030W	0.8050867364573336	0.17297329200390854	Azide_0.8%_pH6.8	azide3
YAL029C	0.8086750746084573	8.359549730261205e-4	Azide_0.8%_pH6.8	azide3
YAL028W	1.8516885669010978	8.15442534889287e-6	Azide_0.8%_pH6.8	azide3
YAL027W	1.140682299180883	0.44966484011722374	Azide_0.8%_pH6.8	azide3
YAL026C	0.8557450218480208	0.027699695205383304	Azide_0.8%_pH6.8	azide3
YAL025C	0.9113200844538002	0.41485910415672733	Azide_0.8%_pH6.8	azide3
YAL024C	0.6843628260235493	3.878500952419613e-8	Azide_0.8%_pH6.8	azide3
YAL023C	0.951231274683105	0.47661449513286186	Azide_0.8%_pH6.8	azide3
YAL022C	1.0652870394647855	0.4931147328609379	Azide_0.8%_pH6.8	azide3
YAL021C	0.899509749562134	0.1298168436368359	Azide_0.8%_pH6.8	azide3
YAL020C	0.9736265681071029	0.9024331393047367	Azide_0.8%_pH6.8	azide3
YAL019W	0.7992489983469305	0.00149383907219016	Azide_0.8%_pH6.8	azide3
YAL018C	4.711385182007341	0.44474911564720615	Azide_0.8%_pH6.8	azide3
YAL017W	0.8884633495705572	0.1531678394933355	Azide_0.8%_pH6.8	azide3
YAL016W	1.0105793485822743	0.9205025561499378	Azide_0.8%_pH6.8	azide3
YAL015C	0.9694471070113587	0.8956037363420066	Azide_0.8%_pH6.8	azide3
YAL014C	1.0179661269057463	0.895048178162636	Azide_0.8%_pH6.8	azide3
YAL013W	1.1524290225700693	0.10765407017617629	Azide_0.8%_pH6.8	azide3
YAL012W	1.1036534217133303	0.149446678372273	Azide_0.8%_pH6.8	azide3
YAL011W	0.4427227594958942	1.1110196801419382e-10	Azide_0.8%_pH6.8	azide3
YAL010C	0.8956783662057355	0.34315400168126065	Azide_0.8%_pH6.8	azide3
YAL009W	0.7330543715448555	0.024024391928510337	Azide_0.8%_pH6.8	azide3
YAL008W	1.0645554159351207	0.767660713138785	Azide_0.8%_pH6.8	azide3
YAL007C	0.9386328589095451	0.47882221524377044	Azide_0.8%_pH6.8	azide3
YAL005C	1.1678111057901548	0.07046973246330393	Azide_0.8%_pH6.8	azide3
YAL003W	0.7033632120973731	2.4865670351222577e-10	Azide_0.8%_pH6.8	azide3
YAL002W	1.384313006360624	3.2157749501508097e-6	Azide_0.8%_pH6.8	azide3
YAL001C	0.9467995113397433	0.6170868051952183	Azide_0.8%_pH6.8	azide3
YAR002W	1.164617665921914	0.040803676697628556	Azide_0.8%_pH6.8	azide3
YAR002C-A	1.2510604787993744	0.002850316252486199	Azide_0.8%_pH6.8	azide3
YAR003W	0.9469560624761284	0.6563209711567537	Azide_0.8%_pH6.8	azide3
YAR007C	0.9317968230983426	0.39322329617539376	Azide_0.8%_pH6.8	azide3
YAR008W	0.7431832125724571	0.08041761062307745	Azide_0.8%_pH6.8	azide3
YAR014C	0.9047681732362134	0.24290120000128443	Azide_0.8%_pH6.8	azide3
YAR015W	0.9059683022804218	0.3751198750684026	Azide_0.8%_pH6.8	azide3
YAR018C	0.8620323498152017	0.24341953801789304	Azide_0.8%_pH6.8	azide3
YAR019C	0.7829307236355022	0.004766547320766574	Azide_0.8%_pH6.8	azide3
YAR020C	1.0374120928923065	0.9788790762659179	Azide_0.8%_pH6.8	azide3
YAR027W	0.9622549016530051	0.7850163114618579	Azide_0.8%_pH6.8	azide3
YAR031W	2.4623462149519177	7.146448466429085e-6	Azide_0.8%_pH6.8	azide3
YAR033W	1.3654096654500425	0.02451517821383378	Azide_0.8%_pH6.8	azide3
YAR035W	1.4779211518424689	0.015905695762413807	Azide_0.8%_pH6.8	azide3
YAR042W	0.956366304029828	0.5655978688879006	Azide_0.8%_pH6.8	azide3
YAR050W	1.6656577685970548	4.920021283396363e-9	Azide_0.8%_pH6.8	azide3
YAR071W	0.5678498442234343	1.3136536840340886e-16	Azide_0.8%_pH6.8	azide3
YBL111C	0.2561856314339498	0.6036667332105161	Azide_0.8%_pH6.8	azide3
YBL108C-A	NA	NA	Azide_0.8%_pH6.8	azide3
YBL107C	0.96623177182112	0.876190226895001	Azide_0.8%_pH6.8	azide3
YBL106C	1.2951424275844663	3.3000928531003653e-4	Azide_0.8%_pH6.8	azide3
YBL105C	0.8366540399499139	0.005457872826898496	Azide_0.8%_pH6.8	azide3
YBL104C	0.6939188854405193	1.7239247153914033e-5	Azide_0.8%_pH6.8	azide3
YBL103C	0.9866119000352837	0.9147537950276183	Azide_0.8%_pH6.8	azide3
YBL102W	0.7866704325354348	0.016182923505346086	Azide_0.8%_pH6.8	azide3
YBL101C	0.8597888993786238	0.034977634118034784	Azide_0.8%_pH6.8	azide3
YBL099W	0.9468980416612971	0.47317157935805565	Azide_0.8%_pH6.8	azide3
YBL098W	1.0007830824006982	0.996281173674202	Azide_0.8%_pH6.8	azide3
YBL097W	0.8324043271525461	0.06939160885862419	Azide_0.8%_pH6.8	azide3
YBL093C	1.0646987904982506	0.5990122545464115	Azide_0.8%_pH6.8	azide3
YBL092W	1.1192837301975556	0.1550038190544797	Azide_0.8%_pH6.8	azide3
YBL091C-A	1.671060730765171	0.09141628215900859	Azide_0.8%_pH6.8	azide3
YBL091C	1.0830984760903515	0.3048147570117151	Azide_0.8%_pH6.8	azide3
YBL090W	0.7038994705352712	0.05429111870821669	Azide_0.8%_pH6.8	azide3
YBL089W	0.7433840189124725	0.006520005594097243	Azide_0.8%_pH6.8	azide3
YBL088C	1.1554705484318206	0.03633225589430085	Azide_0.8%_pH6.8	azide3
YBL087C	1.0827962592775708	0.24955399572804576	Azide_0.8%_pH6.8	azide3
YBL085W	0.6739491772073948	3.695088056839584e-11	Azide_0.8%_pH6.8	azide3
YBL084C	1.055037571165782	0.6286716622975669	Azide_0.8%_pH6.8	azide3
YBL082C	1.0799463412440955	0.4667393958053056	Azide_0.8%_pH6.8	azide3
YBL080C	0.9820050164931508	0.9238376858572387	Azide_0.8%_pH6.8	azide3
YBL079W	0.8445112435120892	0.006432337445395461	Azide_0.8%_pH6.8	azide3
YBL078C	2.227678786240676	1.367102150277216e-6	Azide_0.8%_pH6.8	azide3
YBL076C	0.8901504784408858	0.06027029240778435	Azide_0.8%_pH6.8	azide3
YBL075C	1.2667021304916508	0.027710639475453883	Azide_0.8%_pH6.8	azide3
YBL074C	1.2530414388703612	0.08285088570956013	Azide_0.8%_pH6.8	azide3
YBL072C	0.934041135664451	0.31544047421753396	Azide_0.8%_pH6.8	azide3
YBL071W-A	1.3960435736960706	0.0680227987495005	Azide_0.8%_pH6.8	azide3
YBL069W	2.088040730745971	2.4672240281764117e-13	Azide_0.8%_pH6.8	azide3
YBL068W	1.1589944256955025	0.11858503087940746	Azide_0.8%_pH6.8	azide3
YBL067C	1.1169768792051706	0.137472221409718	Azide_0.8%_pH6.8	azide3
YBL066C	1.0369490929448815	0.730272974250176	Azide_0.8%_pH6.8	azide3
YBL064C	1.5146776862394224	0.0014616706788295518	Azide_0.8%_pH6.8	azide3
YBL063W	0.7978302492849684	0.009714638067556278	Azide_0.8%_pH6.8	azide3
YBL061C	0.8091029786306986	0.003874216455149054	Azide_0.8%_pH6.8	azide3
YBL060W	0.9888964252303531	0.9391362819160949	Azide_0.8%_pH6.8	azide3
YBL059C-A	0.8043726267214223	0.16379074001087007	Azide_0.8%_pH6.8	azide3
YBL058W	0.8586422863371297	0.040885277179253776	Azide_0.8%_pH6.8	azide3
YBL057C	0.9381235598057452	0.6103998609566107	Azide_0.8%_pH6.8	azide3
YBL056W	0.9395264061790078	0.43844057605324366	Azide_0.8%_pH6.8	azide3
YBL055C	1.1142272091907044	0.42577594829706095	Azide_0.8%_pH6.8	azide3
YBL054W	1.1733497583715518	0.02008346811197367	Azide_0.8%_pH6.8	azide3
YBL052C	0.6769320775611317	3.2246802759400736e-7	Azide_0.8%_pH6.8	azide3
YBL051C	1.0277800669166013	0.8034239600599481	Azide_0.8%_pH6.8	azide3
YBL050W	1.0848570261819206	0.5156144840207659	Azide_0.8%_pH6.8	azide3
YBL049W	0.9732647395010328	0.9761463996459059	Azide_0.8%_pH6.8	azide3
YBL047C	0.6761890055554717	2.5095421474676937e-13	Azide_0.8%_pH6.8	azide3
YBL046W	1.2069900443290584	0.1251788578034697	Azide_0.8%_pH6.8	azide3
YBL045C	0.8555451492506024	0.05596712516950421	Azide_0.8%_pH6.8	azide3
YBL043W	0.9587516181270337	0.925911573041245	Azide_0.8%_pH6.8	azide3
YBL042C	0.6925469492905524	1.2821466658496748e-7	Azide_0.8%_pH6.8	azide3
YBL041W	0.987533488397301	0.9027377461772106	Azide_0.8%_pH6.8	azide3
YBL040C	1.1095032859035185	0.26729368145686333	Azide_0.8%_pH6.8	azide3
YBL039C	1.004195666284771	0.9668410773084808	Azide_0.8%_pH6.8	azide3
YBL038W	0.696834134321916	0.0038069779926689557	Azide_0.8%_pH6.8	azide3
YBL037W	0.7227036964503173	1.212937942215138e-5	Azide_0.8%_pH6.8	azide3
YBL036C	1.1335958241986004	0.2723583244976211	Azide_0.8%_pH6.8	azide3
YBL035C	0.8460504366042316	0.033863609673850034	Azide_0.8%_pH6.8	azide3
YBL034C	0.7392031402842512	4.1558915769254625e-6	Azide_0.8%_pH6.8	azide3
YBL033C	1.0556707211617768	0.6833086878763188	Azide_0.8%_pH6.8	azide3
YBL032W	0.9202803255557338	0.307884895326616	Azide_0.8%_pH6.8	azide3
YBL031W	1.2725315578467224	0.015603416582207746	Azide_0.8%_pH6.8	azide3
YBL030C	0.9054824479483511	0.2218284196484761	Azide_0.8%_pH6.8	azide3
YBL029C-A	1.9434035393144755	4.2690090200058016e-11	Azide_0.8%_pH6.8	azide3
YBL028C	1.2630408516654263	0.005002725671276433	Azide_0.8%_pH6.8	azide3
YBL027W	1.064578741762441	0.3443792231033119	Azide_0.8%_pH6.8	azide3
YBL026W	1.1743025292390965	0.11480825048815994	Azide_0.8%_pH6.8	azide3
YBL025W	1.3770236791594237	0.18011339212012356	Azide_0.8%_pH6.8	azide3
YBL024W	0.9616779258629805	0.6303137886730069	Azide_0.8%_pH6.8	azide3
YBL023C	0.6763996281970451	6.482186012234115e-7	Azide_0.8%_pH6.8	azide3
YBL022C	0.6335023269203205	2.377106608674932e-13	Azide_0.8%_pH6.8	azide3
YBL021C	0.9293085821801035	0.7769976374521583	Azide_0.8%_pH6.8	azide3
YBL020W	1.1155350210052855	0.20775459162074308	Azide_0.8%_pH6.8	azide3
YBL019W	0.8850941031332437	0.4829166304074783	Azide_0.8%_pH6.8	azide3
YBL018C	0.8487552978392385	0.35544716731975357	Azide_0.8%_pH6.8	azide3
YBL017C	0.8336356514370437	0.003057695811420519	Azide_0.8%_pH6.8	azide3
YBL016W	1.045727538520922	0.9426977063297506	Azide_0.8%_pH6.8	azide3
YBL015W	0.8112096215679024	0.14122479141999011	Azide_0.8%_pH6.8	azide3
