ORF	FC.vs.mock	padj	Treatment	Treatment_group
strong_Clover	NA	NA	EtOH_7.5%	milderEtOH2
mCherry	NA	NA	EtOH_7.5%	milderEtOH2
YAL068C	0.410799596278652	0.7538106392159732	EtOH_7.5%	milderEtOH2
YAL067C	0.7312007325422761	0.5966588690707828	EtOH_7.5%	milderEtOH2
YAL064W	2.6491075045332155	0.011070542908215948	EtOH_7.5%	milderEtOH2
YAL063C	3.323180460954444	8.313441942008102e-17	EtOH_7.5%	milderEtOH2
YAL062W	3.275523048661006	4.230439360955817e-12	EtOH_7.5%	milderEtOH2
YAL060W	0.7771864269625998	1.8274629380094791e-4	EtOH_7.5%	milderEtOH2
YAL059W	1.1106321562218417	0.5256872418487687	EtOH_7.5%	milderEtOH2
YAL058W	0.4782421358139241	1.709834937258151e-15	EtOH_7.5%	milderEtOH2
YAL056W	1.1311558218084312	0.16731750066048018	EtOH_7.5%	milderEtOH2
YAL055W	1.4443225873471246	0.06983494917614688	EtOH_7.5%	milderEtOH2
YAL054C	0.7867532196080709	0.1006646844939481	EtOH_7.5%	milderEtOH2
YAL053W	0.8946066872037761	0.10136294267997807	EtOH_7.5%	milderEtOH2
YAL051W	1.1284775169709764	0.08802321463526176	EtOH_7.5%	milderEtOH2
YAL049C	0.9740196656826074	0.7789558947931566	EtOH_7.5%	milderEtOH2
YAL048C	0.9452696648922366	0.6051979652904289	EtOH_7.5%	milderEtOH2
YAL047C	0.9567336640619861	0.7126120427971868	EtOH_7.5%	milderEtOH2
YAL046C	0.7888702625759394	0.17236166109038803	EtOH_7.5%	milderEtOH2
YAL044W-A	0.7574128160197918	0.005448203516257386	EtOH_7.5%	milderEtOH2
YAL044C	0.47663532912087586	6.728224341017016e-21	EtOH_7.5%	milderEtOH2
YAL043C	0.6919014226597999	7.748300263049798e-9	EtOH_7.5%	milderEtOH2
YAL042W	0.8484753979922421	0.014280601805868882	EtOH_7.5%	milderEtOH2
YAL041W	0.917935630178584	0.2818792882040115	EtOH_7.5%	milderEtOH2
YAL040C	0.9803408922615823	0.7869593376613018	EtOH_7.5%	milderEtOH2
YAL039C	0.998068107436487	0.990614990482758	EtOH_7.5%	milderEtOH2
YAL038W	1.4451515429529789	8.516064233983605e-12	EtOH_7.5%	milderEtOH2
YAL036C	1.1355379293604773	0.14106962260502132	EtOH_7.5%	milderEtOH2
YAL035W	1.300577446391934	2.0469679981107803e-6	EtOH_7.5%	milderEtOH2
YAL034W-A	0.9239949877692375	0.7651792937015188	EtOH_7.5%	milderEtOH2
YAL034C	1.5744217676119	2.581376031082632e-9	EtOH_7.5%	milderEtOH2
YAL033W	1.4245276546024102	0.011848060411304335	EtOH_7.5%	milderEtOH2
YAL032C	0.7331062684142318	0.0017157699679855299	EtOH_7.5%	milderEtOH2
YAL031C	1.2143710160217864	0.01287329820275068	EtOH_7.5%	milderEtOH2
YAL030W	0.8536993338597287	0.22427359706770975	EtOH_7.5%	milderEtOH2
YAL029C	0.7578697654880455	1.8884347668324963e-6	EtOH_7.5%	milderEtOH2
YAL028W	3.3755191954072177	1.082737625130633e-49	EtOH_7.5%	milderEtOH2
YAL027W	1.1454832146914358	0.3575530648161271	EtOH_7.5%	milderEtOH2
YAL026C	0.7296890737114645	5.291297881735764e-8	EtOH_7.5%	milderEtOH2
YAL025C	1.0614429763465212	0.5274293068254211	EtOH_7.5%	milderEtOH2
YAL024C	0.7331481366868887	1.639981245437564e-5	EtOH_7.5%	milderEtOH2
YAL023C	1.067791357558485	0.26903431588132015	EtOH_7.5%	milderEtOH2
YAL022C	0.722283925630963	6.678244328983366e-6	EtOH_7.5%	milderEtOH2
YAL021C	0.849427136638901	0.007190739012864483	EtOH_7.5%	milderEtOH2
YAL020C	0.7799381511134679	0.0866673855262327	EtOH_7.5%	milderEtOH2
YAL019W	0.5844379345772829	1.2201992552864837e-14	EtOH_7.5%	milderEtOH2
YAL018C	20.428953856978257	0.18866477565367076	EtOH_7.5%	milderEtOH2
YAL017W	1.338278934834221	2.3807033428256267e-6	EtOH_7.5%	milderEtOH2
YAL016W	0.9572274760378524	0.5695596266138622	EtOH_7.5%	milderEtOH2
YAL015C	0.6965387813625455	0.021530322871454084	EtOH_7.5%	milderEtOH2
YAL014C	1.139935328362923	0.138345394121746	EtOH_7.5%	milderEtOH2
YAL013W	1.418769530818943	7.287426385975772e-6	EtOH_7.5%	milderEtOH2
YAL012W	1.4220127518365446	1.903672009293018e-8	EtOH_7.5%	milderEtOH2
YAL011W	0.628647223654091	8.371757298940597e-5	EtOH_7.5%	milderEtOH2
YAL010C	1.2574063653833598	0.013313111708691835	EtOH_7.5%	milderEtOH2
YAL009W	0.5421758859513628	4.174484420077133e-7	EtOH_7.5%	milderEtOH2
YAL008W	0.957650427130809	0.7530196724491932	EtOH_7.5%	milderEtOH2
YAL007C	0.9940782215888616	0.9523827912345261	EtOH_7.5%	milderEtOH2
YAL005C	4.172324804174325	5.577564417370328e-123	EtOH_7.5%	milderEtOH2
YAL003W	0.8404660282273049	0.002301490436987815	EtOH_7.5%	milderEtOH2
YAL002W	1.152709179871409	0.033641072581258175	EtOH_7.5%	milderEtOH2
