"X","Strain","bio_rep","normalizedClover","normalizedmCherry","correctedGreenRedRatio","hairpin","mfe","dG_ensemble"
1,"HG001",1,3064.15986633301,7994.96515607834,0.383261190826256,NA,NA,NA
2,"HG001",2,2881.12007141113,7665.26007795334,0.375867229827955,NA,NA,NA
3,"HG003",1,66.8800048828125,8604.66046857834,0.00777253270213722,NA,NA,NA
4,"HG003",2,53.6800079345703,8197.79035139084,0.00654810694511881,NA,NA,NA
5,"HG004",1,1399.20002746582,8543.66046857834,0.163770556263532,NA,NA,NA
6,"HG004",2,1390.3999786377,8730.32062482834,0.1592610441687,NA,NA,NA
7,"HG005",1,3021.03999328613,8364.32062482834,0.361181753879519,"weakest",-10.1,-10.53
8,"HG005",2,2798.84004211426,7824.16535139084,0.357717394305417,"weakest",-10.1,-10.53
9,"HG006",1,1556.27998352051,8095.30988264084,0.192244646107707,"weak",-13.3,-13.77
10,"HG006",2,1434.3999786377,7560.95050764084,0.189711594750969,"weak",-13.3,-13.77
11,"HG007",1,943.360000610352,8037.05499982834,0.117376327601404,"medium",-23.2,-23.33
12,"HG007",2,945.11994934082,8204.19562482834,0.115199587206405,"medium",-23.2,-23.33
13,"HG008",1,60.7200012207031,7852.22492170334,0.00773284028745466,"strong",-29.2,-29.29
14,"HG008",2,52.8000030517578,7641.77521467209,0.00690938971227296,"strong",-29.2,-29.29
15,"HG010",1,3076.47993469238,8170.64484357834,0.376528412822927,"no hairpin control",-1,-2.08
16,"HG010",2,2747.36006164551,7362.70001935959,0.373145728390612,"no hairpin control",-1,-2.08
