Lysate_sample	Dataset	Variable	mean	sd	percent_error
L7	snake_170622_170627	mixing_Sup	0.8623341868443444	0.00191208186284446	0.22173327835251422
L7	snake_170622_170627	mixing_Pellet	0.116258431760526	0.00120822800547085	1.0392605397943167
L8	snake_170622_170627	mixing_Sup	0.6194023414394235	0.00208755540019829	0.33702736663007093
L8	snake_170622_170627	mixing_Pellet	0.29706355197450823	0.00136096616463549	0.4581397332622879
L9	snake_170622_170627	mixing_Sup	0.34759449814903	0.00375882595281668	1.0813824651519932
L9	snake_170622_170627	mixing_Pellet	0.6354648739646558	0.00207971245423242	0.32727417980747314
L11	snake_170622_170627	mixing_Sup	0.8589265328828403	0.00154965551954472	0.18041770282070177
L11	snake_170622_170627	mixing_Pellet	0.123258954539226	0.00111924329791759	0.9080421800603552
L12	snake_170622_170627	mixing_Sup	0.6177462132366185	0.0015372812051566	0.24885319767517008
L12	snake_170622_170627	mixing_Pellet	0.3308434883184949	0.00108214652268264	0.32708714570222525
L13	snake_170622_170627	mixing_Sup	0.36020370342976565	0.00327192238130407	0.9083533428861722
L13	snake_170622_170627	mixing_Pellet	0.6183710955383293	0.00182483135436197	0.2951029515332285
L31	snake_220403	mixing_Sup	2.1357759769935587	0.00456989894804017	0.21396902096787432
L31	snake_220403	mixing_Pellet	0.31192264496041755	0.00235285658463103	0.7543077178412627
L32	snake_220403	mixing_Sup	1.247341461138305	0.00852677599803774	0.6835959730109775
L32	snake_220403	mixing_Pellet	0.3654953601163508	9.09703820484727e-4	0.2488961337826927
L33	snake_220403	mixing_Sup	1.036198135354641	0.00218866335129908	0.21122054524350264
L33	snake_220403	mixing_Pellet	0.2150398420847404	0.00141660497976747	0.658763960219628
L34	snake_220403	mixing_Sup	2.0121156865466157	0.02015829413476862	1.0018456826091446
L34	snake_220403	mixing_Pellet	1.1234120527601137	0.0061994542697884	0.5518415308574397
L35	snake_220403	mixing_Sup	0.828584958375083	0.00169394131180221	0.20443785452298768
L35	snake_220403	mixing_Pellet	0.09399880651558816	8.261073595893519e-4	0.8788487750132822
L36	snake_220403	mixing_Sup	0.8643875520032873	0.00482528917100764	0.5582321448087315
L36	snake_220403	mixing_Pellet	0.3379079942622808	0.00120538218258225	0.3567190486907049
L37	snake_220403	mixing_Sup	0.3033649022920933	0.00282383272300184	0.9308369892713981
L37	snake_220403	mixing_Pellet	0.19265374008146977	6.439923235905776e-4	0.33427449854762487
L38	snake_220403	mixing_Sup	0.7297552966572332	0.00168077424799934	0.2303202533367567
L38	snake_220403	mixing_Pellet	0.16599087459042214	0.00151285206182169	0.9114067659168676
L39	snake_220403	mixing_Sup	0.8674514372774864	0.00286231396294308	0.32996820801018084
L39	snake_220403	mixing_Pellet	0.3991121448307881	0.00172550295219439	0.43233536602248795
L40	snake_220403	mixing_Sup	0.835167234481121	0.00379903091917061	0.45488265850502396
L40	snake_220403	mixing_Pellet	1.0799177893558844	0.00296911666840551	0.2749391386705868
L41	snake_220725	mixing_Sup	0.6322843983780903	0.0015544347486882	0.2458442360234685
L41	snake_220725	mixing_Pellet	0.12674735051740663	0.00223644237176941	1.764488458843384
L43	snake_220725	mixing_Sup	0.2799402317615554	0.00187964809478102	0.6714462165559851
L43	snake_220725	mixing_Pellet	0.43285358341983887	0.00189689575469456	0.43823034563045277
L44	snake_220725	mixing_Sup	0.37798479828028664	9.767879385810588e-4	0.258419900224861
L44	snake_220725	mixing_Pellet	0.11319039690822393	0.00187326431321639	1.6549675276209646
L46	snake_220725	mixing_Sup	1.0510696265632558	0.00733508197883407	0.6978683232259331
L46	snake_220725	mixing_Pellet	0.4611808480489205	0.0020621167740945	0.4471384236397773
L47	snake_220725	mixing_Sup	1.0826549078893668	0.00194724247840852	0.1798580936749887
L47	snake_220725	mixing_Pellet	0.12164078409529694	0.00105463249997124	0.86700567397281
L48	snake_220725	mixing_Sup	0.5771646635283112	8.546932861940442e-4	0.14808482573571824
L48	snake_220725	mixing_Pellet	0.05623241996062999	5.636761322338255e-4	1.0024041871725813
L49	snake_220725	mixing_Sup	0.8256438699962326	0.00118997706112289	0.14412715994952155
L49	snake_220725	mixing_Pellet	0.09898689172815182	8.183625735506665e-4	0.826738327937541
L50	snake_220725	mixing_Sup	1.8679847236729936	0.00359965544895812	0.19270261706852534
L50	snake_220725	mixing_Pellet	0.08114923278444656	8.691299735531583e-4	1.0710267290656872
L57	snake_221019	mixing_Sup	1.2815210981195668	0.00388576166046857	0.3032148020169408
L57	snake_221019	mixing_Pellet	0.26953326677825307	0.00221918661961293	0.8233442372954545
L58	snake_221019	mixing_Sup	0.49250656035418466	0.00244351984259521	0.4961395520981406
L58	snake_221019	mixing_Pellet	0.33672386645324087	0.00146885289628618	0.43621882575708426
L59	snake_221019	mixing_Sup	0.5270099308746088	0.00534446985076399	1.0141117913839837
L59	snake_221019	mixing_Pellet	0.4558316565958295	0.00173723298651722	0.38111284316911
L60	snake_221019	mixing_Sup	0.6712120312224373	0.00205881248449592	0.30673056928767073
L60	snake_221019	mixing_Pellet	0.2416387125014444	0.00152216396087494	0.6299338152887407
L61	snake_221019	mixing_Sup	0.5963942246557165	0.00365948183230287	0.6136011518916699
