Variable	Term	Value
mixing_Sup	mean	0.6177462132366185
mixing_Sup	se_mean	4.337461191801705e-5
mixing_Sup	sd	0.0015372812051566024
mixing_Sup	x2.5	0.6147339059711462
mixing_Sup	x25	0.6166949272033607
mixing_Sup	x50	0.6177608256478886
mixing_Sup	x75	0.6188113285993891
mixing_Sup	x97.5	0.6206803138628452
mixing_Sup	n_eff	1256.1324380118685
mixing_Sup	Rhat	1.001731107650075
mixing_Pellet	mean	0.3308434883184949
mixing_Pellet	se_mean	3.135868932884279e-5
mixing_Pellet	sd	0.001082146522682649
mixing_Pellet	x2.5	0.32876256288041766
mixing_Pellet	x25	0.33010480779141993
mixing_Pellet	x50	0.3308005342006133
mixing_Pellet	x75	0.33157389554064387
mixing_Pellet	x97.5	0.33300176151268096
mixing_Pellet	n_eff	1190.8479992462194
mixing_Pellet	Rhat	1.0008212490961226
phi	mean	643.8678433294757
phi	se_mean	0.8881121879836305
phi	sd	25.4961232244381
phi	x2.5	597.8151698510851
phi	x25	625.6874688592899
phi	x50	643.5150209835308
phi	x75	660.3584988334032
phi	x97.5	694.0174450129126
phi	n_eff	824.162099029848
phi	Rhat	1.0046443725780747
lp__	mean	124017990.44543324
lp__	se_mean	0.045093154511719934
lp__	sd	1.2346738030742708
lp__	x2.5	124017987.19092499
lp__	x25	124017989.9057473
lp__	x50	124017990.74909897
lp__	x75	124017991.33790734
lp__	x97.5	124017991.82506922
lp__	n_eff	749.692613285562
lp__	Rhat	1.0025998400951026
