Variable	Term	Value
mixing_Sup	mean	0.4855628200867196
mixing_Sup	se_mean	3.221772238686783e-5
mixing_Sup	sd	0.0011753772974349862
mixing_Sup	x2.5	0.48327745384365267
mixing_Sup	x25	0.4847656034882184
mixing_Sup	x50	0.4855453424789601
mixing_Sup	x75	0.48633075795731046
mixing_Sup	x97.5	0.48796683176802164
mixing_Sup	n_eff	1330.9597623703796
mixing_Sup	Rhat	1.0013254932219686
mixing_Pellet	mean	0.17391131667853077
mixing_Pellet	se_mean	3.6803820977106826e-5
mixing_Pellet	sd	0.00123347131625028
mixing_Pellet	x2.5	0.17140160863812828
mixing_Pellet	x25	0.17307805456426065
mixing_Pellet	x50	0.17393665629114546
mixing_Pellet	x75	0.17474100327936598
mixing_Pellet	x97.5	0.1763187270894007
mixing_Pellet	n_eff	1123.239300167998
mixing_Pellet	Rhat	1.0007519197255363
phi	mean	438.9519090603122
phi	se_mean	0.7093916492388409
phi	sd	20.58032015219231
phi	x2.5	399.21585501445736
phi	x25	425.70792294711185
phi	x50	438.72187294319446
phi	x75	453.0447427573399
phi	x97.5	479.8037126650487
phi	n_eff	841.6511271711589
phi	Rhat	1.0070096886936535
lp__	mean	31806411.876375705
lp__	se_mean	0.044101306846655246
lp__	sd	1.2396147937310025
lp__	x2.5	31806408.59819324
lp__	x25	31806411.363658916
lp__	x50	31806412.21885597
lp__	x75	31806412.754961737
lp__	x97.5	31806413.26774467
lp__	n_eff	790.0791171923336
lp__	Rhat	0.9991713706171789
