Lysate_sample	Dataset	Variable	Term	Value
L7	snake_170622_170627	mixing_Sup	mean	0.8623341868443444
L7	snake_170622_170627	mixing_Sup	se_mean	4.8622204003277266e-5
L7	snake_170622_170627	mixing_Sup	sd	0.00191208186284446
L7	snake_170622_170627	mixing_Sup	x2.5	0.8586489743624101
L7	snake_170622_170627	mixing_Sup	x25	0.8610832440082633
L7	snake_170622_170627	mixing_Sup	x50	0.8623478850235162
L7	snake_170622_170627	mixing_Sup	x75	0.8635506452948587
L7	snake_170622_170627	mixing_Sup	x97.5	0.866170312450342
L7	snake_170622_170627	mixing_Sup	n_eff	1546.4777703359168
L7	snake_170622_170627	mixing_Sup	Rhat	0.999338679544618
L7	snake_170622_170627	mixing_Pellet	mean	0.116258431760526
L7	snake_170622_170627	mixing_Pellet	se_mean	3.4623976300712485e-5
L7	snake_170622_170627	mixing_Pellet	sd	0.00120822800547085
L7	snake_170622_170627	mixing_Pellet	x2.5	0.1137865209590853
L7	snake_170622_170627	mixing_Pellet	x25	0.11548443281798024
L7	snake_170622_170627	mixing_Pellet	x50	0.11626464129960044
L7	snake_170622_170627	mixing_Pellet	x75	0.11706449170385942
L7	snake_170622_170627	mixing_Pellet	x97.5	0.11851719416425598
L7	snake_170622_170627	mixing_Pellet	n_eff	1217.7101116537533
L7	snake_170622_170627	mixing_Pellet	Rhat	0.9996371495558498
L7	snake_170622_170627	phi	mean	156.47449192573387
L7	snake_170622_170627	phi	se_mean	0.1327546254140598
L7	snake_170622_170627	phi	sd	4.259209498611519
L7	snake_170622_170627	phi	x2.5	147.9171494524908
L7	snake_170622_170627	phi	x25	153.60918082905695
L7	snake_170622_170627	phi	x50	156.4577559317988
L7	snake_170622_170627	phi	x75	159.285012274999
L7	snake_170622_170627	phi	x97.5	164.9306227181403
L7	snake_170622_170627	phi	n_eff	1029.3396010475662
L7	snake_170622_170627	phi	Rhat	1.0047995750428886
L7	snake_170622_170627	lp__	mean	124041046.9267879
L7	snake_170622_170627	lp__	se_mean	0.05037622162516954
L7	snake_170622_170627	lp__	sd	1.242423056880549
L7	snake_170622_170627	lp__	x2.5	124041043.81899004
L7	snake_170622_170627	lp__	x25	124041046.39323875
L7	snake_170622_170627	lp__	x50	124041047.25230542
L7	snake_170622_170627	lp__	x75	124041047.82773632
L7	snake_170622_170627	lp__	x97.5	124041048.30499442
L7	snake_170622_170627	lp__	n_eff	608.2579907216395
L7	snake_170622_170627	lp__	Rhat	1.0034979544719715
L8	snake_170622_170627	mixing_Sup	mean	0.6194023414394235
L8	snake_170622_170627	mixing_Sup	se_mean	6.456394272595722e-5
L8	snake_170622_170627	mixing_Sup	sd	0.00208755540019829
L8	snake_170622_170627	mixing_Sup	x2.5	0.6153635472250553
L8	snake_170622_170627	mixing_Sup	x25	0.6180547465125398
L8	snake_170622_170627	mixing_Sup	x50	0.6194047102645814
L8	snake_170622_170627	mixing_Sup	x75	0.620806132692391
L8	snake_170622_170627	mixing_Sup	x97.5	0.6235483061120375
L8	snake_170622_170627	mixing_Sup	n_eff	1045.4323439833202
L8	snake_170622_170627	mixing_Sup	Rhat	1.0024067042927722
L8	snake_170622_170627	mixing_Pellet	mean	0.29706355197450823
L8	snake_170622_170627	mixing_Pellet	se_mean	4.188079631477984e-5
L8	snake_170622_170627	mixing_Pellet	sd	0.00136096616463549
L8	snake_170622_170627	mixing_Pellet	x2.5	0.29437797982907593
L8	snake_170622_170627	mixing_Pellet	x25	0.2961285385001362
L8	snake_170622_170627	mixing_Pellet	x50	0.2970631946327651
L8	snake_170622_170627	mixing_Pellet	x75	0.29799842700744494
