Treatment,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count,Temperature,Depletion,SG_per_cell_compressed
44C_treat,BioRep1,1,1,4,44C,eIF3b depletion,4
44C_treat,BioRep1,1,2,1,44C,eIF3b depletion,1
44C_treat,BioRep1,1,3,0,44C,eIF3b depletion,0
44C_treat,BioRep1,1,4,6,44C,eIF3b depletion,6
44C_treat,BioRep1,1,5,1,44C,eIF3b depletion,1
44C_treat,BioRep1,1,6,3,44C,eIF3b depletion,3
44C_treat,BioRep1,1,7,2,44C,eIF3b depletion,2
44C_treat,BioRep1,1,8,3,44C,eIF3b depletion,3
44C_treat,BioRep1,1,9,1,44C,eIF3b depletion,1
44C_treat,BioRep1,1,10,2,44C,eIF3b depletion,2
44C_treat,BioRep1,1,11,4,44C,eIF3b depletion,4
44C_treat,BioRep1,1,12,12,44C,eIF3b depletion,12
44C_treat,BioRep1,1,13,3,44C,eIF3b depletion,3
44C_treat,BioRep1,1,14,3,44C,eIF3b depletion,3
44C_treat,BioRep1,1,15,1,44C,eIF3b depletion,1
44C_treat,BioRep1,1,16,1,44C,eIF3b depletion,1
44C_treat,BioRep1,1,17,12,44C,eIF3b depletion,12
44C_treat,BioRep1,1,18,3,44C,eIF3b depletion,3
44C_treat,BioRep1,2,1,1,44C,eIF3b depletion,1
44C_treat,BioRep1,2,2,4,44C,eIF3b depletion,4
44C_treat,BioRep1,2,3,3,44C,eIF3b depletion,3
44C_treat,BioRep1,2,4,1,44C,eIF3b depletion,1
44C_treat,BioRep1,2,5,2,44C,eIF3b depletion,2
44C_treat,BioRep1,2,6,1,44C,eIF3b depletion,1
44C_treat,BioRep1,2,7,1,44C,eIF3b depletion,1
44C_treat,BioRep1,2,8,0,44C,eIF3b depletion,0
44C_treat,BioRep1,2,9,0,44C,eIF3b depletion,0
44C_treat,BioRep1,2,10,3,44C,eIF3b depletion,3
44C_treat,BioRep1,2,11,4,44C,eIF3b depletion,4
44C_treat,BioRep1,2,12,5,44C,eIF3b depletion,5
44C_treat,BioRep1,2,13,7,44C,eIF3b depletion,7
44C_treat,BioRep1,2,14,3,44C,eIF3b depletion,3
44C_treat,BioRep1,2,15,2,44C,eIF3b depletion,2
44C_treat,BioRep1,2,16,3,44C,eIF3b depletion,3
44C_treat,BioRep1,3,1,3,44C,eIF3b depletion,3
44C_treat,BioRep1,3,2,6,44C,eIF3b depletion,6
44C_treat,BioRep1,3,3,0,44C,eIF3b depletion,0
44C_treat,BioRep1,3,4,3,44C,eIF3b depletion,3
44C_treat,BioRep1,3,5,3,44C,eIF3b depletion,3
44C_treat,BioRep1,3,6,3,44C,eIF3b depletion,3
44C_treat,BioRep1,3,7,2,44C,eIF3b depletion,2
44C_treat,BioRep1,3,8,1,44C,eIF3b depletion,1
44C_treat,BioRep1,3,9,1,44C,eIF3b depletion,1
44C_treat,BioRep1,3,10,1,44C,eIF3b depletion,1
44C_treat,BioRep1,3,11,4,44C,eIF3b depletion,4
44C_treat,BioRep1,3,12,5,44C,eIF3b depletion,5
44C_treat,BioRep1,3,13,2,44C,eIF3b depletion,2
44C_treat,BioRep1,3,14,3,44C,eIF3b depletion,3
44C_treat,BioRep1,4,1,10,44C,eIF3b depletion,10
44C_treat,BioRep1,4,2,2,44C,eIF3b depletion,2
44C_treat,BioRep1,4,3,2,44C,eIF3b depletion,2
44C_treat,BioRep1,4,4,5,44C,eIF3b depletion,5
44C_treat,BioRep1,4,5,2,44C,eIF3b depletion,2
44C_treat,BioRep1,4,6,1,44C,eIF3b depletion,1
44C_treat,BioRep1,4,7,3,44C,eIF3b depletion,3
44C_treat,BioRep1,4,8,2,44C,eIF3b depletion,2
44C_treat,BioRep1,4,9,4,44C,eIF3b depletion,4
44C_treat,BioRep1,4,10,3,44C,eIF3b depletion,3
44C_treat,BioRep1,4,11,2,44C,eIF3b depletion,2
44C_treat,BioRep1,5,1,4,44C,eIF3b depletion,4
44C_treat,BioRep1,5,2,4,44C,eIF3b depletion,4
44C_treat,BioRep1,5,3,9,44C,eIF3b depletion,9
44C_treat,BioRep1,5,4,3,44C,eIF3b depletion,3
44C_treat,BioRep1,5,5,7,44C,eIF3b depletion,7
44C_treat,BioRep1,5,6,3,44C,eIF3b depletion,3
44C_treat,BioRep1,5,7,6,44C,eIF3b depletion,6
44C_treat,BioRep1,5,8,4,44C,eIF3b depletion,4
44C_treat,BioRep1,5,9,1,44C,eIF3b depletion,1
44C_treat,BioRep1,5,10,2,44C,eIF3b depletion,2
44C_treat,BioRep1,5,11,4,44C,eIF3b depletion,4
44C_treat,BioRep1,5,12,7,44C,eIF3b depletion,7
44C_treat,BioRep1,5,13,1,44C,eIF3b depletion,1
44C_treat,BioRep1,5,14,3,44C,eIF3b depletion,3
44C_treat,BioRep1,5,15,1,44C,eIF3b depletion,1
44C_treat,BioRep1,5,16,1,44C,eIF3b depletion,1
44C_treat,BioRep1,5,17,7,44C,eIF3b depletion,7
44C_treat,BioRep1,5,18,4,44C,eIF3b depletion,4
44C_treat,BioRep1,5,19,3,44C,eIF3b depletion,3
44C_treat,BioRep1,5,20,3,44C,eIF3b depletion,3
44C_treat,BioRep1,5,21,1,44C,eIF3b depletion,1
44C_treat,BioRep1,5,22,1,44C,eIF3b depletion,1
44C_treat,BioRep1,5,23,8,44C,eIF3b depletion,8
44C_treat,BioRep1,5,24,3,44C,eIF3b depletion,3
44C_treat,BioRep1,5,25,1,44C,eIF3b depletion,1
44C_treat,BioRep1,5,26,2,44C,eIF3b depletion,2
44C_treat,BioRep1,5,27,4,44C,eIF3b depletion,4
44C_treat,BioRep1,6,1,4,44C,eIF3b depletion,4
44C_treat,BioRep1,6,2,5,44C,eIF3b depletion,5
44C_treat,BioRep1,6,3,1,44C,eIF3b depletion,1
44C_treat,BioRep1,6,4,1,44C,eIF3b depletion,1
44C_treat,BioRep1,6,5,3,44C,eIF3b depletion,3
44C_treat,BioRep1,6,6,3,44C,eIF3b depletion,3
44C_treat,BioRep1,6,7,4,44C,eIF3b depletion,4
44C_treat,BioRep1,6,8,6,44C,eIF3b depletion,6
44C_treat,BioRep1,6,9,5,44C,eIF3b depletion,5
44C_treat,BioRep1,6,10,5,44C,eIF3b depletion,5
44C_treat,BioRep1,6,11,1,44C,eIF3b depletion,1
44C_treat,BioRep1,6,12,0,44C,eIF3b depletion,0
44C_treat,BioRep1,6,13,3,44C,eIF3b depletion,3
44C_treat,BioRep1,6,14,7,44C,eIF3b depletion,7
44C_treat,BioRep1,6,15,4,44C,eIF3b depletion,4
44C_treat,BioRep1,6,16,3,44C,eIF3b depletion,3
44C_treat,BioRep1,6,17,2,44C,eIF3b depletion,2
44C_treat,BioRep1,6,18,10,44C,eIF3b depletion,10
44C_treat,BioRep1,6,19,4,44C,eIF3b depletion,4
44C_treat,BioRep1,6,20,4,44C,eIF3b depletion,4
44C_treat,BioRep1,6,21,2,44C,eIF3b depletion,2
44C_treat,BioRep1,6,22,4,44C,eIF3b depletion,4
44C_treat,BioRep1,6,23,2,44C,eIF3b depletion,2
44C_treat,BioRep1,7,1,6,44C,eIF3b depletion,6
44C_treat,BioRep1,7,2,5,44C,eIF3b depletion,5
44C_treat,BioRep1,7,3,6,44C,eIF3b depletion,6
44C_treat,BioRep1,7,4,2,44C,eIF3b depletion,2
44C_treat,BioRep1,7,5,4,44C,eIF3b depletion,4
44C_treat,BioRep1,7,6,4,44C,eIF3b depletion,4
44C_treat,BioRep1,7,7,5,44C,eIF3b depletion,5
44C_treat,BioRep1,7,8,2,44C,eIF3b depletion,2
44C_treat,BioRep1,7,9,6,44C,eIF3b depletion,6
44C_treat,BioRep1,7,10,4,44C,eIF3b depletion,4
44C_treat,BioRep1,7,11,9,44C,eIF3b depletion,9
44C_treat,BioRep1,7,12,7,44C,eIF3b depletion,7
44C_treat,BioRep1,7,13,3,44C,eIF3b depletion,3
44C_treat,BioRep1,7,14,8,44C,eIF3b depletion,8
44C_treat,BioRep1,7,15,3,44C,eIF3b depletion,3
44C_treat,BioRep1,7,16,4,44C,eIF3b depletion,4
44C_treat,BioRep1,7,17,4,44C,eIF3b depletion,4
44C_treat,BioRep1,8,1,2,44C,eIF3b depletion,2
44C_treat,BioRep1,8,2,2,44C,eIF3b depletion,2
44C_treat,BioRep1,8,3,4,44C,eIF3b depletion,4
44C_treat,BioRep1,8,4,2,44C,eIF3b depletion,2
44C_treat,BioRep1,8,5,2,44C,eIF3b depletion,2
44C_treat,BioRep1,8,6,6,44C,eIF3b depletion,6
44C_treat,BioRep1,8,7,2,44C,eIF3b depletion,2
44C_treat,BioRep1,8,8,0,44C,eIF3b depletion,0
44C_treat,BioRep1,8,9,1,44C,eIF3b depletion,1
44C_treat,BioRep1,8,10,0,44C,eIF3b depletion,0
44C_treat,BioRep1,8,11,1,44C,eIF3b depletion,1
44C_treat,BioRep1,8,12,2,44C,eIF3b depletion,2
