Treatment,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count,Stress
0_0,BioRep1,1,1,0,Azide
0_0,BioRep1,1,2,0,Azide
0_0,BioRep1,1,3,0,Azide
0_0,BioRep1,1,4,0,Azide
0_0,BioRep1,1,5,0,Azide
0_0,BioRep1,1,6,0,Azide
0_0,BioRep1,1,7,0,Azide
0_0,BioRep1,1,8,0,Azide
0_0,BioRep1,2,1,0,Azide
0_0,BioRep1,2,2,0,Azide
0_0,BioRep1,2,3,0,Azide
0_0,BioRep1,2,4,0,Azide
0_0,BioRep1,2,5,0,Azide
0_0,BioRep1,2,6,0,Azide
0_0,BioRep1,2,7,0,Azide
0_0,BioRep1,2,8,0,Azide
0_0,BioRep1,2,9,0,Azide
0_0,BioRep1,2,10,0,Azide
0_0,BioRep1,2,11,0,Azide
0_0,BioRep1,2,12,0,Azide
0_0,BioRep1,2,13,0,Azide
0_0,BioRep1,2,14,0,Azide
0_0,BioRep1,2,15,0,Azide
0_0,BioRep1,2,16,0,Azide
0_0,BioRep1,3,1,1,Azide
0_0,BioRep1,3,2,0,Azide
0_0,BioRep1,3,3,0,Azide
0_0,BioRep1,3,4,0,Azide
0_0,BioRep1,3,5,0,Azide
0_0,BioRep1,3,6,2,Azide
0_0,BioRep1,3,7,0,Azide
0_0,BioRep1,4,1,0,Azide
0_0,BioRep1,4,2,0,Azide
0_0,BioRep1,4,3,0,Azide
0_0,BioRep1,4,4,0,Azide
0_0,BioRep1,4,5,0,Azide
0_0,BioRep1,4,6,0,Azide
0_0,BioRep1,4,7,0,Azide
0_0,BioRep1,4,8,0,Azide
0_0,BioRep1,4,9,0,Azide
0_0,BioRep1,5,1,0,Azide
0_0,BioRep1,5,2,0,Azide
0_0,BioRep1,5,3,0,Azide
0_0,BioRep1,5,4,0,Azide
0_0,BioRep1,5,5,0,Azide
0_0,BioRep1,5,6,0,Azide
0_0,BioRep1,5,7,0,Azide
0_0,BioRep1,5,8,0,Azide
0_0,BioRep1,5,9,0,Azide
0_0,BioRep1,5,10,0,Azide
0_0,BioRep1,6,1,0,Azide
0_0,BioRep1,6,2,0,Azide
0_0,BioRep1,6,3,0,Azide
0_0,BioRep1,6,4,0,Azide
0_0,BioRep1,6,5,0,Azide
0_0,BioRep1,6,6,0,Azide
0_0,BioRep1,6,7,0,Azide
0_0,BioRep1,6,8,0,Azide
0_0,BioRep1,6,9,0,Azide
0_0,BioRep1,6,10,0,Azide
0_0,BioRep1,7,1,0,Azide
0_0,BioRep1,7,2,1,Azide
0_0,BioRep1,7,3,0,Azide
0_0,BioRep1,7,4,0,Azide
0_0,BioRep1,7,5,0,Azide
0_0,BioRep1,7,6,0,Azide
0_0,BioRep1,7,7,0,Azide
0_0,BioRep1,7,8,2,Azide
0_0,BioRep1,7,9,0,Azide
0_0,BioRep1,8,1,0,Azide
0_0,BioRep1,8,2,0,Azide
0_0,BioRep1,8,3,0,Azide
0_0,BioRep1,8,4,0,Azide
0_0,BioRep1,8,5,0,Azide
0_0,BioRep1,8,6,0,Azide
0_0,BioRep1,8,7,0,Azide
0_0,BioRep1,9,1,0,Azide
0_0,BioRep1,9,2,0,Azide
0_0,BioRep1,9,3,0,Azide
0_0,BioRep1,9,4,0,Azide
0_0,BioRep1,9,5,0,Azide
0_0,BioRep1,9,6,0,Azide
0_0,BioRep1,9,7,0,Azide
0_0,BioRep1,9,8,0,Azide
0_0,BioRep1,9,9,0,Azide
0_0,BioRep1,10,1,0,Azide
0_0,BioRep1,10,2,0,Azide
0_0,BioRep1,10,3,0,Azide
0_0,BioRep1,10,4,0,Azide
0_0,BioRep1,10,5,0,Azide
0_0,BioRep1,10,6,0,Azide
0_0,BioRep1,10,7,0,Azide
0_0,BioRep1,10,8,0,Azide
0_0,BioRep1,10,9,0,Azide
0_0,BioRep1,10,10,0,Azide
0_0,BioRep1,10,11,0,Azide
0_0,BioRep1,11,1,2,Azide
0_0,BioRep1,11,2,0,Azide
0_0,BioRep1,11,3,0,Azide
0_0,BioRep1,11,4,0,Azide
0_0,BioRep1,11,5,0,Azide
0_0,BioRep1,11,6,0,Azide
0_0,BioRep1,11,7,0,Azide
0_0,BioRep1,11,8,0,Azide
0_0,BioRep1,12,1,0,Azide
0_0,BioRep1,12,2,0,Azide
0_0,BioRep1,12,3,0,Azide
0_0,BioRep1,12,4,0,Azide
0_0,BioRep1,12,5,0,Azide
0_0,BioRep1,12,6,0,Azide
