Treatment,Temperature,CHX,Bio_rep,ImageNumber,Parent_Cell,Cell_Parent_Children_stress_granule_Count
46C_noCHX,46C,mock,BioRep1,1,1,11
46C_noCHX,46C,mock,BioRep1,1,2,8
46C_noCHX,46C,mock,BioRep1,1,3,8
46C_noCHX,46C,mock,BioRep1,1,4,10
46C_noCHX,46C,mock,BioRep1,1,5,4
46C_noCHX,46C,mock,BioRep1,1,6,2
46C_noCHX,46C,mock,BioRep1,1,7,10
46C_noCHX,46C,mock,BioRep1,1,8,3
46C_noCHX,46C,mock,BioRep1,1,9,6
46C_noCHX,46C,mock,BioRep1,1,10,4
46C_noCHX,46C,mock,BioRep1,1,11,9
46C_noCHX,46C,mock,BioRep1,1,12,6
46C_noCHX,46C,mock,BioRep1,1,13,12
46C_noCHX,46C,mock,BioRep1,2,1,7
46C_noCHX,46C,mock,BioRep1,2,2,9
46C_noCHX,46C,mock,BioRep1,2,3,10
46C_noCHX,46C,mock,BioRep1,2,4,1
46C_noCHX,46C,mock,BioRep1,2,5,3
46C_noCHX,46C,mock,BioRep1,2,6,6
46C_noCHX,46C,mock,BioRep1,2,7,6
46C_noCHX,46C,mock,BioRep1,3,1,9
46C_noCHX,46C,mock,BioRep1,3,2,3
46C_noCHX,46C,mock,BioRep1,3,3,6
46C_noCHX,46C,mock,BioRep1,3,4,5
46C_noCHX,46C,mock,BioRep1,3,5,4
46C_noCHX,46C,mock,BioRep1,3,6,9
46C_noCHX,46C,mock,BioRep1,3,7,7
46C_noCHX,46C,mock,BioRep1,3,8,11
46C_noCHX,46C,mock,BioRep1,3,9,6
46C_noCHX,46C,mock,BioRep1,3,10,6
46C_noCHX,46C,mock,BioRep1,3,11,10
46C_noCHX,46C,mock,BioRep1,3,12,12
46C_noCHX,46C,mock,BioRep1,3,13,9
46C_noCHX,46C,mock,BioRep1,4,1,4
46C_noCHX,46C,mock,BioRep1,4,2,4
46C_noCHX,46C,mock,BioRep1,4,3,9
46C_noCHX,46C,mock,BioRep1,4,4,3
