Probe,Temperature,Reporter_age,Biorep,SP.FC
PMU1,30C,Old,BR1,0.9040873372580996
PMU1,30C,Old,BR2,1.1060878288958043
PMU1,30C,New,BR1,1.032841793570633
PMU1,30C,New,BR2,0.9682024935715502
PMU1,42C,Old,BR1,0.22789995850102418
PMU1,42C,Old,BR2,0.1636476329063089
PMU1,42C,New,BR1,0.553414184415983
PMU1,42C,New,BR2,0.3280962255134935
HSP26,30C,Old,BR1,1.3653582615231763
HSP26,30C,Old,BR2,0.7324085027210462
HSP26,30C,New,BR1,1.0796556556114125
HSP26,30C,New,BR2,0.9262212398949522
HSP26,42C,Old,BR1,0.4552019379399478
HSP26,42C,Old,BR2,0.5143471197450505
HSP26,42C,New,BR1,1.0068189110636763
HSP26,42C,New,BR2,0.8363799453486529
PMU1,30C,Old,BR1,1.7427116394766125
PMU1,30C,New,BR1,1.051748810087149
PMU1,46C,Old,BR1,0.005250822174362776
PMU1,46C,New,BR1,0.057597197818936186
PMU1,30C,Old,BR2,0.5738183973456042
PMU1,30C,New,BR2,0.9507973675930651
PMU1,46C,Old,BR2,0.0025535416454422004
PMU1,46C,New,BR2,0.07575848296272775
HSP26,30C,Old,BR1,1.065776532028137
HSP26,30C,New,BR1,1.3893923790468836
HSP26,46C,Old,BR1,0.013157121073748565
HSP26,46C,New,BR1,0.09793554469853431
HSP26,30C,Old,BR2,0.9382829983101931
HSP26,30C,New,BR2,0.7197390852870486
HSP26,46C,Old,BR2,0.004392552923994577
HSP26,46C,New,BR2,0.15593189875821228
