RNA_sample,Lysate_sample,Fraction,Time,Temperature,Biorep,Strain,Treatment_group,Treatment_group_ID,Treatment,Treated,Experiment,Sequencing_date,Sample_search,FastQ_folder,UMI,gtf_file,star_index_folder,kallisto_index,sbatch_template,snakefile,kallisto_direction,R1,R2,R3,R1_path,R2_path,R3_path,sequencing_group,spike_group
FW1,L7,Total,10min,30C,BR1,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW01,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW01_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW01_R1.fastq.gz,NA,NA,A,none
FW2,L7,Sup,10min,30C,BR1,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW02,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW02_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW02_R1.fastq.gz,NA,NA,A,none
FW3,L7,Pellet,10min,30C,BR1,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW03,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW03_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW03_R1.fastq.gz,NA,NA,A,none
FW5,L8,Total,10min,42C,BR1,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW05,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW05_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW05_R1.fastq.gz,NA,NA,A,none
FW6,L8,Sup,10min,42C,BR1,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW06,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW06_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW06_R1.fastq.gz,NA,NA,A,none
FW7,L8,Pellet,10min,42C,BR1,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW07,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW07_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW07_R1.fastq.gz,NA,NA,A,none
FW9,L9,Total,10min,46C,BR1,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW09,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW09_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW09_R1.fastq.gz,NA,NA,A,none
FW10,L9,Sup,10min,46C,BR1,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW10,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW10_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW10_R1.fastq.gz,NA,NA,A,none
FW11,L9,Pellet,10min,46C,BR1,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW11,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW11_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW11_R1.fastq.gz,NA,NA,A,none
FW17,L11,Total,10min,30C,BR2,BY4741,EW_TSPP,tg_1,none,FALSE,SedSeq,170622_170627,FW17,170622_170627,FALSE,Scerevisiae/saccharomyces_cerevisiae_R64-3-1_20210421_nofasta_geneid.gff,Scerevisiae/STAR_saccharomyces_cerevisiae_R64-3-1_20210421_allchrom,Scerevisiae/Scerevisiae_orf_coding_all_Scerevisiae_rna_coding.fasta.idx,sbatch_star_kallisto_single.template,Snakefile_map_STAR_kallisto_single.smk,--rf-stranded,EW_FW17_R1.fastq.gz,NA,NA,170622_170627/FastQ/EW_FW17_R1.fastq.gz,NA,NA,A,none
