# Run started 2024-04-14 15:46:55 
# Command: sedsim-driver.py --experiment-file ./sed-control-mol.txt --summary-only --summary-out ./results/summary-mol-full.txt
# Parameters:
#	experiment_file: ./sed-control-mol.txt
#	rcf_g: 20000
#	rotor_radius_cm: 10
#	sample_height_mm: 10
#	spin_time_sec: 900
#	viscosity: 1.002
#	number_of_molecules: 1000
#	replicates: 1
#	random_seed: 111
#	out_fname: None
#	summary_only: True
#	summary_out_fname: ./results/summary-mol-full.txt
#
#	experiment.id [string] = experiment identifier
#	spin.rcf.g [float] = rotor centrifugal force in g
#	spin.time.sec [float] = time of centrifuge spin in seconds
#	crosslink.mol.prob [float] = probability of crosslink per molecules
#	crosslink.nt.prob [float] = probability of crosslink per nucleotide
#	translation.prob [float] = fraction of maximal translation rate
#	mol.translation.prob [float] = probability this molecule is translated at maximal translation rate
#	protection.prob [float] = probability this molecule is protected from crosslinking
#	id [string] = molecule ID
#	length [int] = length in nucleotides
#	mass [float] = mass in g/mol
#	radius [float] = radius in nanometers
#	psup [float] = average proportion in the supernatant
#	pfree [float] = average proportion free (not in any cluster)
#	psupclust [float] = average proportion in the supernatant and in a cluster
#	count [float] = average number of molecules
#	reps [int] = number of replicates
#	avg.cluster.count [float] = average number of clusters this molecule is in
#	avg.cluster.size [float] = average number of molecules in average cluster
#	avg.cluster.length [float] = average cluster length in nucleotides
#	avg.cluster.mass [float] = average cluster mass in g/mol
#	avg.cluster.radius [float] = average cluster radius in nanometers
experiment.id	spin.rcf.g	spin.time.sec	crosslink.mol.prob	crosslink.nt.prob	translation.prob	mol.translation.prob	protection.prob	id	length	mass	radius	psup	pfree	psupclust	count	reps	avg.cluster.count	avg.cluster.size	avg.cluster.length	avg.cluster.mass	avg.cluster.radius
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL003W	864	285120.000000	9.520371	0.902609	0.650870	0.000000	92.000000	100	7.119030	3.135870	4276.508696	1.411247e+06	12.594568
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL005C	2137	705210.000000	12.953070	0.806774	0.349677	0.000000	31.000000	100	9.257136	6.353548	10695.351935	3.529466e+06	18.553497
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL007C	863	284790.000000	9.516623	0.894000	0.614000	0.000000	5.000000	100	5.559333	3.112000	4201.946000	1.386642e+06	12.656761
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL012W	1339	441870.000000	11.049550	0.891111	0.532222	0.000000	9.000000	100	7.906833	4.144444	6371.821111	2.102700e+06	14.908040
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL014C	956	315480.000000	9.853599	0.880000	0.570000	0.000000	1.000000	100	3.140000	3.140000	4513.760000	1.489540e+06	13.402717
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL016W	2073	684090.000000	12.819850	0.763333	0.330000	0.000000	3.000000	100	10.296667	7.043333	11988.853333	3.956321e+06	19.449351
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL019W	3555	1173150.000000	15.400139	0.760000	0.130000	0.000000	1.000000	100	8.850000	8.850000	16034.980000	5.291543e+06	22.595649
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL021C	2805	925650.000000	14.208111	0.740000	0.250000	0.000000	1.000000	100	7.830000	7.830000	13323.610000	4.396791e+06	20.662891
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL022C	1634	539220.000000	11.823468	0.850000	0.370000	0.000000	1.000000	100	6.290000	6.290000	10825.770000	3.572504e+06	17.777432
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL023C	2495	823350.000000	13.653474	0.761667	0.275000	0.000000	6.000000	100	10.882333	8.043333	13943.521667	4.601362e+06	20.216848
30C	2.000000e+04	900.000000	0.000000	1.000000e-03	1.000000e+00	1.000000e+00	NA	YAL025C	1137	375210.000000	10.451960	0.870000	0.480000	0.000000	1.000000	100	4.760000	4.760000	7171.400000	2.366562e+06	15.030085
