# Run started 2024-04-14 12:58:33 
# Command: sedsim-driver.py --experiment-file ./sed-control-nuc.txt --summary-only --summary-out ./results/summary-nuc-full.txt
# Parameters:
#	experiment_file: ./sed-control-nuc.txt
#	rcf_g: 20000
#	rotor_radius_cm: 10
#	sample_height_mm: 10
#	spin_time_sec: 900
#	viscosity: 1.002
#	number_of_molecules: 1000
#	replicates: 1
#	random_seed: 111
#	out_fname: None
#	summary_only: True
#	summary_out_fname: ./results/summary-nuc-full.txt
#
#	experiment.id [string] = experiment identifier
#	spin.rcf.g [float] = rotor centrifugal force in g
#	spin.time.sec [float] = time of centrifuge spin in seconds
#	crosslink.mol.prob [float] = probability of crosslink per molecules
#	crosslink.nt.prob [float] = probability of crosslink per nucleotide
#	translation.prob [float] = fraction of maximal translation rate
#	mol.translation.prob [float] = probability this molecule is translated at maximal translation rate
#	protection.prob [float] = probability this molecule is protected from crosslinking
#	id [string] = molecule ID
#	length [int] = length in nucleotides
#	mass [float] = mass in g/mol
#	radius [float] = radius in nanometers
#	psup [float] = average proportion in the supernatant
#	pfree [float] = average proportion free (not in any cluster)
#	psupclust [float] = average proportion in the supernatant and in a cluster
#	count [float] = average number of molecules
#	reps [int] = number of replicates
#	avg.cluster.count [float] = average number of clusters this molecule is in
#	avg.cluster.size [float] = average number of molecules in average cluster
#	avg.cluster.length [float] = average cluster length in nucleotides
#	avg.cluster.mass [float] = average cluster mass in g/mol
#	avg.cluster.radius [float] = average cluster radius in nanometers
experiment.id	spin.rcf.g	spin.time.sec	crosslink.mol.prob	crosslink.nt.prob	translation.prob	mol.translation.prob	protection.prob	id	length	mass	radius	psup	pfree	psupclust	count	reps	avg.cluster.count	avg.cluster.size	avg.cluster.length	avg.cluster.mass	avg.cluster.radius
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL003W	864	285120.000000	9.520371	0.957500	1.000000	0.000000	92.000000	100	1.000000	1.000000	864.000000	2.851200e+05	9.520371
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL005C	2137	705210.000000	12.953070	0.907742	1.000000	0.000000	31.000000	100	1.000000	1.000000	2137.000000	7.052100e+05	12.953070
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL007C	863	284790.000000	9.516623	0.964000	1.000000	0.000000	5.000000	100	1.000000	1.000000	863.000000	2.847900e+05	9.516623
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL012W	1339	441870.000000	11.049550	0.920000	1.000000	0.000000	9.000000	100	1.000000	1.000000	1339.000000	4.418700e+05	11.049550
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL014C	956	315480.000000	9.853599	0.920000	1.000000	0.000000	1.000000	100	1.000000	1.000000	956.000000	3.154790e+05	9.853599
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL016W	2073	684090.000000	12.819850	0.940000	1.000000	0.000000	3.000000	100	1.000000	1.000000	2073.000000	6.840900e+05	12.819850
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL019W	3555	1173150.000000	15.400139	0.900000	1.000000	0.000000	1.000000	100	1.000000	1.000000	3555.000000	1.173150e+06	15.400139
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL021C	2805	925650.000000	14.208111	0.900000	1.000000	0.000000	1.000000	100	1.000000	1.000000	2805.000000	9.256500e+05	14.208111
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL022C	1634	539220.000000	11.823468	0.960000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1634.000000	5.392190e+05	11.823468
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL023C	2495	823350.000000	13.653474	0.886667	1.000000	0.000000	6.000000	100	1.000000	1.000000	2495.000000	8.233500e+05	13.653474
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL025C	1137	375210.000000	10.451960	0.970000	1.000000	0.000000	1.000000	100	1.000000	1.000000	1137.000000	3.752090e+05	10.451960
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL026C	4298	1418340.000000	16.426679	0.890000	1.000000	0.000000	1.000000	100	1.000000	1.000000	4298.000000	1.418340e+06	16.426679
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL029C	4729	1560570.000000	16.969176	0.880000	1.000000	0.000000	1.000000	100	1.000000	1.000000	4729.000000	1.560569e+06	16.969176
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL030W	509	167970.000000	7.952858	0.960000	1.000000	0.000000	2.000000	100	1.000000	1.000000	509.000000	1.679700e+05	7.952858
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL033W	611	201630.000000	8.462393	0.980000	1.000000	0.000000	1.000000	100	1.000000	1.000000	611.000000	2.016300e+05	8.462393
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL035W	3164	1044120.000000	14.801972	0.882857	1.000000	0.000000	7.000000	100	1.000000	1.000000	3164.000000	1.044119e+06	14.801972
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL036C	1340	442200.000000	11.052355	0.930000	1.000000	0.000000	2.000000	100	1.000000	1.000000	1340.000000	4.422000e+05	11.052355
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL038W	1688	557040.000000	11.954896	0.929404	1.000000	0.000000	218.000000	100	1.000000	1.000000	1688.000000	5.570400e+05	11.954896
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL041W	2691	888030.000000	14.009087	0.900000	1.000000	0.000000	1.000000	100	1.000000	1.000000	2691.000000	8.880290e+05	14.009087
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL042W	1371	452430.000000	11.138634	0.940000	1.000000	0.000000	5.000000	100	1.000000	1.000000	1371.000000	4.524300e+05	11.138634
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL043C	2461	812130.000000	13.589927	0.890000	1.000000	0.000000	1.000000	100	1.000000	1.000000	2461.000000	8.121290e+05	13.589927
30C	2.000000e+04	900.000000	0.000000	0.000000e+00	1.000000e+00	1.000000e+00	NA	YAL044C	616	203280.000000	8.485875	0.972500	1.000000	0.000000	4.000000	100	1.000000	1.000000	616.000000	2.032790e+05	8.485875
