ORF	Time	Temperature	Biorep	log2FC
Q0045	30min	37C	r1	NA
Q0045	30min	42C	r1	NA
Q0045	30min	42C	r2	NA
Q0045	30min	37C	r2	NA
Q0045	30min	37C	r3	NA
Q0045	30min	42C	r3	NA
Q0045	30min	37C	r1.redo	NA
Q0045	30min	42C	r1.redo	NA
Q0045	30min	37C	r2.redo	NA
Q0045	30min	42C	r2.redo	NA
Q0045	30min	37C	r3.redo	0.127237061924814
Q0045	30min	42C	r3.redo	-0.436490392811089
Q0045	10min	37C	r1	NA
Q0045	10min	37C	r2	NA
Q0045	10min	37C	r3	NA
Q0045	10min	42C	r1	NA
Q0045	10min	42C	r2	NA
Q0045	10min	42C	r3	NA
Q0140	30min	37C	r1	0.13
Q0140	30min	42C	r1	0.056
Q0140	30min	42C	r2	-0.35
Q0140	30min	37C	r2	0.016
Q0140	30min	37C	r3	-0.154
Q0140	30min	42C	r3	-0.028
Q0140	30min	37C	r1.redo	0.105141660323423
Q0140	30min	42C	r1.redo	0.0675010485665715
Q0140	30min	37C	r2.redo	0.0203421795171858
Q0140	30min	42C	r2.redo	-0.19733526948154
Q0140	30min	37C	r3.redo	-0.13958539138647
Q0140	30min	42C	r3.redo	-0.0296322329446139
Q0140	10min	37C	r1	-0.0586382344
Q0140	10min	37C	r2	-0.1115236439
Q0140	10min	37C	r3	-0.1884138873
Q0140	10min	42C	r1	-0.055306443
Q0140	10min	42C	r2	-0.0842573103
Q0140	10min	42C	r3	-0.0373103235
Q0250	30min	37C	r1	0.274
Q0250	30min	42C	r1	0.05
Q0250	30min	42C	r2	-0.548
Q0250	30min	37C	r2	0.181
Q0250	30min	37C	r3	0.032
Q0250	30min	42C	r3	-0.35
Q0250	30min	37C	r1.redo	0.27357556561538
Q0250	30min	42C	r1.redo	0.049909522443058
Q0250	30min	37C	r2.redo	0.181166174269977
Q0250	30min	42C	r2.redo	-0.54696186237107
Q0250	30min	37C	r3.redo	0.0450235216984977
Q0250	30min	42C	r3.redo	-0.359397580037361
Q0250	10min	37C	r1	0.1015156155
Q0250	10min	37C	r2	0.0322419311
Q0250	10min	37C	r3	-0.1191812789
Q0250	10min	42C	r1	-0.2505772908
Q0250	10min	42C	r2	-0.3598973878
Q0250	10min	42C	r3	-0.2163170583
