ORF	TPM	sample
YAL001C	26.8056	25C.control.Rep1
YAL002W	16.9085	25C.control.Rep1
YAL003W	3684.4	25C.control.Rep1
YAL005C	927.825	25C.control.Rep1
YAL007C	142.067	25C.control.Rep1
YAL008W	13.8329	25C.control.Rep1
YAL009W	22.2955	25C.control.Rep1
YAL010C	14.0669	25C.control.Rep1
YAL011W	12.6504	25C.control.Rep1
YAL012W	352.958	25C.control.Rep1
YAL013W	16.0089	25C.control.Rep1
YAL014C	62.7473	25C.control.Rep1
YAL015C	13.3114	25C.control.Rep1
YAL016W	120.614	25C.control.Rep1
YAL017W	36.635	25C.control.Rep1
YAL018C	0.188032	25C.control.Rep1
YAL019W	59.2148	25C.control.Rep1
YAL020C	18.9668	25C.control.Rep1
YAL021C	66.1403	25C.control.Rep1
YAL022C	59.7803	25C.control.Rep1
YAL023C	257.855	25C.control.Rep1
YAL024C	18.5179	25C.control.Rep1
YAL025C	37.2824	25C.control.Rep1
YAL026C	47.4137	25C.control.Rep1
YAL027W	11.922	25C.control.Rep1
YAL028W	8.45142	25C.control.Rep1
YAL029C	39.248	25C.control.Rep1
YAL030W	86.0975	25C.control.Rep1
YAL031C	20.9308	25C.control.Rep1
YAL032C	33.4091	25C.control.Rep1
YAL033W	59.9639	25C.control.Rep1
YAL034C	13.8785	25C.control.Rep1
YAL034W-A	13.3798	25C.control.Rep1
YAL035W	230.745	25C.control.Rep1
YAL036C	85.4153	25C.control.Rep1
YAL037C-A	0	25C.control.Rep1
YAL037W	7.81722	25C.control.Rep1
YAL038W	7562.01	25C.control.Rep1
YAL039C	28.904	25C.control.Rep1
YAL040C	19.7688	25C.control.Rep1
YAL041W	36.3881	25C.control.Rep1
YAL042W	193.135	25C.control.Rep1
YAL043C	56.8007	25C.control.Rep1
YAL044C	219.263	25C.control.Rep1
YAL044W-A	88.0729	25C.control.Rep1
YAL046C	123.805	25C.control.Rep1
YAL047C	11.2721	25C.control.Rep1
YAL048C	13.0589	25C.control.Rep1
YAL049C	63.7061	25C.control.Rep1
YAL051W	25.0369	25C.control.Rep1
YAL053W	54.7394	25C.control.Rep1
YAL054C	5.78031	25C.control.Rep1
YAL055W	6.25168	25C.control.Rep1
YAL056W	44.1711	25C.control.Rep1
YAL058W	22.1007	25C.control.Rep1
YAL059W	75.6473	25C.control.Rep1
YAL060W	60.8602	25C.control.Rep1
YAL061W	22.0965	25C.control.Rep1
YAL062W	13.9855	25C.control.Rep1
YAL063C	4.59881	25C.control.Rep1
YAL063C-A	1.77722	25C.control.Rep1
YAL064C-A	4.14342	25C.control.Rep1
YAL064W	2.82068	25C.control.Rep1
YAL064W-B	3.78188	25C.control.Rep1
YAL065C	15.7919	25C.control.Rep1
YAL067C	0.6454	25C.control.Rep1
YAL067W-A	1.90363	25C.control.Rep1
YAL068C	0.161957	25C.control.Rep1
YAR002C-A	307.656	25C.control.Rep1
YAR002W	51.2731	25C.control.Rep1
YAR003W	27.3219	25C.control.Rep1
YAR007C	60.2753	25C.control.Rep1
YAR008W	12.2076	25C.control.Rep1
YAR009C	47.3175	25C.control.Rep1
YAR010C	414.784	25C.control.Rep1
YAR014C	51.407	25C.control.Rep1
YAR015W	333.196	25C.control.Rep1
YAR018C	35.7332	25C.control.Rep1
YAR019C	9.73031	25C.control.Rep1
YAR020C	0	25C.control.Rep1
YAR023C	11.0258	25C.control.Rep1
YAR027W	63.5997	25C.control.Rep1
YAR028W	58.7439	25C.control.Rep1
YAR029W	2.708	25C.control.Rep1
YAR031W	14.17	25C.control.Rep1
YAR033W	29.233	25C.control.Rep1
YAR035C-A	0	25C.control.Rep1
YAR035W	5.44917	25C.control.Rep1
YAR042W	45.0435	25C.control.Rep1
YAR050W	2.84444	25C.control.Rep1
YAR064W	9.48285	25C.control.Rep1
YAR066W	11.117	25C.control.Rep1
YAR068W	13.7567	25C.control.Rep1
YAR071W	8.35875	25C.control.Rep1
YBL001C	184.779	25C.control.Rep1
YBL002W	781.001	25C.control.Rep1
YBL003C	827.574	25C.control.Rep1
YBL004W	80.6278	25C.control.Rep1
YBL005W	23.7625	25C.control.Rep1
YBL005W-A	0	25C.control.Rep1
YBL005W-B	105.345	25C.control.Rep1
YBL006C	94.8729	25C.control.Rep1
YBL007C	132.335	25C.control.Rep1
YBL008W	21.7544	25C.control.Rep1
YBL008W-A	0.357233	25C.control.Rep1
YBL009W	23.7566	25C.control.Rep1
YBL010C	22.5761	25C.control.Rep1
YBL011W	83.1043	25C.control.Rep1
YBL013W	16.6042	25C.control.Rep1
YBL014C	26.1321	25C.control.Rep1
YBL015W	34.5283	25C.control.Rep1
YBL016W	50.7896	25C.control.Rep1
YBL017C	77.6885	25C.control.Rep1
YBL018C	43.1959	25C.control.Rep1
YBL019W	15.4409	25C.control.Rep1
YBL020W	41.6211	25C.control.Rep1
YBL021C	39.1102	25C.control.Rep1
YBL022C	97.1264	25C.control.Rep1
YBL023C	39.3171	25C.control.Rep1
YBL024W	129.329	25C.control.Rep1
YBL025W	32.8865	25C.control.Rep1
YBL026W	106.222	25C.control.Rep1
YBL027W	3007.15	25C.control.Rep1
YBL028C	343.591	25C.control.Rep1
YBL029C-A	17.7703	25C.control.Rep1
YBL029W	15.1051	25C.control.Rep1
YBL030C	198.776	25C.control.Rep1
YBL031W	22.9725	25C.control.Rep1
YBL032W	136.509	25C.control.Rep1
YBL033C	56.1297	25C.control.Rep1
YBL034C	16.4645	25C.control.Rep1
YBL035C	28.107	25C.control.Rep1
YBL036C	26.4746	25C.control.Rep1
YBL037W	30.1281	25C.control.Rep1
YBL038W	44.1497	25C.control.Rep1
YBL039C	237.741	25C.control.Rep1
YBL039W-B	0	25C.control.Rep1
YBL040C	93.6947	25C.control.Rep1
YBL041W	163.645	25C.control.Rep1
YBL042C	95.4471	25C.control.Rep1
YBL043W	4.5401300000000004	25C.control.Rep1
YBL044W	1.29703	25C.control.Rep1
YBL045C	97.3637	25C.control.Rep1
YBL046W	17.1187	25C.control.Rep1
YBL047C	117.088	25C.control.Rep1
YBL049W	19.9453	25C.control.Rep1
YBL050W	65.0001	25C.control.Rep1
YBL051C	37.3959	25C.control.Rep1
YBL052C	22.4832	25C.control.Rep1
YBL054W	27.9559	25C.control.Rep1
YBL055C	37.0654	25C.control.Rep1
YBL056W	154.375	25C.control.Rep1
YBL057C	74.7355	25C.control.Rep1
YBL058W	111.511	25C.control.Rep1
YBL059C-A	40.8927	25C.control.Rep1
YBL059W	13.9112	25C.control.Rep1
YBL060W	10.8462	25C.control.Rep1
YBL061C	40.0483	25C.control.Rep1
YBL063W	14.1352	25C.control.Rep1
YBL064C	81.1754	25C.control.Rep1
YBL066C	9.3002300000000009	25C.control.Rep1
YBL067C	47.9472	25C.control.Rep1
YBL068W	56.2124	25C.control.Rep1
YBL069W	45.4666	25C.control.Rep1
YBL071C-B	0	25C.control.Rep1
YBL071W-A	59.2709	25C.control.Rep1
YBL072C	4172.26	25C.control.Rep1
YBL074C	15.9264	25C.control.Rep1
