ORF	RPF	RPKM	TE
Q0010	NA	NA	NA
Q0017	NA	NA	NA
Q0032	NA	NA	NA
Q0045	NA	NA	NA
Q0050	NA	NA	NA
Q0055	NA	NA	NA
Q0060	NA	NA	NA
Q0065	NA	NA	NA
Q0070	NA	NA	NA
Q0075	NA	NA	NA
Q0080	NA	NA	NA
Q0085	NA	NA	NA
Q0092	NA	NA	NA
Q0105	NA	NA	NA
Q0110	NA	NA	NA
Q0115	NA	NA	NA
Q0120	NA	NA	NA
Q0130	NA	NA	NA
Q0140	NA	NA	NA
Q0142	NA	NA	NA
Q0143	NA	NA	NA
Q0144	NA	NA	NA
Q0160	NA	NA	NA
Q0182	NA	NA	NA
Q0250	NA	NA	NA
Q0255	NA	NA	NA
Q0275	NA	NA	NA
Q0297	NA	NA	NA
YAL001C	18.12	37.8	0.47936507936507944
YAL002W	5.73	22.17	0.2584573748308525
YAL003W	7065.07	4621.86	1.528620512088207
YAL004W	NA	NA	NA
YAL005C	NA	NA	NA
YAL007C	209.47	212.42	0.9861124187929574
YAL008W	95.55	49.96	1.9125300240192153
YAL009W	18.89	34.96	0.5403318077803204
YAL010C	11.05	16.67	0.662867426514697
YAL011W	10.5	17.4	0.6034482758620691
YAL012W	1094.02	568.34	1.924939296899743
YAL013W	40.68	25.52	1.5940438871473355
YAL014C	29.91	63.3	0.4725118483412323
YAL015C	13.4	23.07	0.5808409189423493
YAL016C-A	NA	NA	NA
YAL016C-B	NA	NA	NA
YAL016W	155	143.3	1.0816468946266573
YAL017W	20.26	50.59	0.40047440205574225
YAL018C	0.06	0.15	0.4
YAL019W	36.23	74.28	0.48774905761981685
YAL019W-A	NA	NA	NA
YAL020C	13.6	25.42	0.5350118017309204
YAL021C	60.77	92.55	0.6566180443003782
YAL022C	36.38	61.02	0.5961979678793838
YAL023C	226.78	342.36	0.6624021497838533
YAL024C	7.82	25.86	0.3023975251353442
YAL025C	133.77	58.06	2.30399586634516
YAL026C	25.1	74.53	0.3367771367234671
YAL026C-A	NA	NA	NA
YAL027W	14.4	18.86	0.7635206786850478
YAL028W	2.59	8.11	0.3193588162762022
YAL029C	20.31	79.19	0.2564717767394873
YAL030W	134.79	127.45	1.0575912122400941
YAL031C	11.53	26.23	0.43957300800609983
YAL031W-A	NA	NA	NA
YAL032C	19.56	24.41	0.8013109381401065
YAL033W	56.85	61.73	0.9209460554025596
YAL034C	2.57	18.23	0.14097641250685683
YAL034C-B	NA	NA	NA
YAL034W-A	16.1	NA	NA
YAL035W	420.29	403.98	1.040373285806228
YAL036C	175.34	147.38	1.189713665354865
YAL037C-A	0	NA	NA
YAL037C-B	NA	NA	NA
YAL037W	0.99	4.79	0.2066805845511482
YAL038W	15983.24	11070.12	1.443818133859434
YAL039C	43.33	21.95	1.9740318906605923
YAL040C	11.13	35.55	0.31308016877637135
YAL041W	27.46	53.48	0.5134629768137622
YAL042C-A	NA	NA	NA
YAL042W	172.3	263.39	0.6541630282091196
YAL043C	30.39	55.3	0.5495479204339965
YAL044C	704.01	450.75	1.5618635607321132
YAL044W-A	132.76	NA	NA
YAL045C	NA	NA	NA
YAL046C	114.48	106.35	1.0764456981664317
YAL047C	9.27	16.69	0.5554224086279208
YAL047W-A	NA	NA	NA
YAL048C	9.92	19.11	0.5190999476713762
YAL049C	123.6	94.23	1.3116841770136898
YAL051W	16.27	32.25	0.5044961240310077
YAL053W	47.4	63.73	0.7437627490977562
YAL054C	0.95	13.87	0.0684931506849315
YAL055W	22.93	23.24	0.9866609294320138
YAL056C-A	NA	NA	NA
YAL056W	8.51	39.15	0.21736909323116219
