# scer_aggregation_psup.txt 
# Generated:  Thu Sep 10 11:17:15 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell 162(6), 2015. http://drummondlab.org/endogenous-aggregates 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment id; temperature, time, and replicate
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.t: summed intensity for total (light) channel
#   intensity.s: summed intensity for supernatant (medium) channel
#   intensity.p: summed intensity for pellet (heavy) channel
#   psup: normalized proportion in supernatant
#   psup.lo: normalized 2.5% percentile of psup
#   psup.hi: normalized 97.5% percentile of psup
#   30C.repi:  sample grown at 30C, biological replicate i
#   xC.ymin: sample shocked for x min at y C
# 
orf	gene	n.detections_30C.rep1	n.peptides_30C.rep1	intensity.t_30C.rep1	intensity.s_30C.rep1	intensity.p_30C.rep1	psup_30C.rep1	psup.lo_30C.rep1	psup.hi_30C.rep1	n.detections_30C.rep2	n.peptides_30C.rep2	intensity.t_30C.rep2	intensity.s_30C.rep2	intensity.p_30C.rep2	psup_30C.rep2	psup.lo_30C.rep2	psup.hi_30C.rep2	n.detections_30C.rep3	n.peptides_30C.rep3	intensity.t_30C.rep3	intensity.s_30C.rep3	intensity.p_30C.rep3	psup_30C.rep3	psup.lo_30C.rep3	psup.hi_30C.rep3	n.detections_37C.8min	n.peptides_37C.8min	intensity.t_37C.8min	intensity.s_37C.8min	intensity.p_37C.8min	psup_37C.8min	psup.lo_37C.8min	psup.hi_37C.8min	n.detections_42C.8min	n.peptides_42C.8min	intensity.t_42C.8min	intensity.s_42C.8min	intensity.p_42C.8min	psup_42C.8min	psup.lo_42C.8min	psup.hi_42C.8min	n.detections_46C.2min	n.peptides_46C.2min	intensity.t_46C.2min	intensity.s_46C.2min	intensity.p_46C.2min	psup_46C.2min	psup.lo_46C.2min	psup.hi_46C.2min	n.detections_46C.4min	n.peptides_46C.4min	intensity.t_46C.4min	intensity.s_46C.4min	intensity.p_46C.4min	psup_46C.4min	psup.lo_46C.4min	psup.hi_46C.4min	n.detections_46C.8min	n.peptides_46C.8min	intensity.t_46C.8min	intensity.s_46C.8min	intensity.p_46C.8min	psup_46C.8min	psup.lo_46C.8min	psup.hi_46C.8min
Q0045	COX1	1	1	365310	67374	1374500	0.0592	0.0154	0.2170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2761900	222400	4007500.0	0.0368	0.0137	0.0992	NA	NA	NA	NA	NA	NA	NA	NA
Q0075	AI5_BETA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	13265000	10168000	11931000	0.6212	0.1530	0.9560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q0120	BI4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.9624	0.5621	1.0000	NA	NA	NA	NA	NA	NA	NA	NA
Q0250	COX2	1	1	4255500	315310	5770500	0.0439	0.0106	0.1704	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	0.9782	0.0072	0.9998	3	1	8661700	402350	515691	0.1280	0.0337	0.4543	NA	NA	NA	NA	NA	NA	NA	NA	1	1	5790500	84773	1580400	0.0090	0.0014	0.0588	NA	NA	NA	NA	NA	NA	NA	NA	1	1	507930	60634.0	1709000	0.0424	0.0121	0.1487
R0020C	REP1	0	1	NA	NA	NA	0.7943	0.2078	0.9993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	292440	67205	7847	0.8727	0.2437	0.9955	1	1	1723300	305190	2418300.0	0.0914	0.0107	0.4822	2	1	10862200	7675200	5587900	0.4448	0.1487	0.8124	1	1	6645300	3180500	4857900.0	0.3548	0.1092	0.7390	NA	NA	NA	NA	NA	NA	NA	NA
R0030W	RAF1	2	2	7283089	2642180	1067133	0.6693	0.3925	0.8670	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	7809200	1921500	532550	0.7303	0.1481	0.9861	1	1	17089000	5151800	1483300.0	0.6301	0.1211	0.9650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
R0040C	REP2	4	3	14308140	22796500	4101720	0.7409	0.5512	0.8687	NA	NA	NA	NA	NA	NA	NA	NA	1	3	359230.0	571330.0	353520.0	0.2468	0.0664	0.6568	5	6	30502450	4734916	8143598	0.2383	0.1000	0.4855	1	1	1123000	423700	131150.0	0.6216	0.1249	0.9601	2	2	15635600	9435600	4832800	0.3921	0.1268	0.7666	8	7	119906110	39410954	54196830.0	0.2825	0.1857	0.4147	2	2	104477	91832.0	329617	0.2746	0.1315	0.4968
YAL001C	TFC3	1	1	742740	764130	159070	0.7152	0.3319	0.9279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	259000	288220	136350.0	0.6721	0.3263	0.9087	1	1	3046100	52216.0	7959	0.1000	0.0271	0.9842
YAL002W	VPS8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	5927980	1371390	2866630.0	0.3438	0.1642	0.6131	NA	NA	NA	NA	NA	NA	NA	NA
YAL003W	EFB1	34	11	890458060	1886450400	126156811	0.8981	0.8687	0.9216	32	9	7130312650	5619918820	206875992	0.9795	0.9719	0.9852	23	7	369902272.0	157756756.0	12109014.0	0.8988	0.7978	0.9524	30	7	1077695291	502359421	59592726	0.8634	0.7710	0.9271	31	8	1041275356	411800553	146224992.0	0.6560	0.5356	0.7608	35	9	1245500500	963897570	1880517490	0.5449	0.4495	0.6434	36	8	1403330850	1044775810	812936084.0	0.6156	0.5498	0.6794	20	6	127215873	123394686.0	282332770	0.2856	0.2246	0.3556
