target_id	length	eff_length	est_counts	tpm
YAL069W	315	138.523	1	0.351814
YAL068W-A	255	89.2147	0	0
YAL068C	363	182.1	7.35973	1.96964
YAL067W-A	228	69.3482	0	0
YAL067C	1782	1596.06	0	0
YAL066W	309	133.336	0	0
YAL065C	387	204.698	1.53325	0.365032
YAL064W-B	381	198.923	8	1.95992
YAL064C-A	381	198.923	0	0
YAL064W	285	112.988	4	1.72528
YAL063C-A	291	117.965	1	0.413122
YAL063C	3969	3783.06	24.8028	0.319515
YAL062W	1374	1188.06	27	1.10753
YAL061W	1254	1068.06	765	34.9058
YAL060W	1149	963.065	8828	446.725
YAL059C-A	423	239.175	1	0.203759
YAL059W	639	453.168	5	0.537705
YAL058W	1509	1323.06	131	4.82529
YAL056C-A	351	170.987	1	0.285017
YAL056W	2643	2457.06	229	4.54206
YAL055W	543	357.405	36	4.9088
YAL054C	2142	1956.06	44	1.09623
YAL053W	2352	2166.06	2155	48.4852
YAL051W	3144	2958.06	643	10.5934
YAL049C	741	555.121	1020	89.546
YAL048C	1989	1803.06	146	3.94616
YAL047W-A	330	151.908	0	0
YAL047C	1869	1683.06	111	3.21407
YAL046C	357	176.63	36	9.93278
YAL045C	309	133.336	0	0
YAL044W-A	333	154.655	124	39.0744
YAL044C	513	327.508	648	96.4243
YAL043C	2358	2172.06	464	10.4107
YAL042C-A	378	196.163	0	0
YAL042W	1248	1062.06	449	20.6029
YAL041W	2565	2379.06	779	15.9575
YAL040C	1743	1557.06	409	12.8012
YAL039C	810	624.065	83	6.4816
YAL038W	1503	1317.06	195936	7250.04
YAL037C-B	975	789.065	6	0.370572
YAL037C-A	93	10.2931	0	0
YAL037W	804	618.065	19	1.49814
YAL036C	1110	924.065	475	25.051
YAL035W	3009	2823.06	4946	85.3821
YAL034C-B	354	173.845	0	0
YAL034W-A	870	684.065	23	1.63857
YAL034C	1242	1056.06	3748	172.959
YAL033W	522	336.475	74	10.718
YAL032C	1140	954.065	398	20.3301
YAL031W-A	309	133.336	2	0.730997
YAL031C	2283	2097.06	534	12.4097
YAL030W	354	173.845	206	57.7481
YAL029C	4416	4230.06	596	6.86646
YAL028W	1587	1401.06	410	14.2613
YAL027W	786	600.065	117	9.50214
YAL026C-A	438	253.727	27.0874	5.20278
YAL026C	4068	3882.06	728.913	9.15053
YAL025C	921	735.065	36	2.38677
YAL024C	4308	4122.06	214	2.53007
YAL023C	2280	2094.06	4077	94.8821
YAL022C	1554	1368.06	232	8.26447
YAL021C	2514	2328.06	1177	24.6385
YAL020C	1002	816.065	63	3.76227
YAL019W-A	570	384.293	1	0.126815
YAL019W	3396	3210.06	353	5.35913
YAL018C	978	792.065	77	4.73766
YAL017W	4071	3885.06	2164	27.1452
YAL016C-B	186	43.7834	0	0
YAL016C-A	315	138.523	0	0
YAL016W	1908	1722.06	1785	50.5152
YAL015C	1200	1014.06	87	4.18107
YAL014C	768	582.065	237	19.8431
YAL013W	1218	1032.06	315	14.8743
YAL012W	1185	999.065	8159	397.994
YAL011W	1878	1692.06	107	3.08177
YAL010C	1482	1296.06	298	11.2053
YAL009W	780	594.065	27	2.21495
YAL008W	597	411.253	385	45.6231
YAL007C	648	462.168	501	52.8288
YAL005C	1929	1743.06	221805	6201.42
YAL004W	648	462.168	0	0
YAL003W	621	435.168	15561	1742.66
YAL002W	3825	3639.06	200	2.67839
YAL001C	3483	3297.06	235	3.47355
YAR002W	1620	1434.06	446	15.1565
YAR002C-A	660	474.121	966	99.2936
YAR003W	1281	1095.06	103	4.58386
YAR007C	1866	1680.06	813	23.5829
YAR008W	828	642.065	21	1.59395
YAR009C	3591	3405.06	4115.6	58.9036
YAR010C	1323	1137.06	3824.22	163.905
YAR014C	2130	1944.06	161	4.03598
YAR015W	921	735.065	323	21.4146
YAR018C	1308	1122.06	40	1.7373
YAR019C	2925	2739.06	381	6.77885
YAR019W-A	333	154.655	4	1.26047
YAR020C	168	34.1434	3	4.28202
YAR023C	540	354.405	31	4.2628
YAR027W	708	522.121	1081	100.899
YAR028W	705	519.121	264	24.7839
YAR029W	225	67.3642	23	16.6392
YAR030C	342	162.754	1	0.299434
