target_id	length	eff_length	est_counts	tpm
YAL069W	315	116	1	0.310303
YAL068W-A	255	56	0	0
YAL068C	363	164	0	0
YAL067W-A	228	29	0	0
YAL067C	1782	1583	10	0.227386
YAL066W	309	110	0	0
YAL065C	387	188	1	0.191464
YAL064W-B	381	182	10	1.97776
YAL064C-A	381	182	2	0.395551
YAL064W	285	86	7	2.92984
YAL063C-A	291	92	4	1.56501
YAL063C	3969	3770	63.7275	0.608457
YAL062W	1374	1175	91	2.78771
YAL061W	1254	1055	118	4.026
YAL060W	1149	950	1621	61.4191
YAL059C-A	423	224	1	0.160693
YAL059W	639	440	671	54.8926
YAL058W	1509	1310	568	15.6071
YAL056C-A	351	152	0	0
YAL056W	2643	2444	1223	18.0123
YAL055W	543	344	31	3.24375
YAL054C	2142	1943	97	1.79698
YAL053W	2352	2153	2324	38.854
YAL051W	3144	2945	1162	14.2025
YAL049C	741	542	783	52.0004
YAL048C	1989	1790	417	8.38546
YAL047W-A	330	131	1	0.274772
YAL047C	1869	1670	380	8.19051
YAL046C	357	158	214	48.7529
YAL045C	309	110	0	0
YAL044W-A	333	134	207	55.6045
YAL044C	513	314	767	87.9245
YAL043C	2358	2159	1620	27.0089
YAL042C-A	378	179	0	0
YAL042W	1248	1049	3865	132.623
YAL041W	2565	2366	1632	24.8284
YAL040C	1743	1544	549	12.7988
YAL039C	810	611	131	7.71746
YAL038W	1503	1304	195709	5402.28
YAL037C-B	975	776	31	1.43795
YAL037C-A	93	94	0	0
YAL037W	804	605	73	4.34322
YAL036C	1110	911	1154	45.5965
YAL035W	3009	2810	12461	159.621
YAL034C-B	354	155	0	0
YAL034W-A	870	671	115	6.16907
YAL034C	1242	1043	344	11.8718
YAL033W	522	323	323	35.9952
YAL032C	1140	941	419	16.0276
YAL031W-A	309	110	0	0
YAL031C	2283	2084	710	12.2632
YAL030W	354	155	278	64.5591
YAL029C	4416	4217	3266	27.8777
YAL028W	1587	1388	172	4.4605
YAL027W	786	587	128	7.84903
YAL026C-A	438	239	216	32.5312
YAL026C	4068	3869	3870	36.0045
YAL025C	921	722	460	22.9332
YAL024C	4308	4109	1415	12.3955
YAL023C	2280	2081	9104	157.472
YAL022C	1554	1355	1298	34.481
YAL021C	2514	2315	2472	38.4363
YAL020C	1002	803	62	2.7792
YAL019W-A	570	371	1	0.097022
YAL019W	3396	3197	3349	37.7065
YAL018C	978	779	2	0.0924138
YAL017W	4071	3872	2384	22.1623
YAL016C-B	186	1	0	0
YAL016C-A	315	116	0	0
YAL016W	1908	1709	3429	72.222
YAL015C	1200	1001	253	9.09768
YAL014C	768	569	520	32.8954
YAL013W	1218	1019	192	6.78221
YAL012W	1185	986	7443	271.716
YAL011W	1878	1679	337	7.22476
YAL010C	1482	1283	379	10.633
YAL009W	780	581	172	10.6561
