target_id	length	eff_length	est_counts	tpm
ego2_Nanoluc	555	333.333	5011	294.053
strong_Clover	1464	1241.18	2	0.0315192
mCherry	747	524.293	0	0
YAL069W	315	113.047	9	1.55726
YAL068W-A	255	68.9828	0	0
YAL068C	363	152.039	5.30007	0.681877
YAL067W-A	228	51.7821	0	0
YAL067C	1782	1559.18	26	0.326179
YAL066W	309	108.305	1	0.180606
YAL065C	387	172.968	25.0503	2.83287
YAL064W-B	381	167.497	26	3.03631
YAL064C-A	381	167.497	8	0.93425
YAL064W	285	89.904	97	21.1044
YAL063C-A	291	94.3452	43	8.91513
YAL063C	3969	3746.18	343.231	1.79216
YAL062W	1374	1151.18	173	2.93956
YAL061W	1254	1031.18	754	14.3027
YAL060W	1149	926.178	3651	77.1074
YAL059C-A	423	205.899	0	0
YAL059W	639	416.429	448	21.0434
YAL058W	1509	1286.18	1350	20.5311
YAL056C-A	351	141.91	0	0
YAL056W	2643	2420.18	1719	13.8934
YAL055W	543	321.465	130	7.91023
YAL054C	2142	1919.18	542	5.52412
YAL053W	2352	2129.18	9513	87.3946
YAL051W	3144	2921.18	3702	24.7889
YAL049C	741	518.293	1869	70.5363
YAL048C	1989	1766.18	1384	15.3278
YAL047W-A	330	124.702	3	0.470574
YAL047C	1869	1646.18	1173	13.938
YAL046C	357	146.988	339	45.1124
YAL045C	309	108.305	1	0.180606
YAL044W-A	333	127.148	1268	195.069
YAL044C	513	292.05	1126	75.4154
YAL043C	2358	2135.18	4046	37.0656
YAL042C-A	378	164.773	4	0.474847
YAL042W	1248	1025.18	6266	119.556
YAL041W	2565	2342.18	4298	35.8943
YAL040C	1743	1520.18	8551	110.028
YAL039C	810	587.178	486	16.1899
YAL038W	1503	1280.18	343243	5244.58
YAL037C-B	975	752.178	74	1.92438
YAL037C-A	93	17.1628	2	2.2794
YAL037W	804	581.178	269	9.05361
YAL036C	1110	887.178	3156	69.5833
YAL035W	3009	2786.18	26098	183.222
YAL034C-B	354	144.483	2	0.270765
YAL034W-A	870	647.178	123	3.71758
YAL034C	1242	1019.18	2763	53.0286
