target_id	length	eff_length	est_counts	tpm
ego2_Nanoluc	555	345.294	29542	3440.16
strong_Clover	1464	1253.72	24750	793.787
mCherry	747	536.717	13037	976.699
YAL069W	315	119.742	11	3.69381
YAL068W-A	255	73.9614	0	0
YAL068C	363	161.201	0	0
YAL067W-A	228	55.9836	0	0
YAL067C	1782	1571.72	17	0.434913
YAL066W	309	114.818	0	0
YAL065C	387	183.008	8.76716	1.92627
YAL064W-B	381	177.563	89	20.1542
YAL064C-A	381	177.563	4	0.905807
YAL064W	285	96.2322	33	13.7886
YAL063C-A	291	100.519	21	8.40042
YAL063C	3969	3758.72	352.107	3.76672
YAL062W	1374	1163.72	162	5.59752
YAL061W	1254	1043.72	270	10.4018
YAL060W	1149	938.717	3916	167.74
YAL059C-A	423	216.357	2	0.371695
YAL059W	639	428.907	115	10.7811
YAL058W	1509	1298.72	1260	39.0107
YAL056C-A	351	150.724	1	0.266775
YAL056W	2643	2432.72	2105	34.7927
YAL055W	543	333.362	46	5.54842
YAL054C	2142	1931.72	195	4.059
YAL053W	2352	2141.72	7682	144.225
YAL051W	3144	2933.72	2299	31.51
YAL049C	741	530.717	788	59.7024
YAL048C	1989	1778.72	1404	31.7386
YAL047W-A	330	132.278	0	0
YAL047C	1869	1658.72	715	17.3325
YAL046C	357	155.973	79	20.366
YAL045C	309	114.818	0	0
YAL044W-A	333	134.866	409	121.941
YAL044C	513	303.713	313	41.439
YAL043C	2358	2147.72	3252	60.8838
YAL042C-A	378	174.908	6	1.37934
YAL042W	1248	1037.72	3683	142.709
YAL041W	2565	2354.72	3089	52.7482
YAL040C	1743	1532.72	6749	177.054
YAL039C	810	599.717	235	15.7561
YAL038W	1503	1292.72	139173	4328.92
YAL037C-B	975	764.717	27	1.41968
YAL037C-A	93	18.7863	0	0
YAL037W	804	593.717	161	10.9037
YAL036C	1110	899.717	1192	53.2719
YAL035W	3009	2798.72	15002	215.535
YAL034C-B	354	153.231	1	0.26241
YAL034W-A	870	659.717	51	3.10843
YAL034C	1242	1031.72	2509	97.7841
YAL033W	522	312.589	93	11.9629
YAL032C	1140	929.717	808	34.9453
YAL031W-A	309	114.818	5	1.75101
YAL031C	2283	2072.72	1665	32.3
YAL030W	354	153.231	121	31.7516
YAL029C	4416	4205.72	14197	135.733
YAL028W	1587	1376.72	866	25.2931
YAL027W	786	575.717	195	13.6193
YAL026C-A	438	230.883	541.031	94.2234
YAL026C	4068	3857.72	8969.97	93.4951
YAL025C	921	710.717	1006	56.9154
YAL024C	4308	4097.72	3600	35.3255
YAL023C	2280	2069.72	13752	267.167
YAL022C	1554	1343.72	976	29.2059
YAL021C	2514	2303.72	6961	121.498
YAL020C	1002	791.717	401	20.3659
YAL019W-A	570	360.258	37	4.12967
YAL019W	3396	3185.72	6616	83.5057
YAL018C	978	767.717	6	0.314252
YAL017W	4071	3860.72	3589	37.3795
YAL016C-B	186	33.9455	0	0
YAL016C-A	315	119.742	4	1.3432
YAL016W	1908	1697.72	2653	62.8348
YAL015C	1200	989.717	221	8.97862
YAL014C	768	557.717	590	42.537
YAL013W	1218	1007.72	642	25.6168
YAL012W	1185	974.717	5898	243.307
YAL011W	1878	1667.72	356	8.58333
YAL010C	1482	1271.72	731	23.1129
YAL009W	780	569.717	406	28.6547
YAL008W	597	387.069	155	16.1017
YAL007C	648	437.907	848	77.865
YAL005C	1929	1718.72	22397.1	523.982
YAL004W	648	437.907	0	0
YAL003W	621	410.989	7962	778.968
YAL002W	3825	3614.72	4417	49.1339
YAL001C	3483	3272.72	2052	25.2114
YAR002W	1620	1409.72	2154	61.4387
YAR002C-A	660	449.907	665	59.4329
YAR003W	1281	1070.72	635	23.8466
YAR007C	1866	1655.72	1449	35.1893
YAR008W	828	617.717	159	10.3499
YAR009C	3591	3380.72	62225.9	740.1
YAR010C	1323	1112.72	60247.7	2177.13
YAR014C	2130	1919.72	2344	49.0963
YAR015W	921	710.717	794	44.9213
YAR018C	1308	1097.72	495	18.1319
YAR019C	2925	2714.72	1605	23.7727
YAR019W-A	333	134.866	2	0.596289
YAR020C	168	26.8482	13	19.4695
YAR023C	540	330.429	213	25.9197
YAR027W	708	497.717	728	58.8135
YAR028W	705	494.717	365	29.6664
YAR029W	225	54.2045	73	54.1521
YAR030C	342	142.78	23	6.47721
YAR031W	897	686.717	30.8808	1.80817
YAR033W	705	494.717	117.765	9.57165
YAR035W	2064	1853.72	284	6.16032
YAR035C-A	81	21.5636	1	1.86469
YAR042W	3567	3356.72	14985	179.502
YAR047C	321	124.96	32	10.2969
YAR050W	4614	4403.72	2736.03	24.9822
YAR053W	297	104.974	3	1.14913
YAR060C	336	137.548	74	21.6325
YAR061W	1006	795.717	10.872	0.549386
YAR064W	300	107.311	0	0
YAR066W	612	401.989	0	0
YAR068W	486	277.356	0	0
YAR069C	294	102.932	0	0
YAR070C	300	107.311	0	0
YAR071W	1404	1193.72	49.1591	1.65589
YAR073W	1212	1001.72	1.06373	0.0426985
YAR075W	474	265.765	0	0
YBL113C	2379	2168.72	4159.98	77.1288
YBL113W-A	483	274.439	0.000458109	6.71199e-05
YBL112C	318	122.335	18.8994	6.21189
YBL111C	2004	1793.72	1.26904e-07	2.84479e-09
YBL109W	336	137.548	15.7961	4.61769
YBL108C-A	129	20.2389	0	0
YBL108W	306	112.305	0	0
YBL107W-A	105	21.3351	1.04888	1.97679
YBL107C	591	381.184	132	13.9241
YBL106C	3033	2822.72	10461	149.016
YBL105C	3456	3245.72	8090	100.223
YBL104C	3117	2906.72	1608	22.2439
YBL103C	1461	1250.72	952	30.606
YBL102W	648	437.907	393	36.086
YBL101C	3354	3143.72	7629	97.5781
YBL100W-C	120	19.2468	0	0
YBL100W-A	1317	1106.72	0	0
YBL100W-B	5313	5102.72	11365.3	89.5583
YBL100C	315	119.742	0	0
YBL099W	1638	1427.72	5282	148.759
YBL098W	1383	1172.72	274	9.39476
YBL097W	2265	2054.72	951	18.6104
YBL096C	309	114.818	5	1.75101
YBL095W	813	602.717	194	12.9425
YBL094C	333	134.866	4	1.19258
YBL093C	663	452.907	1513	134.325
YBL092W	393	188.59	11028	2351.29
YBL091C-A	528	318.494	53	6.69118
YBL091C	1266	1055.72	1981	75.451
YBL090W	534	324.494	55	6.81528
YBL089W	1380	1169.72	473	16.2595
YBL088C	8364	8153.72	10135	49.98
YBL087C	414	207.699	1202.69	232.835
YBL086C	1401	1190.72	230	7.76689
YBL085W	2943	2732.72	7393	108.781
YBL084C	2277	2066.72	1327	25.8177
YBL083C	426	219.291	50.3648	9.23493
YBL082C	1377	1166.72	637.635	21.9753
YBL081W	1107	896.717	1522	68.2476
YBL080C	1626	1415.72	428	12.1561
YBL079W	4509	4298.72	17658	165.17
YBL078C	354	153.231	104	27.2907
YBL077W	432	225.089	1	0.178638
YBL076C	3219	3008.72	25782	344.559
YBL075C	1950	1739.72	1223	28.2668
YBL074C	1068	857.717	728	34.1284
YBL073W	312	117.31	0	0
YBL072C	603	393.069	6176.91	631.874
YBL071C-B	99	20.6966	3	5.82843
YBL071W-A	249	69.7748	94	54.1698
YBL071C	309	114.818	5	1.75101
YBL070C	321	124.96	0	0
YBL069W	1290	1079.72	425.354	15.8405
YBL068W-A	237	61.8197	150.646	97.9848
YBL068W	981	770.717	416	21.7033
YBL067C	2244	2033.72	4079	80.6476
YBL066C	3447	3236.72	3507	43.5671
YBL065W	345	145.643	8	2.20866
YBL064C	786	575.717	419	29.264
YBL063W	3336	3125.72	1879	24.1716
YBL062W	381	177.563	2	0.452903
