# Signal peptide identification by SignalP 4.1
# Transmembrane domain identification by TMHMM 2.0
orf	signal.peptide	transmembrane.domain
YIL140W	1	1
YLR268W	NA	1
YOL163W	NA	3
YPR125W	NA	1
YAL008W	NA	2
YBR255W	NA	1
YOR011W	NA	13
YJR122W	1	NA
YKR069W	1	NA
YGR131W	1	4
YNL003C	1	2
YPL041C	NA	2
YJR153W	1	NA
YJL142C	1	3
YPR133W-A	NA	1
YLR395C	NA	1
YNR067C	1	NA
YJL077C	NA	2
YKL063C	NA	1
YPL134C	NA	1
YIL171W	NA	1
YFL021W	1	NA
YJL219W	NA	11
YKL083W	1	5
YNL114C	1	2
YDR090C	1	6
YLR220W	NA	3
YER093C-A	NA	2
YAL026C	NA	9
YCL023C	1	2
YOL156W	NA	11
YOL129W	1	4
YHR130C	1	2
YOR024W	1	1
YML129C	1	1
YGL257C	1	1
YER023W	1	NA
YDR410C	NA	5
YDR459C	1	4
YNR045W	NA	1
YIL030W-A	1	1
YIL059C	1	NA
YOR392W	NA	1
YIL004C	NA	1
YNR018W	NA	2
YIL166C	NA	12
YBR159W	1	1
YHR078W	1	8
YJR108W	1	NA
YDR286C	1	NA
YFR018C	1	NA
YNL242W	1	NA
YLR300W	1	NA
YJL091C	NA	12
YJR095W	NA	2
YNR021W	NA	1
YBR043C	NA	12
YDR380W	NA	1
YNL237W	1	10
YHL006W-A	1	NA
YGL053W	NA	2
YLL066W-A	NA	1
YHR007C	NA	2
YPR183W	NA	1
YEL049W	1	NA
YEL017C-A	1	1
YLR059C	1	NA
YDR525W-A	1	2
YBR054W	NA	7
YLR020C	1	1
YNL217W	1	1
YLR404W	1	2
YIL013C	NA	12
YHR214W-A	1	NA
YDR393W	NA	1
YBR293W	1	12
YGL084C	NA	10
YHR032W	NA	8
YER145C	1	7
YDR136C	1	1
YNL080C	NA	4
YOR382W	1	NA
YLR088W	1	6
YNL052W	NA	1
YLR023C	NA	7
YEL050W-A	1	1
YER129W	NA	1
YBR296C	1	10
YNL321W	NA	13
