target_id	length	eff_length	est_counts	tpm
ego2_Nanoluc	555	366.085	1447	304.63
strong_Clover	1464	1274.77	0	0
mCherry	747	557.771	0	0
YAL069W	315	140.656	2	1.09586
YAL068W-A	255	94.5148	0	0
YAL068C	363	181.742	1.13907	0.483039
YAL067W-A	228	75.2889	0	0
YAL067C	1782	1592.77	5	0.241937
YAL066W	309	135.69	0	0
YAL065C	387	203.368	0.435132	0.164902
YAL064W-B	381	197.819	2	0.779198
YAL064C-A	381	197.819	0	0
YAL064W	285	117.016	4	2.63451
YAL063C-A	291	121.552	1	0.634049
YAL063C	3969	3779.77	10.4986	0.214067
YAL062W	1374	1184.77	23	1.49617
YAL061W	1254	1064.77	47	3.40195
YAL060W	1149	959.771	486	39.0261
YAL059C-A	423	237.076	0	0
YAL059W	639	449.818	203	34.7812
YAL058W	1509	1319.77	167	9.75223
YAL056C-A	351	170.889	0	0
YAL056W	2643	2453.77	173	5.43373
YAL055W	543	354.158	33	7.18131
YAL054C	2142	1952.77	37	1.46028
YAL053W	2352	2162.77	671	23.911
YAL051W	3144	2954.77	319	8.32057
YAL049C	741	551.771	394	55.0331
YAL048C	1989	1799.77	118	5.05302
YAL047W-A	330	152.726	0	0
YAL047C	1869	1679.77	114	5.23047
YAL046C	357	176.278	101	44.158
YAL045C	309	135.69	0	0
YAL044W-A	333	155.206	202	100.306
YAL044C	513	324.428	846	200.973
YAL043C	2358	2168.77	648	23.0275
YAL042C-A	378	195.08	1	0.395069
YAL042W	1248	1058.77	1278	93.0283
YAL041W	2565	2375.77	488	15.8308
YAL040C	1743	1553.77	527	26.1403
YAL039C	810	620.771	185	22.9682
YAL038W	1503	1313.77	142724	8372.66
YAL037C-B	975	785.771	6	0.588493
YAL037C-A	93	12.7824	0	0
YAL037W	804	614.771	18	2.25655
YAL036C	1110	920.771	1145	95.8385
YAL035W	3009	2819.77	9183	250.99
YAL034C-B	354	173.532	0	0
YAL034W-A	870	680.771	34	3.84914
YAL034C	1242	1052.77	131	9.59011
YAL033W	522	333.33	138	31.9074
YAL032C	1140	950.771	138	11.1864
YAL031W-A	309	135.69	0	0
YAL031C	2283	2093.77	227	8.3557
YAL030W	354	173.532	143	63.5103
YAL029C	4416	4226.77	918	16.7386
YAL028W	1587	1397.77	57	3.14286
YAL027W	786	596.771	69	8.91102
YAL026C-A	438	251.268	23.467	7.19791
YAL026C	4068	3878.77	413.533	8.21679
YAL025C	921	731.771	661	69.6166
YAL024C	4308	4118.77	264	4.93995
YAL023C	2280	2090.77	3400	125.331
YAL022C	1554	1364.77	326	18.4096
YAL021C	2514	2324.77	1420	47.0754
YAL020C	1002	812.771	107	10.1462
YAL019W-A	570	380.972	3	0.606896
YAL019W	3396	3206.77	1181	28.3836
YAL018C	978	788.771	2	0.195418
YAL017W	4071	3881.77	335	6.65122
YAL016C-B	186	49.6574	0	0
YAL016C-A	315	140.656	0	0
YAL016W	1908	1718.77	1089	48.8311
YAL015C	1200	1010.77	91	6.93865
YAL014C	768	578.771	226	30.0946
YAL013W	1218	1028.77	285	21.3507
YAL012W	1185	995.771	8016	620.418
YAL011W	1878	1688.77	122	5.56769
YAL010C	1482	1292.77	111	6.6174
YAL009W	780	590.771	95	12.3934
YAL008W	597	407.818	72	13.6067
YAL007C	648	458.818	677	113.719
YAL005C	1929	1739.77	22567.1	999.699
YAL004W	648	458.818	0	0
YAL003W	621	431.818	10268	1832.61
YAL002W	3825	3635.77	235	4.98147
YAL001C	3483	3293.77	182	4.25857
YAR002W	1620	1430.77	818	44.0625
YAR002C-A	660	470.818	785	128.5
YAR003W	1281	1091.77	154	10.8711
YAR007C	1866	1676.77	659	30.2899
YAR008W	828	638.771	70	8.44577
YAR009C	3591	3401.77	7068.95	160.153
YAR010C	1323	1133.77	3849.48	261.676
YAR014C	2130	1940.77	668	26.527
YAR015W	921	731.771	1003	105.636
YAR018C	1308	1118.77	134	9.23102
YAR019C	2925	2735.77	153	4.31021
YAR019W-A	333	155.206	2	0.993133
YAR020C	168	39.917	2	3.86152
YAR023C	540	351.193	18	3.95015
YAR027W	708	518.771	276	41.0034
YAR028W	705	515.771	121	18.0807
YAR029W	225	73.2661	11	11.5711
YAR030C	342	162.99	2	0.945703
YAR031W	897	707.771	24.514	2.66936
YAR033W	705	515.771	87.4915	13.0736
YAR035W	2064	1874.77	60	2.46655
YAR035C-A	81	11.8054	0	0
YAR042W	3567	3377.77	645	14.7169
YAR047C	321	145.519	1	0.529622
YAR050W	4614	4424.77	32.2292	0.561364
YAR053W	297	126.229	4	2.44224
YAR060C	336	157.745	1.5	0.732861
YAR061W	1006	816.771	0	0
YAR064W	300	128.582	0	0
YAR066W	612	422.818	0	0
YAR068W	486	297.613	0	0
YAR069C	294	123.839	0.5	0.31117
YAR070C	300	128.582	1	0.599387
YAR071W	1404	1214.77	909.114	57.678
YAR073W	1212	1022.77	0	0
YAR075W	474	285.758	1.03542	0.279257
YBL113C	2379	2189.77	81.7065	2.87571
YBL113W-A	483	294.613	0	0
YBL112C	318	143.061	0	0
YBL111C	2004	1814.77	21.2067	0.900611
YBL109W	336	157.745	3.09324	1.51127
YBL108C-A	129	22.189	0.582789	2.02423
YBL108W	306	133.291	0	0
YBL107W-A	105	14.3198	3.13407	16.8678
YBL107C	591	401.818	71	13.618
YBL106C	3033	2843.77	214	5.7997
YBL105C	3456	3266.77	637	15.0282
YBL104C	3117	2927.77	271	7.13376
YBL103C	1461	1271.77	167	10.1203
YBL102W	648	458.818	230	38.6343
YBL101C	3354	3164.77	371	9.03479
YBL100W-C	120	18.7738	0	0
YBL100W-A	1317	1127.77	0	0
YBL100W-B	5313	5123.77	215.33	3.23892
YBL100C	315	140.656	0	0
YBL099W	1638	1448.77	2461	130.918
YBL098W	1383	1193.77	161	10.3942
YBL097W	2265	2075.77	148	5.49501
YBL096C	309	135.69	0	0
YBL095W	813	623.771	53	6.54843
YBL094C	333	155.206	0	0
YBL093C	663	473.818	372	60.5086
YBL092W	393	209.011	18292	6744.96
YBL091C-A	528	339.262	45	10.2226
YBL091C	1266	1076.77	1575	112.731
YBL090W	534	345.228	142	31.7007
YBL089W	1380	1190.77	124	8.02564
YBL088C	8364	8174.77	226	2.13068
YBL087C	414	228.592	4835.24	1630.21
YBL086C	1401	1211.77	154	9.79459
YBL085W	2943	2753.77	793	22.1938
YBL084C	2277	2087.77	164	6.05407
YBL083C	426	239.836	69.3649	22.2901
YBL082C	1377	1187.77	388.635	25.2171
YBL081W	1107	917.771	694	58.2789
YBL080C	1626	1436.77	73	3.91581
YBL079W	4509	4319.77	1034	18.4479
YBL078C	354	173.532	35	15.5445
YBL077W	432	245.542	0	0
YBL076C	3219	3029.77	8629	219.501
YBL075C	1950	1760.77	156	6.82823
YBL074C	1068	878.771	54	4.73592
YBL073W	312	138.244	0	0
YBL072C	603	413.818	12583.6	2343.59
YBL071C-B	99	13.5358	1	5.69379
YBL071W-A	249	90.1696	98	83.763
YBL071C	309	135.69	1	0.567987
YBL070C	321	145.519	0	0
YBL069W	1290	1100.77	214.946	15.0494
YBL068W-A	237	81.6623	52.0539	49.1268
