# Run started 2022-06-16 10:21:15.533919
# Command: /home/jabard89/Dropbox/code_JB/repos/rnaseq_tools/scripts/analysis/count_reads_from_bam_transcriptome_single.py sgd_20210422_orf_coding_all.fasta Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_Aligned.out.bam Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_dist.tsv.gz Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_counts.tsv -f 0 -b 0 -m 100
# Parameters:
#	invert_strands: False
#	in_fasta: sgd_20210422_orf_coding_all.fasta
#	in_bam: Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_Aligned.out.bam
#	out_dist: Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_dist.tsv.gz
#	out_counts: Weinberg.2016_mrna_30C.control_BY4741_ribozero_BR1_transcriptome_counts.tsv
#	trim_front: 0
#	trim_back: 0
#	min_length: 100
Count	CDS_length	Eff_length	ORF	TPM
0	315	315	YAL069W	0.0
0	255	255	YAL068W-A	0.0
0	363	363	YAL068C	0.0
0	228	228	YAL067W-A	0.0
8	1782	1782	YAL067C	0.2936335404980592
0	309	309	YAL066W	0.0
6	387	387	YAL065C	1.014060017766553
0	381	381	YAL064W-B	0.0
4	381	381	YAL064C-A	0.6866863112434927
1	285	285	YAL064W	0.22949779349453575
2	291	291	YAL063C-A	0.44953176045321436
23	3969	3969	YAL063C	0.3790269680918825
45	1374	1374	YAL062W	2.1421464349107864
65	1254	1254	YAL061W	3.3903083129874596
377	1149	1149	YAL060W	21.46074014100991
0	423	423	YAL059C-A	0.0
58	639	639	YAL059W	5.936773906830477
92	1509	1509	YAL058W	3.987695258732092
6	351	351	YAL056C-A	1.1180661734349175
242	2643	2643	YAL056W	5.988824372802926
12	543	543	YAL055W	1.4454557159324346
43	2142	2142	YAL054C	1.3130230902313424
193	2352	2352	YAL053W	5.3671454639315215
145	3144	3144	YAL051W	3.0165382684992648
135	741	741	YAL049C	11.9162315852932
40	1989	1989	YAL048C	1.3153719687469618
0	330	330	YAL047W-A	0.0
44	1869	1869	YAL047C	1.539808630509084
41	357	357	YAL046C	7.511713492951401
4	309	309	YAL045C	0.8466908886206174
7	333	333	YAL044W-A	1.3749192132780743
230	513	513	YAL044C	29.32471805763512
101	2358	2358	YAL043C	2.801566575801616
15	378	378	YAL042C-A	2.5955107597596303
442	1248	1248	YAL042W	23.1649335308547
199	2565	2565	YAL041W	5.074451211712512
62	1743	1743	YAL040C	2.3265783195917646
32	810	810	YAL039C	2.5839751563829205
3059	1503	1503	YAL038W	133.12017221253404
200	975	975	YAL037C-B	13.416794081219013
17	804	804	YAL037W	1.3829811063196835
226	1110	1110	YAL036C	13.31707466575049
1320	3009	3009	YAL035W	28.692944470802374
11	354	354	YAL034C-B	2.032416900015168
24	870	870	YAL034W-A	1.804327479888074
23	1242	1242	YAL034C	1.211238354554494
116	522	522	YAL033W	14.534860254653928
29	1140	1140	YAL032C	1.6638590028353841
2	309	309	YAL031W-A	0.4233454443103087
64	2283	2283	YAL031C	1.8335697561718491
22	354	354	YAL030W	4.064833800030336
692	4416	4416	YAL029C	10.249446293702974
17	1587	1587	YAL028W	0.7006407117082707
41	786	786	YAL027W	3.411808800233651
28	438	438	YAL026C-A	4.181261169147021
577	4068	4068	YAL026C	9.277228282008096
112	921	921	YAL025C	7.953930041634724
125	4308	4308	YAL024C	1.8978316836682534
805	2280	2280	YAL023C	23.09321547038766
169	1554	1554	YAL022C	7.113102460530445
278	2514	2514	YAL021C	7.23274072337791
46	1002	1002	YAL020C	3.002710651410543
0	570	570	YAL019W-A	0.0
292	3396	3396	YAL019W	5.623912360016273
0	978	978	YAL018C	0.0
364	4071	4071	YAL017W	5.8482193802808
9	186	186	YAL016C-B	3.1648486038359365
13	315	315	YAL016C-A	2.6993311901500157
298	1908	1908	YAL016W	10.215538575204883
60	1200	1200	YAL015C	3.270343557297134
47	768	768	YAL014C	4.002764249816805
28	1218	1218	YAL013W	1.5036062332400617
315	1185	1185	YAL012W	17.386636633731598
48	1878	1878	YAL011W	1.6717411155512507
