# Khong et al. yeast stress granule transcriptome, Table S2
# Changed #DIV/0! and NS values to NA
#gene_ID	gene_name	avReads(SG)	avReads(Total)	FC(SG/tot)	p-value	SG classification	length	5prime UTR length	ORF length	3primeUTR length	codon optimality	initiation rate	ribosome density	class (Chartron et al. )	t1/2 (Neymotin et al.)	fraction GC content
ORF	gene	avReads.sg	avReads.total	foldchange.sg.total	p.value	sg.classification	length	length.utr5	length.orf	length.utr3	codon.optimality	initiation.rate	ribosome.density	class.chartron	halflife.min	fraction.gc
Q0130	OLI1	419.5274139	4494.381119	0.093344868	4.36E-65	depleted	340	48	231	61	0.480519481	0	0	mito	NA	NA
Q0275	COX3	210.3839384	2221.476957	0.094704533	2.78E-61	depleted	941	66	810	65	0.381481481	NA	0	mito	80.9	NA
Q0105	COB	107.2182938	1051.722931	0.10194538	2.62E-52	depleted	7115	0	7108	7	0.393782383	0	0	mito	51.1	NA
YNL208W	YNL208W	4315.166979	38583.02224	0.111841083	3.02828E-47	depleted	728	34	600	94	0.62	NA	2.3921	Cytonuclear	49.3	0.513333333
YLR044C	PDC1	116655.2218	1179993.746	0.098860881	7.65123E-42	depleted	1778	32	1692	54	0.929078014	NA	NA	Cytonuclear	NA	0.454
YLR301W	HRI1	1313.810287	11003.07389	0.119403932	1.52748E-41	depleted	897	39	735	123	0.612244898	0.000203297	1.1797	Cytonuclear	NA	0.397666667
YPR080W	TEF1	42506.8212	561613.7339	0.075686933	1.52748E-41	depleted	1533	33	1377	123	0.912854031	0.000195049	NA	Cytonuclear	NA	0.444333333
YBR118W	TEF2	46048.79946	593500.3616	0.077588494	8.78458E-41	depleted	1479	14	1377	88	0.91503268	NA	NA	Cytonuclear	NA	0.446
YHR179W	OYE2	5607.594307	42260.68011	0.132690584	9.01205E-41	depleted	1355	47	1203	105	0.710723192	0.000274903	4.1257	Cytonuclear	23.2	0.430666667
YKL060C	FBA1	43065.15806	550803.8929	0.078186009	1.00258E-40	depleted	1119	11	1080	28	0.919444444	NA	2.9332	Cytonuclear	NA	0.452
YFL014W	HSP12	2227.857051	21038.97007	0.105891925	2.66965E-38	depleted	543	39	330	174	0.854545455	0.000225487	1.3314	Cytonuclear	18.6	0.482
YHR183W	GND1	8030.384977	54287.58005	0.14792306	3.84156E-36	depleted	1669	78	1470	121	0.812244898	0.000155212	3.8898	Exception	15.5	0.445
YGL253W	HXK2	11664.5877	75840.32126	0.153804566	9.88844E-36	depleted	1683	34	1461	188	0.809034908	NA	6.456	Cytonuclear	12.4	0.416666667
YJL171C	YJL171C	4345.939683	27567.755	0.15764576	4.07455E-35	depleted	1408	39	1191	178	0.564231738	7.93721E-05	2.34	Exception	28.1	0.412
YGR209C	TRX2	3782.262151	23845.98835	0.158612094	1.02157E-33	depleted	413	37	315	61	0.685714286	0.000113596	2.3369	Cytonuclear	71.2	0.431333333
YBR249C	ARO4	2626.459957	17033.9811	0.154189437	1.03597E-33	depleted	1338	137	1113	88	0.773584906	0.000540096	1.958	Cytonuclear	12.9	0.437666667
