target_id	length	eff_length	est_counts	tpm
ego2_Nanoluc	555	335.75	13511	1210.33
strong_Clover	1464	1244.46	0	0
mCherry	747	527.511	0	0
YAL069W	315	112.461	13	3.47675
YAL068W-A	255	68.0619	0	0
YAL068C	363	152.947	2.13476	0.419797
YAL067W-A	228	50.4346	0	0
YAL067C	1782	1562.46	25	0.481243
YAL066W	309	107.813	5	1.39486
YAL065C	387	174.384	18.2985	3.15603
YAL064W-B	381	168.702	149	26.5643
YAL064C-A	381	168.702	4	0.713136
YAL064W	285	88.9587	92	31.1051
YAL063C-A	291	93.3891	21	6.76324
YAL063C	3969	3749.46	818.561	6.56621
YAL062W	1374	1154.46	266	6.93005
YAL061W	1254	1034.46	260	7.5595
YAL060W	1149	929.456	2021	65.3987
YAL059C-A	423	207.708	0	0
YAL059W	639	419.646	138	9.89073
YAL058W	1509	1289.46	998	23.2785
YAL056C-A	351	142.563	0	0
YAL056W	2643	2423.46	3168	39.3171
YAL055W	543	323.881	74	6.87192
YAL054C	2142	1922.46	131	2.04949
YAL053W	2352	2132.46	7706	108.688
YAL051W	3144	2924.46	4266	43.874
YAL049C	741	521.511	856	49.3676
YAL048C	1989	1769.46	1477	25.1057
YAL047W-A	330	124.71	0	0
YAL047C	1869	1649.46	1147	20.9148
YAL046C	357	147.813	58	11.8018
YAL045C	309	107.813	0	0
YAL044W-A	333	127.248	230	54.3639
YAL044C	513	294.216	357	36.495
YAL043C	2358	2138.46	3785	53.235
YAL042C-A	378	166.082	6	1.08658
YAL042W	1248	1028.46	4498	131.542
YAL041W	2565	2345.46	4795	61.4884
YAL040C	1743	1523.46	12264	242.122
YAL039C	810	590.456	258	13.1421
YAL038W	1503	1283.46	229768	5384.44
YAL037C-B	975	755.456	33	1.31382
YAL037C-A	93	16.0698	0	0
YAL037W	804	584.456	73	3.75667
YAL036C	1110	890.456	1109	37.4586
YAL035W	3009	2789.46	21562	232.488
YAL034C-B	354	145.199	0	0
YAL034W-A	870	650.456	75	3.46797
YAL034C	1242	1022.46	2833	83.3362
YAL033W	522	302.976	120	11.9125
YAL032C	1140	920.456	874	28.5588
YAL031W-A	309	107.813	0	0
YAL031C	2283	2063.46	3284	47.8674
YAL030W	354	145.199	162	33.5571
YAL029C	4416	4196.46	19716	141.308
YAL028W	1587	1367.46	1754	38.5787
YAL027W	786	566.456	335	17.7873
YAL026C-A	438	221.622	598.786	81.2625
YAL026C	4068	3848.46	10903.2	85.2118
YAL025C	921	701.456	1440	61.7439
YAL024C	4308	4088.46	4875	35.863
YAL023C	2280	2060.46	20883	304.833
YAL022C	1554	1334.46	1949	43.9278
YAL021C	2514	2294.46	11995	157.236
YAL020C	1002	782.456	363	13.9534
YAL019W-A	570	350.681	24	2.05841
YAL019W	3396	3176.46	7847	74.3007
YAL018C	978	758.456	1	0.0396553
YAL017W	4071	3851.46	13724	107.174
YAL016C-B	186	29.4633	0	0
YAL016C-A	315	112.461	2	0.534885
YAL016W	1908	1688.46	3670	65.3745
YAL015C	1200	980.456	179	5.49107
YAL014C	768	548.511	787	43.154
YAL013W	1218	998.456	1341	40.3954
YAL012W	1185	965.456	8182	254.894
YAL011W	1878	1658.46	425	7.70756
YAL010C	1482	1262.46	1031	24.5626
YAL009W	780	560.456	347	18.6217
YAL008W	597	377.646	184	14.6543
YAL007C	648	428.646	1036	72.6931
YAL005C	1929	1709.46	90780.2	1597.22
YAL004W	648	428.646	1	0.0701671
YAL003W	621	401.646	6218	465.628
YAL002W	3825	3605.46	6790	56.6424
YAL001C	3483	3263.46	2571	23.695
YAR002W	1620	1400.46	2953	63.4199
YAR002C-A	660	440.602	939	64.0989
YAR003W	1281	1061.46	760	21.5349
YAR007C	1866	1646.46	1923	35.1286
YAR008W	828	608.456	143	7.06869
YAR009C	3591	3371.46	47778	426.228
YAR010C	1323	1103.46	21193.3	577.663
YAR014C	2130	1910.46	2943	46.3324
YAR015W	921	701.456	567	24.3117
YAR018C	1308	1088.46	653	18.0441
YAR019C	2925	2705.46	3568	39.6658
YAR019W-A	333	127.248	3	0.709094
YAR020C	168	23.3147	14	18.0605
YAR023C	540	320.913	234	21.9311
YAR027W	708	488.511	1068	65.755
YAR028W	705	485.511	533	33.0187
YAR029W	225	48.6923	82	50.6507
YAR030C	342	134.912	27	6.01928
YAR031W	897	677.456	40.3324	1.79062
YAR033W	705	485.511	203.234	12.5901
