ORF	gene	length.protein	classification	label	Length5UTR	Length3UTR	Length5UTR.est	Length3UTR.est	LengthTxEst	unspliced.CDS.length	LengthTxUnsplicedEst	ENA	SGD_ID	ncrna_classification	RNAcentral_ID	length.ncRNA
Q0010	NA	128	mitochondrial ORF	other	NA	NA	48	123	558	387	558	NA	NA	NA	NA	NA
Q0017	NA	53	mitochondrial ORF	other	NA	NA	48	123	333	162	333	NA	NA	NA	NA	NA
Q0032	NA	96	mitochondrial ORF	other	NA	NA	48	123	462	291	462	NA	NA	NA	NA	NA
Q0045	COX1	534	mitochondrial ORF	other	NA	NA	48	123	1776	12884	13055	NA	NA	NA	NA	NA
Q0050	AI1	834	mitochondrial ORF	other	NA	NA	48	123	2676	2505	2676	NA	NA	NA	NA	NA
Q0055	AI2	854	mitochondrial ORF	other	NA	NA	48	123	2736	5013	5184	NA	NA	NA	NA	NA
Q0060	AI3	415	mitochondrial ORF	other	NA	NA	48	123	1419	6179	6350	NA	NA	NA	NA	NA
Q0065	AI4	556	mitochondrial ORF	other	NA	NA	48	123	1842	8118	8289	NA	NA	NA	NA	NA
Q0070	AI5_ALPHA	630	mitochondrial ORF	other	NA	NA	48	123	2064	9350	9521	NA	NA	NA	NA	NA
Q0075	AI5_BETA	354	mitochondrial ORF	other	NA	NA	48	123	1236	1100	1271	NA	NA	NA	NA	NA
Q0080	ATP8	48	mitochondrial ORF	other	NA	NA	48	123	318	147	318	NA	NA	NA	NA	NA
Q0085	ATP6	259	mitochondrial ORF	other	NA	NA	48	123	951	780	951	NA	NA	NA	NA	NA
Q0092	NA	46	mitochondrial ORF	other	NA	NA	48	123	312	141	312	NA	NA	NA	NA	NA
Q0105	COB	385	mitochondrial ORF	other	NA	NA	48	123	1329	7108	7279	NA	NA	NA	NA	NA
Q0110	BI2	423	mitochondrial ORF	other	NA	NA	48	123	1443	2040	2211	NA	NA	NA	NA	NA
Q0115	BI3	517	mitochondrial ORF	other	NA	NA	48	123	1725	3726	3897	NA	NA	NA	NA	NA
Q0120	BI4	638	mitochondrial ORF	other	NA	NA	48	123	2088	5712	5883	NA	NA	NA	NA	NA
Q0130	OLI1	76	mitochondrial ORF	other	NA	NA	48	123	402	231	402	NA	NA	NA	NA	NA
Q0140	VAR1	398	mitochondrial ORF	other	NA	NA	48	123	1368	1197	1368	NA	NA	NA	NA	NA
Q0142	NA	58	mitochondrial ORF	other	NA	NA	48	123	348	177	348	NA	NA	NA	NA	NA
Q0143	NA	50	mitochondrial ORF	other	NA	NA	48	123	324	153	324	NA	NA	NA	NA	NA
Q0144	NA	109	mitochondrial ORF	other	NA	NA	48	123	501	330	501	NA	NA	NA	NA	NA
Q0160	SCEI	235	mitochondrial ORF	other	NA	NA	48	123	879	708	879	NA	NA	NA	NA	NA
Q0182	NA	134	mitochondrial ORF	other	NA	NA	48	123	576	405	576	NA	NA	NA	NA	NA
Q0250	COX2	251	mitochondrial ORF	other	NA	NA	48	123	927	756	927	NA	NA	NA	NA	NA
Q0255	NA	472	mitochondrial ORF	other	NA	NA	48	123	1590	1490	1661	NA	NA	NA	NA	NA
Q0275	COX3	269	mitochondrial ORF	other	NA	NA	48	123	981	810	981	NA	NA	NA	NA	NA
Q0297	NA	51	mitochondrial ORF	other	NA	NA	48	123	327	156	327	NA	NA	NA	NA	NA
YAL001C	TFC3	1160	Verified	other	NA	NA	48	123	3654	3573	3744	NA	NA	NA	NA	NA
YAL002W	VPS8	1274	Verified	other	95	56	95	56	3976	3825	3976	NA	NA	NA	NA	NA
YAL003W	EFB1	206	Verified	translation factors	33	210	33	210	864	987	1230	NA	NA	NA	NA	NA
YAL004W	NA	215	Dubious	other	1963	745	1963	745	3356	648	3356	NA	NA	NA	NA	NA
YAL005C	SSA1	642	Verified	HSF1	62	146	62	146	2137	1929	2137	NA	NA	NA	NA	NA
YAL007C	ERP2	215	Verified	other	69	146	69	146	863	648	863	NA	NA	NA	NA	NA
YAL008W	FUN14	198	Verified	MSN2/4	48	132	48	132	777	597	777	NA	NA	NA	NA	NA
YAL009W	SPO7	259	Verified	other	25	112	25	112	917	780	917	NA	NA	NA	NA	NA
YAL010C	MDM10	493	Verified	other	34	109	34	109	1625	1482	1625	NA	NA	NA	NA	NA
YAL011W	SWC3	625	Verified	other	14	106	14	106	1998	1878	1998	NA	NA	NA	NA	NA
YAL012W	CYS3	394	Verified	other	55	99	55	99	1339	1185	1339	NA	NA	NA	NA	NA
YAL013W	DEP1	405	Verified	other	34	101	34	101	1353	1218	1353	NA	NA	NA	NA	NA
YAL014C	SYN8	255	Verified	other	40	148	40	148	956	768	956	NA	NA	NA	NA	NA
YAL015C	NTG1	399	Verified	other	0	66	0	66	1266	1200	1266	NA	NA	NA	NA	NA
YAL016C-A	NA	104	Dubious	other	NA	NA	48	123	486	315	486	NA	NA	NA	NA	NA
YAL016C-B	NA	61	Dubious	other	NA	NA	48	123	357	186	357	NA	NA	NA	NA	NA
YAL016W	TPD3	635	Verified	other	81	84	81	84	2073	1908	2073	NA	NA	NA	NA	NA
YAL017W	PSK1	1356	Verified	MSN2/4	NA	NA	48	123	4242	4071	4242	NA	NA	NA	NA	NA
YAL018C	LDS1	325	Verified	other	50	138	50	138	1166	978	1166	NA	NA	NA	NA	NA
YAL019W	FUN30	1131	Verified	other	110	49	110	49	3555	3396	3555	NA	NA	NA	NA	NA
YAL019W-A	NA	189	Dubious	other	NA	NA	48	123	741	570	741	NA	NA	NA	NA	NA
YAL020C	ATS1	333	Verified	other	17	112	17	112	1131	1002	1131	NA	NA	NA	NA	NA
YAL021C	CCR4	837	Verified	other	61	230	61	230	2805	2514	2805	NA	NA	NA	NA	NA
YAL022C	FUN26	517	Verified	other	16	64	16	64	1634	1554	1634	NA	NA	NA	NA	NA
YAL023C	PMT2	759	Verified	other	100	115	100	115	2495	2280	2495	NA	NA	NA	NA	NA
YAL024C	LTE1	1435	Verified	other	NA	NA	48	123	4479	4308	4479	NA	NA	NA	NA	NA
YAL025C	MAK16	306	Verified	other	29	187	29	187	1137	921	1137	NA	NA	NA	NA	NA
YAL026C	DRS2	1355	Verified	other	86	144	86	144	4298	4068	4298	NA	NA	NA	NA	NA
YAL026C-A	NA	145	Dubious	other	NA	NA	48	123	609	438	609	NA	NA	NA	NA	NA
YAL027W	SAW1	261	Verified	other	80	101	80	101	967	786	967	NA	NA	NA	NA	NA
YAL028W	FRT2	528	Verified	MSN2/4	51	43	51	43	1681	1587	1681	NA	NA	NA	NA	NA
YAL029C	MYO4	1471	Verified	other	252	61	252	61	4729	4416	4729	NA	NA	NA	NA	NA
YAL030W	SNC1	117	Verified	other	22	133	22	133	509	467	622	NA	NA	NA	NA	NA
YAL031C	GIP4	760	Verified	other	42	125	42	125	2450	2283	2450	NA	NA	NA	NA	NA
YAL031W-A	NA	102	Dubious	other	NA	NA	48	123	480	309	480	NA	NA	NA	NA	NA
YAL032C	PRP45	379	Verified	other	20	131	20	131	1291	1140	1291	NA	NA	NA	NA	NA
YAL033W	POP5	173	Verified	other	10	79	10	79	611	522	611	NA	NA	NA	NA	NA
YAL034C	FUN19	413	Verified	MSN2/4	620	114	620	114	1976	1242	1976	NA	NA	NA	NA	NA
YAL034C-B	NA	117	Dubious	other	NA	NA	48	123	525	354	525	NA	NA	NA	NA	NA
YAL034W-A	MTW1	289	Verified	other	26	88	26	88	984	870	984	NA	NA	NA	NA	NA
YAL035W	FUN12	1002	Verified	translation factors	35	120	35	120	3164	3009	3164	NA	NA	NA	NA	NA
YAL036C	RBG1	369	Verified	other	37	193	37	193	1340	1110	1340	NA	NA	NA	NA	NA
YAL037C-A	NA	30	Uncharacterized	other	192	55	192	55	340	93	340	NA	NA	NA	NA	NA
YAL037C-B	NA	324	Dubious	other	NA	NA	48	123	1146	975	1146	NA	NA	NA	NA	NA
YAL037W	NA	267	Uncharacterized	other	143	143	143	143	1090	804	1090	NA	NA	NA	NA	NA
YAL038W	CDC19	500	Verified	glycolysis	38	147	38	147	1688	1503	1688	NA	NA	NA	NA	NA
YAL039C	CYC3	269	Verified	other	56	69	56	69	935	810	935	NA	NA	NA	NA	NA
YAL040C	CLN3	580	Verified	other	321	177	321	177	2241	1743	2241	NA	NA	NA	NA	NA
YAL041W	CDC24	854	Verified	other	64	62	64	62	2691	2565	2691	NA	NA	NA	NA	NA
YAL042C-A	NA	125	Dubious	other	NA	NA	48	123	549	378	549	NA	NA	NA	NA	NA
YAL042W	ERV46	415	Verified	other	29	94	29	94	1371	1248	1371	NA	NA	NA	NA	NA
YAL043C	PTA1	785	Verified	other	22	81	22	81	2461	2358	2461	NA	NA	NA	NA	NA
YAL044C	GCV3	170	Verified	other	14	89	14	89	616	513	616	NA	NA	NA	NA	NA
YAL044W-A	BOL1	110	Verified	other	12	131	12	131	476	333	476	NA	NA	NA	NA	NA
YAL045C	NA	102	Dubious	other	NA	NA	48	123	480	309	480	NA	NA	NA	NA	NA
YAL046C	BOL3	118	Verified	other	24	122	24	122	503	357	503	NA	NA	NA	NA	NA
YAL047C	SPC72	622	Verified	other	29	55	29	55	1953	1869	1953	NA	NA	NA	NA	NA
YAL047W-A	NA	109	Dubious	other	322	150	322	150	802	330	802	NA	NA	NA	NA	NA
YAL048C	GEM1	662	Verified	other	NA	NA	48	123	2160	1989	2160	NA	NA	NA	NA	NA
YAL049C	AIM2	246	Verified	other	66	119	66	119	926	741	926	NA	NA	NA	NA	NA
YAL051W	OAF1	1047	Verified	other	28	80	28	80	3252	3144	3252	NA	NA	NA	NA	NA
YAL053W	FLC2	783	Verified	other	140	65	140	65	2557	2352	2557	NA	NA	NA	NA	NA
YAL054C	ACS1	713	Verified	other	51	163	51	163	2356	2142	2356	NA	NA	NA	NA	NA
YAL055W	PEX22	180	Verified	other	7	94	7	94	644	543	644	NA	NA	NA	NA	NA
YAL056C-A	NA	116	Dubious	other	NA	NA	48	123	522	351	522	NA	NA	NA	NA	NA
YAL056W	GPB2	880	Verified	other	40	98	40	98	2781	2643	2781	NA	NA	NA	NA	NA
YAL058W	CNE1	502	Verified	other	49	132	49	132	1690	1509	1690	NA	NA	NA	NA	NA
YAL059C-A	NA	140	Dubious	other	NA	NA	48	123	594	423	594	NA	NA	NA	NA	NA
YAL059W	ECM1	212	Verified	RiBi	6	197	6	197	842	639	842	NA	NA	NA	NA	NA
YAL060W	BDH1	382	Verified	MSN2/4	48	112	48	112	1309	1149	1309	NA	NA	NA	NA	NA
YAL061W	BDH2	417	Uncharacterized	MSN2/4	97	167	97	167	1518	1254	1518	NA	NA	NA	NA	NA
YAL062W	GDH3	457	Verified	MSN2/4	38	86	38	86	1498	1374	1498	NA	NA	NA	NA	NA
YAL063C	FLO9	1322	Verified	other	NA	NA	48	123	4140	3969	4140	NA	NA	NA	NA	NA
YAL063C-A	NA	96	Uncharacterized	other	932	32	932	32	1255	291	1255	NA	NA	NA	NA	NA
YAL064C-A	TDA8	126	Uncharacterized	other	NA	NA	48	123	552	381	552	NA	NA	NA	NA	NA
YAL064W	NA	94	Verified	other	NA	NA	48	123	456	285	456	NA	NA	NA	NA	NA
YAL064W-B	NA	126	Uncharacterized	other	728	554	728	554	1663	381	1663	NA	NA	NA	NA	NA
YAL065C	NA	128	Uncharacterized	other	NA	NA	48	123	558	387	558	NA	NA	NA	NA	NA
